time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 0.00050236393, 0.017615613, 2.09919e-05, 2.6539834, 0.00052132116, 0.575905
3.00100, 0.00050251008, 0.017605457, 2.08583e-05, 2.6511409, 0.00052132116, 0.575905
3.00200, 0.00050262381, 0.017353104, 2.06998e-05, 2.6542928, 0.00052132116, 0.575905
3.00300, 0.00050276470, 0.017325602, 2.05672e-05, 2.6518924, 0.00052132116, 0.575905
3.00400, 0.00050286044, 0.017156193, 2.04440e-05, 2.6535614, 0.00052132116, 0.575905
3.00500, 0.00050299890, 0.017002631, 2.02852e-05, 2.6540511, 0.00052132116, 0.575905
3.00600, 0.00050307661, 0.017037654, 2.02230e-05, 2.6515939, 0.00052132116, 0.575905
3.00700, 0.00050318359, 0.016766099, 2.00676e-05, 2.6553137, 0.00052132116, 0.575905
3.00800, 0.00050330536, 0.016623281, 1.99264e-05, 2.6559293, 0.00052132116, 0.575905
3.00900, 0.00050340390, 0.016630452, 1.98392e-05, 2.6536148, 0.00052132116, 0.575905
3.01000, 0.00050358946, 0.016424879, 1.96270e-05, 2.6542361, 0.00052132116, 0.575905
3.01100, 0.00050364271, 0.016268080, 1.95457e-05, 2.6565778, 0.00052132116, 0.575905
3.01200, 0.00050376799, 0.016161473, 1.94083e-05, 2.6564014, 0.00052132116, 0.575905
3.01300, 0.00050389323, 0.016050445, 1.92716e-05, 2.6561520, 0.00052132116, 0.575905
3.01400, 0.00050396388, 0.016039301, 1.92052e-05, 2.6548541, 0.00052132116, 0.575905
3.01500, 0.00050415875, 0.015874941, 1.89933e-05, 2.6543601, 0.00052132116, 0.575905
3.01600, 0.00050424863, 0.015712654, 1.88772e-05, 2.6561430, 0.00052132116, 0.575905
3.01700, 0.00050432996, 0.015799666, 1.88234e-05, 2.6521361, 0.00052132116, 0.575905
3.01800, 0.00050449296, 0.015613711, 1.86362e-05, 2.6527917, 0.00052132116, 0.575905
3.01900, 0.00050458864, 0.015460252, 1.85161e-05, 2.6543233, 0.00052132116, 0.575905
3.02000, 0.00050469676, 0.015425513, 1.84104e-05, 2.6527088, 0.00052132116, 0.575905
3.02100, 0.00050481753, 0.015227165, 1.82590e-05, 2.6546495, 0.00052132116, 0.575905
3.02200, 0.00050490144, 0.015128985, 1.81623e-05, 2.6550520, 0.00052132116, 0.575905
3.02300, 0.00050503645, 0.015046020, 1.80224e-05, 2.6539047, 0.00052132116, 0.575905
3.02400, 0.00050512204, 0.014854644, 1.79032e-05, 2.6567013, 0.00052132116, 0.575905
3.02500, 0.00050522447, 0.014890715, 1.78183e-05, 2.6533549, 0.00052132116, 0.575905
3.02600, 0.00050529148, 0.014790302, 1.77358e-05, 2.6542947, 0.00052132116, 0.575905
3.02700, 0.00050547529, 0.014562867, 1.75214e-05, 2.6555164, 0.00052132116, 0.575905
3.02800, 0.00050554043, 0.014571050, 1.74637e-05, 2.6537836, 0.00052132116, 0.575905
3.02900, 0.00050566974, 0.014447806, 1.73206e-05, 2.6537230, 0.00052132116, 0.575905
3.03000, 0.00050576530, 0.014219085, 1.71832e-05, 2.6575091, 0.00052132116, 0.575905
3.03100, 0.00050584315, 0.014315176, 1.71344e-05, 2.6529553, 0.00052132116, 0.575905
3.03200, 0.00050599353, 0.014050404, 1.69423e-05, 2.6560228, 0.00052132116, 0.575905
3.03300, 0.00050609877, 0.014012170, 1.68375e-05, 2.6545503, 0.00052132116, 0.575905
3.03400, 0.00050620144, 0.013961030, 1.67341e-05, 2.6532419, 0.00052132116, 0.575905
3.03500, 0.00050635918, 0.013797835, 1.65566e-05, 2.6535347, 0.00052132116, 0.575905
3.03600, 0.00050641536, 0.013728541, 1.64905e-05, 2.6540039, 0.00052132116, 0.575905
3.03700, 0.00050655017, 0.013715509, 1.63661e-05, 2.6508138, 0.00052132116, 0.575905
3.03800, 0.00050661827, 0.013492048, 1.62561e-05, 2.6551788, 0.00052132116, 0.575905
3.03900, 0.00050679081, 0.013469940, 1.60958e-05, 2.6511724, 0.00052132116, 0.575905
3.04000, 0.00050685791, 0.013323110, 1.60037e-05, 2.6534364, 0.00052132116, 0.575905
