time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 0.00056085882, -0.0020716023, 3.13970e-05, -0.036940959, 0.000529482, -0.00000
3.00100, 0.00056064195, -0.0020132356, 3.11797e-05, -0.036654959, 0.000529482, -0.00000
3.00200, 0.00056041713, -0.0020716023, 3.09555e-05, -0.037358759, 0.000529482, -0.00000
3.00300, 0.00056026018, -0.0019834081, 3.07971e-05, -0.036098759, 0.000529482, -0.00000
3.00400, 0.00055995955, -0.0020716023, 3.04983e-05, -0.037983859, 0.000529482, -0.00000
3.00500, 0.00055976949, -0.0020716023, 3.03082e-05, -0.038047459, 0.000529482, -0.00000
3.00600, 0.00055959338, -0.0019834081, 3.01306e-05, -0.036756059, 0.000529482, -0.00000
3.00700, 0.00055937011, -0.0019834081, 2.99080e-05, -0.037520059, 0.000529482, -0.00000
3.00800, 0.00055913225, -0.0020132356, 2.96707e-05, -0.038206959, 0.000529482, -0.00000
3.00900, 0.00055900084, -0.0019223655, 2.95378e-05, -0.036860359, 0.000529482, -0.00000
3.01000, 0.00055873263, -0.0019834081, 2.92708e-05, -0.038170659, 0.000529482, -0.00000
3.01100, 0.00055852868, -0.0019223655, 2.90657e-05, -0.037190759, 0.000529482, -0.00000
3.01200, 0.00055836645, -0.0019834081, 2.89043e-05, -0.038091459, 0.000529482, -0.00000
3.01300, 0.00055813989, -0.0019223655, 2.86767e-05, -0.037228959, 0.000529482, -0.00000
3.01400, 0.00055798123, -0.0018269814, 2.85166e-05, -0.035879959, 0.000529482, -0.00000
3.01500, 0.00055779103, -0.0018269814, 2.83269e-05, -0.036486059, 0.000529482, -0.00000
3.01600, 0.00055754101, -0.0018593199, 2.80778e-05, -0.037586259, 0.000529482, -0.00000
3.01700, 0.00055744246, -0.0017605233, 2.79775e-05, -0.035850959, 0.000529482, -0.00000
3.01800, 0.00055719509, -0.0017605233, 2.77300e-05, -0.035868059, 0.000529482, -0.00000
3.01900, 0.00055700251, -0.0017605233, 2.75375e-05, -0.036080259, 0.000529482, -0.00000
3.02000, 0.00055683522, -0.0017263351, 2.73696e-05, -0.035515559, 0.000529482, -0.00000
3.02100, 0.00055660311, -0.0017605233, 2.71382e-05, -0.036444859, 0.000529482, -0.00000
3.02200, 0.00055643811, -0.0017605233, 2.69733e-05, -0.036652659, 0.000529482, -0.00000
3.02300, 0.00055623412, -0.0017263351, 2.67685e-05, -0.035893159, 0.000529482, -0.00000
3.02400, 0.00055601463, -0.0018593199, 2.65520e-05, -0.039172459, 0.000529482, -0.00000
3.02500, 0.00055588202, -0.0017263351, 2.64169e-05, -0.036689359, 0.000529482, -0.00000
3.02600, 0.00055566781, -0.0017605233, 2.62031e-05, -0.037272459, 0.000529482, -0.00000
3.02700, 0.00055547883, -0.0017263351, 2.60138e-05, -0.037048259, 0.000529482, -0.00000
3.02800, 0.00055531090, -0.0016558425, 2.58451e-05, -0.036308059, 0.000529482, -0.00000
3.02900, 0.00055511735, -0.0017263351, 2.56523e-05, -0.037270259, 0.000529482, -0.00000
3.03000, 0.00055491819, -0.0016558425, 2.54525e-05, -0.036679659, 0.000529482, -0.00000
3.03100, 0.00055480196, -0.0015822123, 2.53344e-05, -0.034591359, 0.000529482, -0.00000
3.03200, 0.00055454316, -0.0016558425, 2.50770e-05, -0.036429159, 0.000529482, -0.00000
3.03300, 0.00055439325, -0.0015822123, 2.49260e-05, -0.035237759, 0.000529482, -0.00000
3.03400, 0.00055424067, -0.0015440810, 2.47724e-05, -0.034130059, 0.000529482, -0.00000
3.03500, 0.00055401537, -0.0015822123, 2.45482e-05, -0.035618159, 0.000529482, -0.00000
3.03600, 0.00055381511, -0.0015440810, 2.43477e-05, -0.035470259, 0.000529482, -0.00000
3.03700, 0.00055369353, -0.0015440810, 2.42260e-05, -0.035398359, 0.000529482, -0.00000
3.03800, 0.00055345589, -0.0015440810, 2.39886e-05, -0.035853659, 0.000529482, -0.00000
3.03900, 0.00055331450, -0.0015440810, 2.38470e-05, -0.035709959, 0.000529482, -0.00000
3.04000, 0.00055307782, -0.0015822123, 2.36119e-05, -0.037769059, 0.000529482, -0.00000
3.04100, 0.00055290359, -0.0016558425, 2.34383e-05, -0.038641659, 0.000529482, -0.00000
3.04200, 0.00055280614, -0.0015440810, 2.33388e-05, -0.036273859, 0.000529482, -0.00000
3.04300, 0.00055256185, -0.0015440810, 2.30953e-05, -0.037409059, 0.000529482, -0.00000
3.04400, 0.00055239678, -0.0015440810, 2.29300e-05, -0.037257159, 0.000529482, -0.00000
3.04500, 0.00055224719, -0.0013810680, 2.27784e-05, -0.034842459, 0.000529482, -0.00000
3.04600, 0.00055201772, -0.0015440810, 2.25513e-05, -0.037993459, 0.000529482, -0.00000
3.04700, 0.00055188012, -0.0013810680, 2.24113e-05, -0.035070659, 0.000529482, -0.00000
3.04800, 0.00055169812, -0.0013810680, 2.22298e-05, -0.035867359, 0.000529482, -0.00000
3.04900, 0.00055150530, -0.0013810680, 2.20367e-05, -0.035635459, 0.000529482, -0.00000
3.05000, 0.00055140944, -0.0013372133, 2.19394e-05, -0.033774759, 0.000529482, -0.00000
3.05100, 0.00055115683, -0.0013372133, 2.16866e-05, -0.033682359, 0.000529482, -0.00000
3.05200, 0.00055100296, -0.0013810680, 2.15338e-05, -0.035284359, 0.000529482, -0.00000
3.05300, 0.00055087869, -0.0012448779, 2.14082e-05, -0.033487759, 0.000529482, -0.00000
3.05400, 0.00055066740, -0.0013372133, 2.11972e-05, -0.034090859, 0.000529482, -0.00000
3.05500, 0.00055047106, -0.0013372133, 2.10015e-05, -0.035165359, 0.000529482, -0.00000
3.05600, 0.00055032352, -0.0013372133, 2.08537e-05, -0.034909459, 0.000529482, -0.00000
3.05700, 0.00055012542, -0.0013372133, 2.06554e-05, -0.034758259, 0.000529482, -0.00000
3.05800, 0.00054997340, -0.0012448779, 2.05033e-05, -0.034777259, 0.000529482, -0.00000
3.05900, 0.00054982744, -0.0012448779, 2.03565e-05, -0.033647059, 0.000529482, -0.00000
3.06000, 0.00054958228, -0.0013372133, 2.01130e-05, -0.036284059, 0.000529482, -0.00000
3.06100, 0.00054945483, -0.0012448779, 1.99847e-05, -0.035161059, 0.000529482, -0.00000
3.06200, 0.00054933486, -0.0011451211, 1.98637e-05, -0.033733959, 0.000529482, -0.00000
3.06300, 0.00054907863, -0.0012448779, 1.96087e-05, -0.035778959, 0.000529482, -0.00000
3.06400, 0.00054900079, -0.0012448779, 1.95301e-05, -0.034707759, 0.000529482, -0.00000
3.06500, 0.00054881502, -0.0011451211, 1.93433e-05, -0.033263959, 0.000529482, -0.00000
3.06600, 0.00054862752, -0.0011451211, 1.91566e-05, -0.034684759, 0.000529482, -0.00000
3.06700, 0.00054848458, -0.0010918301, 1.90121e-05, -0.032281759, 0.000529482, -0.00000
3.06800, 0.00054828155, -0.0011451211, 1.88108e-05, -0.035267359, 0.000529482, -0.00000
3.06900, 0.00054811266, -0.0011451211, 1.86415e-05, -0.034774059, 0.000529482, -0.00000
3.07000, 0.00054801188, -0.0010918301, 1.85391e-05, -0.032170259, 0.000529482, -0.00000
3.07100, 0.00054775350, -0.0011451211, 1.82826e-05, -0.035483559, 0.000529482, -0.00000
3.07200, 0.00054764034, -0.0011451211, 1.81696e-05, -0.035889159, 0.000529482, -0.00000
3.07300, 0.00054748198, -0.0010918301, 1.80102e-05, -0.034337959, 0.000529482, -0.00000
3.07400, 0.00054728618, -0.0012448779, 1.78165e-05, -0.037847359, 0.000529482, -0.00000
3.07500, 0.00054714693, -0.0011451211, 1.76757e-05, -0.035564259, 0.000529482, -0.00000
3.07600, 0.00054698474, -0.0011451211, 1.75142e-05, -0.036843759, 0.000529482, -0.00000
3.07700, 0.00054681415, -0.0010918301, 1.73428e-05, -0.035659459, 0.000529482, -0.00000
3.07800, 0.00054666925, -0.0010918301, 1.71970e-05, -0.034278359, 0.000529482, -0.00000
3.07900, 0.00054647187, -0.0010918301, 1.70007e-05, -0.036323059, 0.000529482, -0.00000
3.08000, 0.00054631605, -0.0010918301, 1.68451e-05, -0.036868459, 0.000529482, -0.00000
3.08100, 0.00054619175, -0.00097656250, 1.67183e-05, -0.032548759, 0.000529482, -0.00000
3.08200, 0.00054601877, -0.00097656250, 1.65459e-05, -0.033800859, 0.000529482, -0.00000
3.08300, 0.00054582436, -0.00097656250, 1.63511e-05, -0.033277159, 0.000529482, -0.00000
3.08400, 0.00054572606, -0.00097656250, 1.62524e-05, -0.032622859, 0.000529482, -0.00000
3.08500, 0.00054549456, -0.00097656250, 1.60208e-05, -0.032644559, 0.000529482, -0.00000
3.08600, 0.00054536529, -0.00097656250, 1.58924e-05, -0.034407259, 0.000529482, -0.00000
3.08700, 0.00054521390, -0.00097656250, 1.57403e-05, -0.033222659, 0.000529482, -0.00000
3.08800, 0.00054499363, -0.00097656250, 1.55212e-05, -0.035697459, 0.000529482, -0.00000
3.08900, 0.00054490275, -0.00091349060, 1.54289e-05, -0.033076659, 0.000529482, -0.00000
3.09000, 0.00054469664, -0.00097656250, 1.52241e-05, -0.035840259, 0.000529482, -0.00000
3.09100, 0.00054451203, -0.00097656250, 1.50396e-05, -0.036229159, 0.000529482, -0.00000
3.09200, 0.00054441474, -0.00091349060, 1.49406e-05, -0.032969559, 0.000529482, -0.00000
3.09300, 0.00054418978, -0.00091349060, 1.47162e-05, -0.034394659, 0.000529482, -0.00000
3.09400, 0.00054402600, -0.00097656250, 1.45537e-05, -0.037054159, 0.000529482, -0.00000
3.09500, 0.00054391170, -0.00091349060, 1.44370e-05, -0.032297159, 0.000529482, -0.00000
3.09600, 0.00054370108, -0.00097656250, 1.42284e-05, -0.036755759, 0.000529482, -0.00000
3.09700, 0.00054358023, -0.00091349060, 1.41060e-05, -0.033711959, 0.000529482, -0.00000
3.09800, 0.00054343710, -0.00091349060, 1.39626e-05, -0.033280659, 0.000529482, -0.00000
3.09900, 0.00054324261, -0.00091349060, 1.37689e-05, -0.035206159, 0.000529482, -0.00000
3.10000, 0.00054308693, -0.00077204045, 1.36119e-05, -0.032497359, 0.000529482, -0.00000
3.10100, 0.00054298833, -0.00077204045, 1.35128e-05, -0.031453959, 0.000529482, -0.00000
3.10200, 0.00054278446, -0.00091349060, 1.33108e-05, -0.035931359, 0.000529482, -0.00000
3.10300, 0.00054267939, -0.00077204045, 1.32032e-05, -0.030106059, 0.000529482, -0.00000
3.10400, 0.00054249123, -0.00091349060, 1.30175e-05, -0.036150959, 0.000529482, -0.00000
3.10500, 0.00054228538, -0.00077204045, 1.28114e-05, -0.035914059, 0.000529482, -0.00000
3.10600, 0.00054222949, -0.00077204045, 1.27551e-05, -0.035027159, 0.000529482, -0.00000
3.10700, 0.00054197332, -0.00077204045, 1.24994e-05, -0.036477759, 0.000529482, -0.00000
3.10800, 0.00054186483, -0.00091349060, 1.23915e-05, -0.037955359, 0.000529482, -0.00000
3.10900, 0.00054171684, -0.00077204045, 1.22421e-05, -0.034929559, 0.000529482, -0.00000
3.11000, 0.00054149980, -0.00077204045, 1.20260e-05, -0.037463059, 0.000529482, -0.00000
3.11100, 0.00054133152, -0.00077204045, 1.18569e-05, -0.035745659, 0.000529482, -0.00000
3.11200, 0.00054117580, -0.00077204045, 1.17005e-05, -0.034337659, 0.000529482, -0.00000
3.11300, 0.00054103082, -0.00077204045, 1.15576e-05, -0.039496859, 0.000529482, -0.00000
3.11400, 0.00054090091, -0.00077204045, 1.14256e-05, -0.034677359, 0.000529482, -0.00000
3.11500, 0.00054075408, -0.00059801998, 1.12787e-05, -0.034753159, 0.000529482, -0.00000
3.11600, 0.00054057665, -0.00077204045, 1.11022e-05, -0.037365659, 0.000529482, -0.00000
3.11700, 0.00054048038, -0.00059801998, 1.10039e-05, -0.032091659, 0.000529482, -0.00000
3.11800, 0.00054029221, -0.00077204045, 1.08179e-05, -0.038219259, 0.000529482, -0.00000
3.11900, 0.00054013957, -0.00059801998, 1.06637e-05, -0.034350359, 0.000529482, -0.00000
3.12000, 0.00054000922, -0.00059801998, 1.05339e-05, -0.036059359, 0.000529482, -0.00000
3.12100, 0.00053980954, -0.00077204045, 1.03358e-05, -0.040490759, 0.000529482, -0.00000
3.12200, 0.00053965359, -0.00077204045, 1.01795e-05, -0.039907459, 0.000529482, -0.00000
3.12300, 0.00053953740, -0.00077204045, 1.00632e-05, -0.039834259, 0.000529482, -0.00000
3.12400, 0.00053933114, -0.00077204045, 9.85844e-06, -0.043960659, 0.000529482, -0.00000
3.12500, 0.00053921017, -0.00077204045, 9.73715e-06, -0.043436659, 0.000529482, -0.00000
3.12600, 0.00053906572, -0.00077204045, 9.59338e-06, -0.045365659, 0.000529482, -0.00000
3.12700, 0.00053887291, -0.00077204045, 9.39958e-06, -0.043460159, 0.000529482, -0.00000
3.12800, 0.00053880658, -0.00059801998, 9.33245e-06, -0.041497159, 0.000529482, -0.00000
3.12900, 0.00053858301, -0.00077204045, 9.10951e-06, -0.043695259, 0.000529482, -0.00000
3.13000, 0.00053846197, -0.00077204045, 8.98899e-06, -0.045287059, 0.000529482, -0.00000
3.13100, 0.00053836153, -0.00059801998, 8.88589e-06, -0.038264559, 0.000529482, -0.00000
3.13200, 0.00053815366, -0.00077204045, 8.68063e-06, -0.045913859, 0.000529482, -0.00000
3.13300, 0.00053804243, -0.00059801998, 8.56685e-06, -0.039141459, 0.000529482, -0.00000
3.13400, 0.00053793352, -0.00059801998, 8.45723e-06, -0.037191959, 0.000529482, -0.00000
3.13500, 0.00053773269, -0.00059801998, 8.25759e-06, -0.041318459, 0.000529482, -0.00000
3.13600, 0.00053758426, -0.00059801998, 8.10881e-06, -0.040581359, 0.000529482, -0.00000
3.13700, 0.00053747351, -0.00059801998, 7.99805e-06, -0.040905159, 0.000529482, -0.00000
3.13800, 0.00053726675, -0.00059801998, 7.79185e-06, -0.043114459, 0.000529482, -0.00000
3.13900, 0.00053715609, -0.00048828125, 7.67989e-06, -0.039258859, 0.000529482, -0.00000
3.14000, 0.00053703595, -0.00059801998, 7.56109e-06, -0.043843259, 0.000529482, -0.00000
3.14100, 0.00053682636, -0.00059801998, 7.35117e-06, -0.043436859, 0.000529482, -0.00000
3.14200, 0.00053678192, -0.00048828125, 7.30518e-06, -0.038398059, 0.000529482, -0.00000
3.14300, 0.00053660424, -0.00059801998, 7.13007e-06, -0.047334959, 0.000529482, -0.00000
3.14400, 0.00053641995, -0.00048828125, 6.94464e-06, -0.044321159, 0.000529482, -0.00000
3.14500, 0.00053634042, -0.00048828125, 6.86461e-06, -0.042868759, 0.000529482, -0.00000
3.14600, 0.00053614821, -0.00048828125, 6.67210e-06, -0.042395759, 0.000529482, -0.00000
3.14700, 0.00053602304, -0.00048828125, 6.54755e-06, -0.044985659, 0.000529482, -0.00000
3.14800, 0.00053591968, -0.00048828125, 6.44196e-06, -0.036827759, 0.000529482, -0.00000
3.14900, 0.00053577734, -0.00048828125, 6.30036e-06, -0.040371659, 0.000529482, -0.00000
3.15000, 0.00053566241, -0.00048828125, 6.18475e-06, -0.037878359, 0.000529482, -0.00000
3.15100, 0.00053550003, -0.00048828125, 6.02186e-06, -0.036084659, 0.000529482, -0.00000
3.15200, 0.00053534482, -0.00048828125, 5.86762e-06, -0.040822959, 0.000529482, -0.00000
3.15300, 0.00053524593, -0.00048828125, 5.76743e-06, -0.035182459, 0.000529482, -0.00000
3.15400, 0.00053511242, -0.00048828125, 5.63505e-06, -0.040888859, 0.000529482, -0.00000
3.15500, 0.00053495108, -0.00048828125, 5.47479e-06, -0.046098859, 0.000529482, -0.00000
