time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6306593e-05, 0.0035040791, 2.38885e-07, 3.2718909, 4.6481997e-05, 0.0141434
3.00100, 4.6344819e-05, 0.0033652480, 2.08252e-07, 3.3774240, 4.6481997e-05, 0.0141434
3.00200, 4.6307048e-05, 0.0026520467, 2.14005e-07, 3.1398270, 4.6481997e-05, 0.0141434
3.00300, 4.6298333e-05, 0.0021283689, 2.08610e-07, 3.0204022, 4.6481997e-05, 0.0141434
3.00400, 4.6282668e-05, 0.0015440810, 2.12078e-07, 2.8751371, 4.6481997e-05, 0.0141434
3.00500, 4.6277078e-05, 0.00097656250, 2.10417e-07, 2.7560089, 4.6481997e-05, 0.0141434
3.00600, 4.6270846e-05, 0.0011451211, 2.17977e-07, 2.7777546, 4.6481997e-05, 0.0141434
3.00700, 4.6269077e-05, 0.0000000, 2.13044e-07, 2.4934466, 4.6481997e-05, 0.0141434
3.00800, 4.6262377e-05, 0.0000000, 2.20020e-07, 2.5875404, 4.6481997e-05, 0.0141434
3.00900, 4.6292414e-05, 0.00048828125, 1.90218e-07, 2.6089914, 4.6481997e-05, 0.0141434
3.01000, 4.6286960e-05, 0.00048828125, 1.96552e-07, 2.6513903, 4.6481997e-05, 0.0141434
3.01100, 4.6300423e-05, 0.00048828125, 1.82753e-07, 2.6408184, 4.6481997e-05, 0.0141434
3.01200, 4.6323346e-05, 0.0014648439, 1.72361e-07, 2.9282324, 4.6481997e-05, 0.0141434
3.01300, 4.6313035e-05, 0.0010918301, 1.76112e-07, 2.8128049, 4.6481997e-05, 0.0141434
3.01400, 4.6355432e-05, 0.0019223655, 1.54658e-07, 3.1387189, 4.6481997e-05, 0.0141434
3.01500, 4.6352568e-05, 0.0015440810, 1.47725e-07, 3.0296323, 4.6481997e-05, 0.0141434
3.01600, 4.6343680e-05, 0.0015822123, 1.57222e-07, 3.0220516, 4.6481997e-05, 0.0141434
3.01700, 4.6348179e-05, 0.0024897563, 1.76732e-07, 3.2379825, 4.6481997e-05, 0.0141434
3.01800, 4.6321385e-05, 0.0013372133, 1.71780e-07, 2.8893259, 4.6481997e-05, 0.0141434
3.01900, 4.6326212e-05, 0.00077204045, 1.59556e-07, 2.7448881, 4.6481997e-05, 0.0141434
3.02000, 4.6290911e-05, 0.00048828125, 1.92064e-07, 2.6281602, 4.6481997e-05, 0.0141434
3.02100, 4.6281533e-05, 0.0000000, 2.00966e-07, 2.4568932, 4.6481997e-05, 0.0141434
3.02200, 4.6280551e-05, 0.00077204045, 2.05057e-07, 2.3398802, 4.6481997e-05, 0.0141434
3.02300, 4.6230259e-05, 0.0000000, 2.52005e-07, 2.4815028, 4.6481997e-05, 0.0141434
3.02400, 4.6269092e-05, 0.0011451211, 2.19630e-07, 2.2798917, 4.6481997e-05, 0.0141434
3.02500, 4.6246603e-05, 0.0011451211, 2.41287e-07, 2.3065293, 4.6481997e-05, 0.0141434
3.02600, 4.6240051e-05, 0.00097656250, 2.46024e-07, 2.3455799, 4.6481997e-05, 0.0141434
3.02700, 4.6240663e-05, 0.0011451211, 2.47406e-07, 2.3060052, 4.6481997e-05, 0.0141434
3.02800, 4.6241268e-05, 0.0000000, 2.40777e-07, 2.5076058, 4.6481997e-05, 0.0141434
3.02900, 4.6237403e-05, 0.00048828125, 2.45316e-07, 2.4508984, 4.6481997e-05, 0.0141434
3.03000, 4.6250842e-05, 0.00077204045, 2.33997e-07, 2.6830218, 4.6481997e-05, 0.0141434
3.03100, 4.6266320e-05, 0.0000000, 2.16017e-07, 2.5833848, 4.6481997e-05, 0.0141434
3.03200, 4.6249993e-05, 0.0000000, 2.32026e-07, 2.5411217, 4.6481997e-05, 0.0141434
3.03300, 4.6308888e-05, 0.00077204045, 1.76208e-07, 2.7148893, 4.6481997e-05, 0.0141434
3.03400, 4.6247076e-05, 0.0000000, 2.34941e-07, 2.5145457, 4.6481997e-05, 0.0141434
3.03500, 4.6226639e-05, 0.0000000, 2.55494e-07, 2.4948537, 4.6481997e-05, 0.0141434
3.03600, 4.6228278e-05, 0.00091349060, 2.56604e-07, 2.3777378, 4.6481997e-05, 0.0141434
3.03700, 4.6191087e-05, 0.00097656250, 2.94797e-07, 2.3653729, 4.6481997e-05, 0.0141434
3.03800, 4.6187669e-05, 0.0014648439, 3.02187e-07, 2.2996013, 4.6481997e-05, 0.0141434
3.03900, 4.6169693e-05, 0.0018593199, 3.24264e-07, 2.2559126, 4.6481997e-05, 0.0141434
3.04000, 4.6139479e-05, 0.0024168694, 3.60673e-07, 2.2100008, 4.6481997e-05, 0.0141434
3.04100, 4.6129236e-05, 0.0025837421, 3.72503e-07, 2.2016800, 4.6481997e-05, 0.0141434
3.04200, 4.6129157e-05, 0.0021283689, 3.65979e-07, 2.2597044, 4.6481997e-05, 0.0141434
3.04300, 4.6130759e-05, 0.0033652480, 3.84406e-07, 2.1106422, 4.6481997e-05, 0.0141434
3.04400, 4.6154543e-05, 0.0020716023, 3.41544e-07, 2.2402289, 4.6481997e-05, 0.0141434
3.04500, 4.6148408e-05, 0.0022640675, 3.49380e-07, 2.2267406, 4.6481997e-05, 0.0141434
3.04600, 4.6140966e-05, 0.0013810680, 3.47009e-07, 2.3422172, 4.6481997e-05, 0.0141434
3.04700, 4.6152957e-05, 0.0000000, 3.29183e-07, 2.4980443, 4.6481997e-05, 0.0141434
3.04800, 4.6193501e-05, 0.00097656250, 2.91905e-07, 2.3749230, 4.6481997e-05, 0.0141434
3.04900, 4.6172568e-05, 0.00059801998, 3.10602e-07, 2.4407814, 4.6481997e-05, 0.0141434
3.05000, 4.6165554e-05, 0.00097656250, 3.19664e-07, 2.3858364, 4.6481997e-05, 0.0141434
3.05100, 4.6178217e-05, 0.0000000, 3.04071e-07, 2.4838059, 4.6481997e-05, 0.0141434
3.05200, 4.6163874e-05, 0.0010918301, 3.21919e-07, 2.3742368, 4.6481997e-05, 0.0141434
3.05300, 4.6122950e-05, 0.0010918301, 3.62465e-07, 2.3905227, 4.6481997e-05, 0.0141434
3.05400, 4.6131089e-05, 0.0011451211, 3.54891e-07, 2.3780272, 4.6481997e-05, 0.0141434
3.05500, 4.6105359e-05, 0.0021283689, 3.89025e-07, 2.2754386, 4.6481997e-05, 0.0141434
3.05600, 4.6087274e-05, 0.0020132356, 4.05502e-07, 2.2973330, 4.6481997e-05, 0.0141434
3.05700, 4.6066504e-05, 0.0024168694, 4.30128e-07, 2.2670086, 4.6481997e-05, 0.0141434
3.05800, 4.6076301e-05, 0.0018593199, 4.14774e-07, 2.3187482, 4.6481997e-05, 0.0141434
3.05900, 4.6094821e-05, 0.0019834081, 3.98083e-07, 2.2937887, 4.6481997e-05, 0.0141434
3.06000, 4.6085131e-05, 0.0017605233, 4.05136e-07, 2.3258975, 4.6481997e-05, 0.0141434
3.06100, 4.6105453e-05, 0.0016558425, 3.84039e-07, 2.3303421, 4.6481997e-05, 0.0141434
3.06200, 4.6116769e-05, 0.00077204045, 3.66886e-07, 2.4326837, 4.6481997e-05, 0.0141434
3.06300, 4.6138291e-05, 0.00059801998, 3.44852e-07, 2.4461706, 4.6481997e-05, 0.0141434
3.06400, 4.6147277e-05, 0.0000000, 3.35032e-07, 2.4843929, 4.6481997e-05, 0.0141434
3.06500, 4.6125281e-05, 0.0000000, 3.56966e-07, 2.4901564, 4.6481997e-05, 0.0141434
3.06600, 4.6152972e-05, 0.0000000, 3.29047e-07, 2.5388734, 4.6481997e-05, 0.0141434
3.06700, 4.6167761e-05, 0.0000000, 3.14251e-07, 2.5370085, 4.6481997e-05, 0.0141434
3.06800, 4.6138701e-05, 0.00077204045, 3.45375e-07, 2.4180524, 4.6481997e-05, 0.0141434
3.06900, 4.6162254e-05, 0.00059801998, 3.21145e-07, 2.4342573, 4.6481997e-05, 0.0141434
3.07000, 4.6109616e-05, 0.00091349060, 3.74382e-07, 2.4244063, 4.6481997e-05, 0.0141434
3.07100, 4.6133704e-05, 0.0010918301, 3.51767e-07, 2.3873017, 4.6481997e-05, 0.0141434
3.07200, 4.6159346e-05, 0.0018269814, 3.33791e-07, 2.2692621, 4.6481997e-05, 0.0141434
3.07300, 4.6103797e-05, 0.0021283689, 3.90919e-07, 2.2727001, 4.6481997e-05, 0.0141434
3.07400, 4.6151677e-05, 0.0015440810, 3.37944e-07, 2.3153746, 4.6481997e-05, 0.0141434
3.07500, 4.6115857e-05, 0.0020716023, 3.78375e-07, 2.2734525, 4.6481997e-05, 0.0141434
3.07600, 4.6139935e-05, 0.0017263351, 3.50864e-07, 2.3037961, 4.6481997e-05, 0.0141434
3.07700, 4.6136649e-05, 0.0015822123, 3.53298e-07, 2.3156869, 4.6481997e-05, 0.0141434
3.07800, 4.6176133e-05, 0.0015440810, 3.13861e-07, 2.3019502, 4.6481997e-05, 0.0141434
3.07900, 4.6218332e-05, 0.00097656250, 2.67526e-07, 2.3578031, 4.6481997e-05, 0.0141434
3.08000, 4.6223539e-05, 0.0000000, 2.58487e-07, 2.5124734, 4.6481997e-05, 0.0141434
3.08100, 4.6246505e-05, 0.00059801998, 2.36831e-07, 2.6335156, 4.6481997e-05, 0.0141434
3.08200, 4.6265492e-05, 0.00048828125, 2.17315e-07, 2.6135976, 4.6481997e-05, 0.0141434
3.08300, 4.6260281e-05, 0.00059801998, 2.23188e-07, 2.6420305, 4.6481997e-05, 0.0141434
3.08400, 4.6288961e-05, 0.0000000, 1.93328e-07, 2.5822599, 4.6481997e-05, 0.0141434
3.08500, 4.6282026e-05, 0.0000000, 2.00112e-07, 2.5648110, 4.6481997e-05, 0.0141434
3.08600, 4.6233975e-05, 0.0000000, 2.48122e-07, 2.5557783, 4.6481997e-05, 0.0141434
3.08700, 4.6252686e-05, 0.0000000, 2.29398e-07, 2.5000312, 4.6481997e-05, 0.0141434
3.08800, 4.6248916e-05, 0.00048828125, 2.33901e-07, 2.4438980, 4.6481997e-05, 0.0141434
3.08900, 4.6231403e-05, 0.0013372133, 2.58098e-07, 2.2863624, 4.6481997e-05, 0.0141434
3.09000, 4.6204624e-05, 0.0010918301, 2.82144e-07, 2.3438213, 4.6481997e-05, 0.0141434
3.09100, 4.6244340e-05, 0.00077204045, 2.40226e-07, 2.3814232, 4.6481997e-05, 0.0141434
3.09200, 4.6228894e-05, 0.00048828125, 2.54321e-07, 2.4298017, 4.6481997e-05, 0.0141434
3.09300, 4.6230552e-05, 0.00097656250, 2.55945e-07, 2.3401368, 4.6481997e-05, 0.0141434
3.09400, 4.6250330e-05, 0.00077204045, 2.34649e-07, 2.3682330, 4.6481997e-05, 0.0141434
3.09500, 4.6283510e-05, 0.00077204045, 2.01226e-07, 2.3625867, 4.6481997e-05, 0.0141434
3.09600, 4.6334313e-05, 0.0000000, 1.47736e-07, 2.5538471, 4.6481997e-05, 0.0141434
3.09700, 4.6317720e-05, 0.0000000, 1.64435e-07, 2.5711272, 4.6481997e-05, 0.0141434
3.09800, 4.6320726e-05, 0.00077204045, 1.65015e-07, 2.7404497, 4.6481997e-05, 0.0141434
3.09900, 4.6373256e-05, 0.0012448779, 1.22579e-07, 3.0065615, 4.6481997e-05, 0.0141434
3.10000, 4.6383752e-05, 0.00077204045, 1.04467e-07, 2.8739121, 4.6481997e-05, 0.0141434
3.10100, 4.6361111e-05, 0.0000000, 1.21692e-07, 2.6424248, 4.6481997e-05, 0.0141434
3.10200, 4.6331060e-05, 0.0000000, 1.51037e-07, 2.5637038, 4.6481997e-05, 0.0141434
3.10300, 4.6338986e-05, 0.0000000, 1.43119e-07, 2.4886386, 4.6481997e-05, 0.0141434
3.10400, 4.6336203e-05, 0.0000000, 1.45828e-07, 2.5488808, 4.6481997e-05, 0.0141434
3.10500, 4.6307348e-05, 0.00097656250, 1.81138e-07, 2.2594669, 4.6481997e-05, 0.0141434
3.10600, 4.6346052e-05, 0.0015822123, 1.54775e-07, 2.0297973, 4.6481997e-05, 0.0141434
3.10700, 4.6322856e-05, 0.0012448779, 1.69698e-07, 2.1734593, 4.6481997e-05, 0.0141434
3.10800, 4.6342072e-05, 0.0015822123, 1.58764e-07, 2.0361197, 4.6481997e-05, 0.0141434
3.10900, 4.6313992e-05, 0.0025371844, 2.05232e-07, 1.9168785, 4.6481997e-05, 0.0141434
3.11000, 4.6323698e-05, 0.0013372133, 1.70405e-07, 2.1488912, 4.6481997e-05, 0.0141434
3.11100, 4.6389891e-05, 0.0014648439, 1.14664e-07, 1.8901279, 4.6481997e-05, 0.0141434
3.11200, 4.6408429e-05, 0.0014648439, 1.01151e-07, 1.7717612, 4.6481997e-05, 0.0141434
3.11300, 4.6424792e-05, 0.0011451211, 7.88305e-08, 1.7692099, 4.6481997e-05, 0.0141434
3.11400, 4.6419351e-05, 0.0000000, 6.28915e-08, 2.6156800, 4.6481997e-05, 0.0141434
3.11500, 4.6464412e-05, 0.00048828125, 2.28846e-08, 3.2216909, 4.6481997e-05, 0.0141434
3.11600, 4.6453934e-05, 0.00048828125, 3.51917e-08, 1.8798673, 4.6481997e-05, 0.0141434
3.11700, 4.6445544e-05, 0.0012448779, 6.79405e-08, 1.5235715, 4.6481997e-05, 0.0141434
3.11800, 4.6462414e-05, 0.0015440810, 7.44368e-08, 1.2236188, 4.6481997e-05, 0.0141434
3.11900, 4.6443789e-05, 0.0010918301, 6.39379e-08, 1.5976591, 4.6481997e-05, 0.0141434
3.12000, 4.6429032e-05, 0.0019834081, 1.06769e-07, 1.4766934, 4.6481997e-05, 0.0141434
3.12100, 4.6404296e-05, 0.0015440810, 1.04593e-07, 1.7947524, 4.6481997e-05, 0.0141434
3.12200, 4.6417517e-05, 0.0017605233, 1.04635e-07, 1.6214705, 4.6481997e-05, 0.0141434
3.12300, 4.6427860e-05, 0.0028680039, 1.43035e-07, 1.3462076, 4.6481997e-05, 0.0141434
3.12400, 4.6446162e-05, 0.0023417152, 1.14910e-07, 1.2749391, 4.6481997e-05, 0.0141434
3.12500, 4.6386159e-05, 0.0034870273, 1.87514e-07, 1.4948216, 4.6481997e-05, 0.0141434
3.12600, 4.6422904e-05, 0.0027621367, 1.41658e-07, 1.3883190, 4.6481997e-05, 0.0141434
3.12700, 4.6429443e-05, 0.0024897563, 1.27371e-07, 1.3831835, 4.6481997e-05, 0.0141434
3.12800, 4.6437573e-05, 0.0020716023, 1.06258e-07, 1.3889918, 4.6481997e-05, 0.0141434
3.12900, 4.6446597e-05, 0.0021561920, 1.07076e-07, 1.2946527, 4.6481997e-05, 0.0141434
3.13000, 4.6460063e-05, 0.0021283689, 1.00581e-07, 1.1775167, 4.6481997e-05, 0.0141434
3.13100, 4.6510425e-05, 0.00091349060, 5.14004e-08, 0.37103106, 4.6481997e-05, 0.0141434
3.13200, 4.6466997e-05, 0.0013810680, 6.75571e-08, 1.1812353, 4.6481997e-05, 0.0141434
3.13300, 4.6475958e-05, 0.00077204045, 3.68396e-08, 1.1216946, 4.6481997e-05, 0.0141434
3.13400, 4.6499598e-05, 0.0015440810, 7.35169e-08, 0.71562716, 4.6481997e-05, 0.0141434
3.13500, 4.6479876e-05, 0.0020716023, 9.67895e-08, 0.97957636, 4.6481997e-05, 0.0141434
3.13600, 4.6492239e-05, 0.0024657000, 1.15134e-07, 0.86877896, 4.6481997e-05, 0.0141434
3.13700, 4.6425751e-05, 0.0025837421, 1.33036e-07, 1.3944354, 4.6481997e-05, 0.0141434
3.13800, 4.6413930e-05, 0.0025371844, 1.35925e-07, 1.4823735, 4.6481997e-05, 0.0141434
3.13900, 4.6440598e-05, 0.0034526715, 1.65607e-07, 1.2110095, 4.6481997e-05, 0.0141434
3.14000, 4.6418400e-05, 0.0031644255, 1.59373e-07, 1.3686695, 4.6481997e-05, 0.0141434
3.14100, 4.6442814e-05, 0.0040998212, 1.94302e-07, 1.1617220, 4.6481997e-05, 0.0141434
3.14200, 4.6428752e-05, 0.0031644255, 1.55630e-07, 1.3073707, 4.6481997e-05, 0.0141434
3.14300, 4.6421405e-05, 0.0034004871, 1.69402e-07, 1.3241065, 4.6481997e-05, 0.0141434
3.14400, 4.6436217e-05, 0.0025371844, 1.27122e-07, 1.3262997, 4.6481997e-05, 0.0141434
3.14500, 4.6437780e-05, 0.0022107877, 1.12013e-07, 1.3635242, 4.6481997e-05, 0.0141434
3.14600, 4.6451920e-05, 0.0023920804, 1.14818e-07, 1.2228615, 4.6481997e-05, 0.0141434
3.14700, 4.6461005e-05, 0.0018269814, 8.69275e-08, 1.2014301, 4.6481997e-05, 0.0141434
3.14800, 4.6486848e-05, 0.0010918301, 5.16483e-08, 0.86312386, 4.6481997e-05, 0.0141434
3.14900, 4.6473080e-05, 0.00077204045, 3.57362e-08, 1.2091734, 4.6481997e-05, 0.0141434
3.15000, 4.6486723e-05, 0.00059801998, 3.19136e-08, 0.80832386, 4.6481997e-05, 0.0141434
3.15100, 4.6506402e-05, 0.00097656250, 5.09953e-08, 0.45806906, 4.6481997e-05, 0.0141434
3.15200, 4.6464631e-05, 0.00091349060, 4.22500e-08, 1.3806186, 4.6481997e-05, 0.0141434
3.15300, 4.6462922e-05, 0.0020716023, 9.84659e-08, 1.1526132, 4.6481997e-05, 0.0141434
3.15400, 4.6408731e-05, 0.0018593199, 1.14289e-07, 1.6534398, 4.6481997e-05, 0.0141434
3.15500, 4.6420201e-05, 0.0022640675, 1.21652e-07, 1.4905794, 4.6481997e-05, 0.0141434
3.15600, 4.6423167e-05, 0.0028261330, 1.43402e-07, 1.3807566, 4.6481997e-05, 0.0141434
3.15700, 4.6383843e-05, 0.0025371844, 1.53928e-07, 1.6493585, 4.6481997e-05, 0.0141434
3.15800, 4.6422773e-05, 0.0032204373, 1.61069e-07, 1.3347619, 4.6481997e-05, 0.0141434
3.15900, 4.6378988e-05, 0.0033296358, 1.86550e-07, 1.5432708, 4.6481997e-05, 0.0141434
3.16000, 4.6414904e-05, 0.0031265267, 1.60306e-07, 1.3900192, 4.6481997e-05, 0.0141434
3.16100, 4.6414133e-05, 0.0030297067, 1.55688e-07, 1.4091675, 4.6481997e-05, 0.0141434
3.16200, 4.6412428e-05, 0.0025837421, 1.38542e-07, 1.4839945, 4.6481997e-05, 0.0141434
3.16300, 4.6477983e-05, 0.0018269814, 8.47580e-08, 1.0049079, 4.6481997e-05, 0.0141434
3.16400, 4.6451222e-05, 0.0013810680, 7.09473e-08, 1.4059913, 4.6481997e-05, 0.0141434
3.16500, 4.6474256e-05, 0.00097656250, 4.76146e-08, 1.1204269, 4.6481997e-05, 0.0141434
3.16600, 4.6443982e-05, 0.0012448779, 6.94865e-08, 1.5361233, 4.6481997e-05, 0.0141434
3.16700, 4.6454917e-05, 0.00077204045, 4.30651e-08, 1.6370263, 4.6481997e-05, 0.0141434
3.16800, 4.6480883e-05, 0.0010918301, 5.19759e-08, 0.97862286, 4.6481997e-05, 0.0141434
3.16900, 4.6403030e-05, 0.0017605233, 1.14290e-07, 1.7202938, 4.6481997e-05, 0.0141434
3.17000, 4.6467592e-05, 0.0022107877, 1.04073e-07, 1.0965860, 4.6481997e-05, 0.0141434
3.17100, 4.6385418e-05, 0.0024657000, 1.49457e-07, 1.6604402, 4.6481997e-05, 0.0141434
3.17200, 4.6404840e-05, 0.0024168694, 1.36663e-07, 1.5577571, 4.6481997e-05, 0.0141434
3.17300, 4.6387736e-05, 0.0034870273, 1.87075e-07, 1.4864340, 4.6481997e-05, 0.0141434
3.17400, 4.6344353e-05, 0.0036376154, 2.17692e-07, 1.6429429, 4.6481997e-05, 0.0141434
3.17500, 4.6392385e-05, 0.0032388929, 1.75843e-07, 1.4929838, 4.6481997e-05, 0.0141434
3.17600, 4.6345609e-05, 0.0033652480, 2.07382e-07, 1.6760190, 4.6481997e-05, 0.0141434
3.17700, 4.6363106e-05, 0.0035881216, 2.05172e-07, 1.5764990, 4.6481997e-05, 0.0141434
3.17800, 4.6375289e-05, 0.0027621367, 1.66832e-07, 1.6520004, 4.6481997e-05, 0.0141434
3.17900, 4.6386039e-05, 0.0020716023, 1.36289e-07, 1.7387869, 4.6481997e-05, 0.0141434
3.18000, 4.6423680e-05, 0.0021283689, 1.13681e-07, 1.4963381, 4.6481997e-05, 0.0141434
3.18100, 4.6403080e-05, 0.0013810680, 1.02914e-07, 1.8312085, 4.6481997e-05, 0.0141434
3.18200, 4.6424255e-05, 0.0017605233, 1.00799e-07, 1.5674765, 4.6481997e-05, 0.0141434
3.18300, 4.6429030e-05, 0.0010918301, 7.44265e-08, 1.7490554, 4.6481997e-05, 0.0141434
3.18400, 4.6430998e-05, 0.0016558425, 9.26936e-08, 1.5400527, 4.6481997e-05, 0.0141434
3.18500, 4.6426930e-05, 0.0013810680, 8.61045e-08, 1.6512315, 4.6481997e-05, 0.0141434
3.18600, 4.6384201e-05, 0.0026067093, 1.55643e-07, 1.6373363, 4.6481997e-05, 0.0141434
3.18700, 4.6428171e-05, 0.0020716023, 1.10130e-07, 1.4683077, 4.6481997e-05, 0.0141434
3.18800, 4.6411233e-05, 0.0021561920, 1.23086e-07, 1.5702093, 4.6481997e-05, 0.0141434
3.18900, 4.6386252e-05, 0.0030881630, 1.73107e-07, 1.5442517, 4.6481997e-05, 0.0141434
3.19000, 4.6379102e-05, 0.0024897563, 1.54657e-07, 1.6857758, 4.6481997e-05, 0.0141434
3.19100, 4.6375014e-05, 0.0032388929, 1.84420e-07, 1.5770979, 4.6481997e-05, 0.0141434
3.19200, 4.6417611e-05, 0.0029700999, 1.52426e-07, 1.3942118, 4.6481997e-05, 0.0141434
3.19300, 4.6380795e-05, 0.0028049632, 1.64209e-07, 1.6220520, 4.6481997e-05, 0.0141434
3.19400, 4.6411752e-05, 0.0032388929, 1.66647e-07, 1.3933699, 4.6481997e-05, 0.0141434
3.19500, 4.6438067e-05, 0.0017263351, 9.14847e-08, 1.4583621, 4.6481997e-05, 0.0141434
3.19600, 4.6448882e-05, 0.0012448779, 6.84140e-08, 1.4625244, 4.6481997e-05, 0.0141434
3.19700, 4.6500519e-05, 0.0013372133, 6.56230e-08, 0.67115616, 4.6481997e-05, 0.0141434
3.19800, 4.6475626e-05, 0.00077204045, 3.49056e-08, 1.1405308, 4.6481997e-05, 0.0141434
3.19900, 4.6506831e-05, 0.00059801998, 3.79659e-08, 0.24391576, 4.6481997e-05, 0.0141434
3.20000, 4.6481997e-05, -0.0000000, 0.00000, -2.1991150, 4.6481997e-05, 0.0141434
3.20100, 4.6507704e-05, 0.0000000, 2.72352e-08, -0.27751844, 4.6481997e-05, 0.0141434
