time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6356835e-05, 0.0065236390, 3.27286e-07, 4.3167226, 4.64820e-05, 0.00000
3.00100, 4.6385801e-05, 0.0067305053, 3.26822e-07, 4.4102689, 4.64820e-05, 0.00000
3.00200, 4.6363137e-05, 0.0071262452, 3.51181e-07, 4.3635604, 4.64820e-05, 0.00000
3.00300, 4.6361155e-05, 0.0068184896, 3.38849e-07, 4.3443329, 4.64820e-05, 0.00000
3.00400, 4.6347965e-05, 0.0061570019, 3.15253e-07, 4.2701828, 4.64820e-05, 0.00000
3.00500, 4.6351039e-05, 0.0073567154, 3.65530e-07, 4.3423034, 4.64820e-05, 0.00000
3.00600, 4.6367169e-05, 0.0063757747, 3.17337e-07, 4.3389560, 4.64820e-05, 0.00000
3.00700, 4.6338593e-05, 0.0077435505, 3.86684e-07, 4.3285977, 4.64820e-05, 0.00000
3.00800, 4.6351081e-05, 0.0069911378, 3.49889e-07, 4.3254067, 4.64820e-05, 0.00000
3.00900, 4.6332361e-05, 0.0068446645, 3.50941e-07, 4.2684795, 4.64820e-05, 0.00000
3.01000, 4.6383721e-05, 0.0069483779, 3.36967e-07, 4.4129755, 4.64820e-05, 0.00000
3.01100, 4.6345007e-05, 0.0064316224, 3.28214e-07, 4.2786242, 4.64820e-05, 0.00000
3.01200, 4.6331739e-05, 0.0058287857, 3.09440e-07, 4.2024562, 4.64820e-05, 0.00000
3.01300, 4.6346448e-05, 0.0062530614, 3.19878e-07, 4.2716896, 4.64820e-05, 0.00000
3.01400, 4.6322368e-05, 0.0058492022, 3.14687e-07, 4.1774666, 4.64820e-05, 0.00000
3.01500, 4.6351612e-05, 0.0055565536, 2.88612e-07, 4.2408811, 4.64820e-05, 0.00000
3.01600, 4.6302030e-05, 0.0059301639, 3.28543e-07, 4.1297337, 4.64820e-05, 0.00000
3.01700, 4.6335869e-05, 0.0059301639, 3.11446e-07, 4.2210561, 4.64820e-05, 0.00000
3.01800, 4.6308437e-05, 0.0055026570, 3.08266e-07, 4.1116139, 4.64820e-05, 0.00000
3.01900, 4.6301234e-05, 0.0057256129, 3.21095e-07, 4.1115796, 4.64820e-05, 0.00000
3.02000, 4.6310482e-05, 0.0057671038, 3.17481e-07, 4.1387974, 4.64820e-05, 0.00000
3.02100, 4.6330228e-05, 0.0062052174, 3.24969e-07, 4.2233721, 4.64820e-05, 0.00000
3.02200, 4.6325121e-05, 0.0059301639, 3.16755e-07, 4.1912972, 4.64820e-05, 0.00000
3.02300, 4.6315974e-05, 0.0060594203, 3.26061e-07, 4.1751415, 4.64820e-05, 0.00000
3.02400, 4.6310572e-05, 0.0058593834, 3.21129e-07, 4.1463634, 4.64820e-05, 0.00000
3.02500, 4.6314760e-05, 0.0060790619, 3.27363e-07, 4.1731726, 4.64820e-05, 0.00000
3.02600, 4.6352042e-05, 0.0057774298, 2.98165e-07, 4.2585255, 4.64820e-05, 0.00000
3.02700, 4.6308688e-05, 0.0057463958, 3.18015e-07, 4.1331717, 4.64820e-05, 0.00000
3.02800, 4.6297900e-05, 0.0056099319, 3.18614e-07, 4.0935561, 4.64820e-05, 0.00000
3.02900, 4.6286774e-05, 0.0048583420, 2.98098e-07, 3.9959265, 4.64820e-05, 0.00000
3.03000, 4.6308211e-05, 0.0050390111, 2.91439e-07, 4.0709798, 4.64820e-05, 0.00000
3.03100, 4.6286057e-05, 0.0051674889, 3.09351e-07, 4.0238907, 4.64820e-05, 0.00000
3.03200, 4.6311551e-05, 0.0047591813, 2.78624e-07, 4.0517580, 4.64820e-05, 0.00000
3.03300, 4.6289687e-05, 0.0045934827, 2.86635e-07, 3.9746539, 4.64820e-05, 0.00000
3.03400, 4.6319412e-05, 0.0047841640, 2.74899e-07, 4.0771729, 4.64820e-05, 0.00000
3.03500, 4.6277040e-05, 0.0046961429, 2.99047e-07, 3.9549386, 4.64820e-05, 0.00000
3.03600, 4.6277550e-05, 0.0053711003, 3.22567e-07, 4.0232321, 4.64820e-05, 0.00000
3.03700, 4.6293725e-05, 0.0050033992, 2.98836e-07, 4.0283229, 4.64820e-05, 0.00000
3.03800, 4.6295672e-05, 0.0058593834, 3.29711e-07, 4.1088874, 4.64820e-05, 0.00000
3.03900, 4.6290233e-05, 0.0056628073, 3.25148e-07, 4.0787884, 4.64820e-05, 0.00000
3.04000, 4.6274088e-05, 0.0059301639, 3.44762e-07, 4.0621154, 4.64820e-05, 0.00000
3.04100, 4.6285248e-05, 0.0057980269, 3.32806e-07, 4.0769774, 4.64820e-05, 0.00000
3.04200, 4.6282508e-05, 0.0057671038, 3.33460e-07, 4.0682098, 4.64820e-05, 0.00000
3.04300, 4.6267356e-05, 0.0061278907, 3.55643e-07, 4.0614158, 4.64820e-05, 0.00000
3.04400, 4.6288438e-05, 0.0056205466, 3.24798e-07, 4.0711538, 4.64820e-05, 0.00000
3.04500, 4.6245044e-05, 0.0053932494, 3.44576e-07, 3.9514291, 4.64820e-05, 0.00000
3.04600, 4.6290086e-05, 0.0053377044, 3.13393e-07, 4.0506803, 4.64820e-05, 0.00000
3.04700, 4.6259811e-05, 0.0049071708, 3.17389e-07, 3.9344923, 4.64820e-05, 0.00000
3.04800, 4.6263222e-05, 0.0049555185, 3.17268e-07, 3.9490434, 4.64820e-05, 0.00000
3.04900, 4.6269825e-05, 0.0041718800, 2.86796e-07, 3.8775489, 4.64820e-05, 0.00000
3.05000, 4.6258364e-05, 0.0049193022, 3.19197e-07, 3.9336840, 4.64820e-05, 0.00000
3.05100, 4.6274490e-05, 0.0045543881, 2.95589e-07, 3.9319135, 4.64820e-05, 0.00000
3.05200, 4.6267698e-05, 0.0050978116, 3.18943e-07, 3.9730746, 4.64820e-05, 0.00000
3.05300, 4.6282018e-05, 0.0045674569, 2.91391e-07, 3.9537398, 4.64820e-05, 0.00000
3.05400, 4.6259688e-05, 0.0051327683, 3.25699e-07, 3.9585673, 4.64820e-05, 0.00000
3.05500, 4.6288444e-05, 0.0047966070, 2.94749e-07, 3.9936058, 4.64820e-05, 0.00000
3.05600, 4.6307970e-05, 0.0047841640, 2.81677e-07, 4.0440375, 4.64820e-05, 0.00000
3.05700, 4.6291906e-05, 0.0055565536, 3.20130e-07, 4.0738522, 4.64820e-05, 0.00000
3.05800, 4.6316459e-05, 0.0052476097, 2.94196e-07, 4.1121494, 4.64820e-05, 0.00000
3.05900, 4.6294936e-05, 0.0052702781, 3.07759e-07, 4.0564486, 4.64820e-05, 0.00000
3.06000, 4.6327871e-05, 0.0050743730, 2.81273e-07, 4.1299407, 4.64820e-05, 0.00000
3.06100, 4.6279473e-05, 0.0047841640, 3.00000e-07, 3.9689404, 4.64820e-05, 0.00000
3.06200, 4.6334734e-05, 0.0048213955, 2.67583e-07, 4.1272160, 4.64820e-05, 0.00000
3.06300, 4.6300260e-05, 0.0041432069, 2.64521e-07, 3.9529168, 4.64820e-05, 0.00000
3.06400, 4.6309473e-05, 0.0038602047, 2.48638e-07, 3.9436132, 4.64820e-05, 0.00000
3.06500, 4.6324877e-05, 0.0032388929, 2.17810e-07, 3.9049999, 4.64820e-05, 0.00000
3.06600, 4.6334269e-05, 0.0043536546, 2.50475e-07, 4.0794131, 4.64820e-05, 0.00000
3.06700, 4.6340522e-05, 0.0039818157, 2.32213e-07, 4.0552980, 4.64820e-05, 0.00000
3.06800, 4.6330810e-05, 0.0039517637, 2.37919e-07, 4.0218169, 4.64820e-05, 0.00000
3.06900, 4.6354447e-05, 0.0037979390, 2.17879e-07, 4.0850994, 4.64820e-05, 0.00000
3.07000, 4.6331219e-05, 0.0040264730, 2.40307e-07, 4.0321228, 4.64820e-05, 0.00000
3.07100, 4.6350217e-05, 0.0041861427, 2.34538e-07, 4.1136557, 4.64820e-05, 0.00000
3.07200, 4.6314566e-05, 0.0045281379, 2.68785e-07, 4.0376651, 4.64820e-05, 0.00000
3.07300, 4.6362721e-05, 0.0041287956, 2.25540e-07, 4.1530973, 4.64820e-05, 0.00000
3.07400, 4.6348764e-05, 0.0049193022, 2.64584e-07, 4.1822240, 4.64820e-05, 0.00000
3.07500, 4.6350622e-05, 0.0031832056, 1.97440e-07, 3.9827811, 4.64820e-05, 0.00000
3.07600, 4.6342986e-05, 0.0045543881, 2.53021e-07, 4.1284692, 4.64820e-05, 0.00000
3.07700, 4.6351098e-05, 0.0029296887, 1.88905e-07, 3.9453737, 4.64820e-05, 0.00000
3.07800, 4.6352518e-05, 0.0045017344, 2.45567e-07, 4.1547662, 4.64820e-05, 0.00000
