time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.4955913e-05, 0.010352300, 1.56281e-06, 2.2108753, 4.6445400e-05, 0.00000
3.00100, 4.4977678e-05, 0.0094049955, 1.52934e-06, 2.2331088, 4.6445400e-05, 0.00000
3.00200, 4.4891940e-05, 0.010641893, 1.62772e-06, 2.2153242, 4.6445400e-05, 0.00000
3.00300, 4.4949428e-05, 0.0090760225, 1.55240e-06, 2.2473271, 4.6445400e-05, 0.00000
3.00400, 4.4970537e-05, 0.0091414601, 1.53287e-06, 2.2418254, 4.6445400e-05, 0.00000
3.00500, 4.4935140e-05, 0.0095309056, 1.57173e-06, 2.2374036, 4.6445400e-05, 0.00000
3.00600, 4.4979323e-05, 0.0095994528, 1.53035e-06, 2.2271898, 4.6445400e-05, 0.00000
3.00700, 4.5000550e-05, 0.0094239898, 1.50776e-06, 2.2280634, 4.6445400e-05, 0.00000
3.00800, 4.4957414e-05, 0.010000871, 1.55651e-06, 2.2204030, 4.6445400e-05, 0.00000
3.00900, 4.5005809e-05, 0.0093668923, 1.50189e-06, 2.2288859, 4.6445400e-05, 0.00000
3.01000, 4.4948657e-05, 0.010183956, 1.56737e-06, 2.2169826, 4.6445400e-05, 0.00000
3.01100, 4.4965142e-05, 0.0094366306, 1.54176e-06, 2.2345498, 4.6445400e-05, 0.00000
3.01200, 4.5001401e-05, 0.0095371576, 1.50841e-06, 2.2247188, 4.6445400e-05, 0.00000
3.01300, 4.4951723e-05, 0.010142904, 1.56395e-06, 2.2173951, 4.6445400e-05, 0.00000
3.01400, 4.4946542e-05, 0.0089836093, 1.55397e-06, 2.2506058, 4.6445400e-05, 0.00000
3.01500, 4.4989567e-05, 0.0088499160, 1.51101e-06, 2.2465899, 4.6445400e-05, 0.00000
3.01600, 4.4933353e-05, 0.010183956, 1.58200e-06, 2.2198360, 4.6445400e-05, 0.00000
3.01700, 4.4960146e-05, 0.0089836093, 1.54086e-06, 2.2482584, 4.6445400e-05, 0.00000
3.01800, 4.4991392e-05, 0.010125259, 1.52591e-06, 2.2100928, 4.6445400e-05, 0.00000
3.01900, 4.4935996e-05, 0.0096613457, 1.57268e-06, 2.2334387, 4.6445400e-05, 0.00000
3.02000, 4.5046995e-05, 0.0094239898, 1.46341e-06, 2.2187779, 4.6445400e-05, 0.00000
