time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6230304e-05, 0.0034526715, 2.98279e-07, 3.0921323, 4.6481997e-05, 0.0141434
3.00100, 4.6233272e-05, 0.0034526715, 2.95445e-07, 3.0957654, 4.6481997e-05, 0.0141434
3.00200, 4.6205907e-05, 0.0028261330, 3.05508e-07, 2.9684503, 4.6481997e-05, 0.0141434
3.00300, 4.6209360e-05, 0.0034004871, 3.14827e-07, 3.0493872, 4.6481997e-05, 0.0141434
3.00400, 4.6230368e-05, 0.0038291984, 3.07748e-07, 3.1389940, 4.6481997e-05, 0.0141434
3.00500, 4.6209303e-05, 0.0042427150, 3.36178e-07, 3.1499617, 4.6481997e-05, 0.0141434
3.00600, 4.6215231e-05, 0.0044215783, 3.36438e-07, 3.1804311, 4.6481997e-05, 0.0141434
3.00700, 4.6247462e-05, 0.0046961429, 3.20104e-07, 3.2736099, 4.6481997e-05, 0.0141434
3.00800, 4.6238516e-05, 0.0053932494, 3.48871e-07, 3.3230465, 4.6481997e-05, 0.0141434
3.00900, 4.6229278e-05, 0.0053711003, 3.54939e-07, 3.3031757, 4.6481997e-05, 0.0141434
3.01000, 4.6228331e-05, 0.0046579107, 3.33104e-07, 3.2302296, 4.6481997e-05, 0.0141434
3.01100, 4.6243680e-05, 0.0049795164, 3.31733e-07, 3.2942283, 4.6481997e-05, 0.0141434
3.01200, 4.6232144e-05, 0.0052134232, 3.47235e-07, 3.2924626, 4.6481997e-05, 0.0141434
3.01300, 4.6233968e-05, 0.0050033992, 3.39538e-07, 3.2766779, 4.6481997e-05, 0.0141434
3.01400, 4.6185497e-05, 0.0044215783, 3.60111e-07, 3.1287110, 4.6481997e-05, 0.0141434
3.01500, 4.6230401e-05, 0.0043945350, 3.23718e-07, 3.2058041, 4.6481997e-05, 0.0141434
3.01600, 4.6246918e-05, 0.0038291984, 2.94485e-07, 3.1718810, 4.6481997e-05, 0.0141434
3.01700, 4.6211596e-05, 0.0039967569, 3.28133e-07, 3.1276724, 4.6481997e-05, 0.0141434
3.01800, 4.6236633e-05, 0.0033296358, 2.90234e-07, 3.0892270, 4.6481997e-05, 0.0141434
3.01900, 4.6254975e-05, 0.0038602047, 2.89000e-07, 3.1927106, 4.6481997e-05, 0.0141434
3.02000, 4.6277241e-05, 0.0035547430, 2.62952e-07, 3.2038753, 4.6481997e-05, 0.0141434
3.02100, 4.6249196e-05, 0.0031644255, 2.75055e-07, 3.0874817, 4.6481997e-05, 0.0141434
3.02200, 4.6270407e-05, 0.0034179704, 2.64361e-07, 3.1685741, 4.6481997e-05, 0.0141434
3.02300, 4.6266368e-05, 0.0037505617, 2.76843e-07, 3.2034566, 4.6481997e-05, 0.0141434
3.02400, 4.6294556e-05, 0.0040998212, 2.66645e-07, 3.3166211, 4.6481997e-05, 0.0141434
3.02500, 4.6272955e-05, 0.0039062523, 2.76447e-07, 3.2388194, 4.6481997e-05, 0.0141434
3.02600, 4.6250654e-05, 0.0039062523, 2.93959e-07, 3.1903412, 4.6481997e-05, 0.0141434
3.02700, 4.6276083e-05, 0.0031265267, 2.51746e-07, 3.1388257, 4.6481997e-05, 0.0141434
3.02800, 4.6278044e-05, 0.0039818157, 2.75384e-07, 3.2622359, 4.6481997e-05, 0.0141434
3.02900, 4.6234913e-05, 0.0036211926, 2.98909e-07, 3.1233251, 4.6481997e-05, 0.0141434
3.03000, 4.6260187e-05, 0.0026966222, 2.54545e-07, 3.0388267, 4.6481997e-05, 0.0141434
3.03100, 4.6282146e-05, 0.0031644255, 2.47328e-07, 3.1558259, 4.6481997e-05, 0.0141434
3.03200, 4.6271289e-05, 0.0026966222, 2.45207e-07, 3.0629513, 4.6481997e-05, 0.0141434
3.03300, 4.6255963e-05, 0.0022640675, 2.49298e-07, 2.9617326, 4.6481997e-05, 0.0141434
3.03400, 4.6269911e-05, 0.0022640675, 2.36627e-07, 2.9857581, 4.6481997e-05, 0.0141434
3.03500, 4.6270105e-05, 0.0025371844, 2.42585e-07, 3.0346425, 4.6481997e-05, 0.0141434
3.03600, 4.6301909e-05, 0.0023417152, 2.10398e-07, 3.0696728, 4.6481997e-05, 0.0141434
3.03700, 4.6280574e-05, 0.0020716023, 2.23492e-07, 2.9745166, 4.6481997e-05, 0.0141434
3.03800, 4.6278737e-05, 0.0027621367, 2.40475e-07, 3.0898111, 4.6481997e-05, 0.0141434
3.03900, 4.6304474e-05, 0.0024168694, 2.10029e-07, 3.0900037, 4.6481997e-05, 0.0141434
3.04000, 4.6290929e-05, 0.0033296358, 2.45523e-07, 3.2047417, 4.6481997e-05, 0.0141434
