time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6481997e-05, -0.0000000, 0.00000, -2.1991150, 4.6481997e-05, 0.0141434
3.00100, 4.6531451e-05, 0.0012448779, 7.52646e-08, 0.24030416, 4.6481997e-05, 0.0141434
3.00200, 4.6556262e-05, 0.0035547430, 1.82001e-07, 0.53809566, 4.6481997e-05, 0.0141434
3.00300, 4.6584662e-05, 0.0065509919, 3.21754e-07, 0.63514106, 4.6481997e-05, 0.0141434
3.00400, 4.6759046e-05, 0.010095782, 5.46092e-07, 0.42959236, 4.6481997e-05, 0.0141434
3.00500, 4.6825925e-05, 0.012909566, 6.93576e-07, 0.44424386, 4.6481997e-05, 0.0141434
3.00600, 4.6979520e-05, 0.014389931, 8.36459e-07, 0.32682226, 4.6481997e-05, 0.0141434
3.00700, 4.7078149e-05, 0.014521878, 9.03758e-07, 0.24357006, 4.6481997e-05, 0.0141434
3.00800, 4.7187699e-05, 0.011955486, 9.00913e-07, 0.062637061, 4.6481997e-05, 0.0141434
3.00900, 4.7333328e-05, 0.0062148157, 8.99915e-07, -0.28096114, 4.6481997e-05, 0.0141434
3.01000, 4.7396837e-05, -0.0010918301, 9.16361e-07, -0.67236604, 4.6481997e-05, 0.0141434
3.01100, 4.7573826e-05, -0.0095183896, 1.18008e-06, -1.0081561, 4.6481997e-05, 0.0141434
3.01200, 4.7681236e-05, -0.018724443, 1.48838e-06, -1.2574799, 4.6481997e-05, 0.0141434
3.01300, 4.7767658e-05, -0.025461640, 1.75852e-06, -1.3778513, 4.6481997e-05, 0.0141434
3.01400, 4.7793050e-05, -0.031167226, 1.96892e-06, -1.4719986, 4.6481997e-05, 0.0141434
3.01500, 4.7816717e-05, -0.036301032, 2.17022e-06, -1.5408437, 4.6481997e-05, 0.0141434
3.01600, 4.7867721e-05, -0.039607588, 2.32599e-06, -1.5667134, 4.6481997e-05, 0.0141434
3.01700, 4.7936614e-05, -0.045490146, 2.59347e-06, -1.6124473, 4.6481997e-05, 0.0141434
3.01800, 4.7997944e-05, -0.051117908, 2.85077e-06, -1.6500499, 4.6481997e-05, 0.0141434
3.01900, 4.8056027e-05, -0.060339063, 3.25696e-06, -1.7109927, 4.6481997e-05, 0.0141434
3.02000, 4.8124657e-05, -0.070199639, 3.70370e-06, -1.7608553, 4.6481997e-05, 0.0141434
3.02100, 4.8200074e-05, -0.080897115, 4.19598e-06, -1.8039278, 4.6481997e-05, 0.0141434
3.02200, 4.8234772e-05, -0.095491827, 4.84779e-06, -1.8632168, 4.6481997e-05, 0.0141434
3.02300, 4.8283797e-05, -0.11073443, 5.54425e-06, -1.9098691, 4.6481997e-05, 0.0141434
3.02400, 4.8332327e-05, -0.12850638, 6.36182e-06, -1.9547378, 4.6481997e-05, 0.0141434
3.02500, 4.8401609e-05, -0.14817940, 7.27968e-06, -1.9929606, 4.6481997e-05, 0.0141434
3.02600, 4.8472702e-05, -0.16858795, 8.23705e-06, -2.0260560, 4.6481997e-05, 0.0141434
3.02700, 4.8482560e-05, -0.19052009, 9.24960e-06, -2.0632266, 4.6481997e-05, 0.0141434
3.02800, 4.8560112e-05, -0.21282059, 1.03037e-05, -2.0894669, 4.6481997e-05, 0.0141434
3.02900, 4.8449595e-05, -0.23629567, 1.13592e-05, -2.1302510, 4.6481997e-05, 0.0141434
3.03000, 4.8313665e-05, -0.26109219, 1.24730e-05, -2.1693970, 4.6481997e-05, 0.0141434
3.03100, 4.7841522e-05, 0.28704160, 1.35579e-05, 4.0541012, 4.6481997e-05, 0.0141434
3.03200, 4.7122899e-05, 0.31564236, 1.47252e-05, 3.9833891, 4.6481997e-05, 0.0141434
3.03300, 4.6129866e-05, 0.34396258, 1.58529e-05, 3.9043462, 4.6481997e-05, 0.0141434
3.03400, 4.4885477e-05, 0.37591827, 1.71443e-05, 3.8186443, 4.6481997e-05, 0.0141434
3.03500, 4.3426839e-05, 0.41216210, 1.86391e-05, 3.7309935, 4.6481997e-05, 0.0141434
3.03600, 4.1608644e-05, 0.44962829, 2.02041e-05, 3.6360409, 4.6481997e-05, 0.0141434
3.03700, 3.9687327e-05, 0.48462382, 2.17028e-05, 3.5470851, 4.6481997e-05, 0.0141434
3.03800, 3.7638013e-05, 0.52048510, 2.32714e-05, 3.4619315, 4.6481997e-05, 0.0141434
3.03900, 3.5490336e-05, 0.56018466, 2.50019e-05, 3.3819192, 4.6481997e-05, 0.0141434
3.04000, 3.3198576e-05, 0.60071409, 2.67723e-05, 3.3040855, 4.6481997e-05, 0.0141434
3.04100, 3.1080863e-05, 0.63682151, 2.83469e-05, 3.2376292, 4.6481997e-05, 0.0141434
3.04200, 2.9177734e-05, 0.66542131, 2.96332e-05, 3.1808322, 4.6481997e-05, 0.0141434
3.04300, 2.7606951e-05, 0.69007659, 3.07161e-05, 3.1365531, 4.6481997e-05, 0.0141434
3.04400, 2.6264199e-05, 0.71148920, 3.16405e-05, 3.1002472, 4.6481997e-05, 0.0141434
3.04500, 2.5187369e-05, 0.73022974, 3.24114e-05, 3.0723579, 4.6481997e-05, 0.0141434
3.04600, 2.4164990e-05, 0.74833333, 3.31399e-05, 3.0465744, 4.6481997e-05, 0.0141434
3.04700, 2.3203097e-05, 0.76280808, 3.37584e-05, 3.0222819, 4.6481997e-05, 0.0141434
3.04800, 2.2330991e-05, 0.77683121, 3.43335e-05, 3.0008628, 4.6481997e-05, 0.0141434
3.04900, 2.1515389e-05, 0.79020095, 3.48708e-05, 2.9812100, 4.6481997e-05, 0.0141434
3.05000, 2.0837643e-05, 0.80122399, 3.53109e-05, 2.9650858, 4.6481997e-05, 0.0141434
3.05100, 2.0076815e-05, 0.81430548, 3.58133e-05, 2.9473441, 4.6481997e-05, 0.0141434
3.05200, 1.9455916e-05, 0.82396263, 3.61998e-05, 2.9328444, 4.6481997e-05, 0.0141434
3.05300, 1.8819469e-05, 0.83431941, 3.66008e-05, 2.9182155, 4.6481997e-05, 0.0141434
3.05400, 1.8214169e-05, 0.84094131, 3.69233e-05, 2.9038880, 4.6481997e-05, 0.0141434
3.05500, 1.7580617e-05, 0.84857643, 3.72727e-05, 2.8891733, 4.6481997e-05, 0.0141434
3.05600, 1.6935800e-05, 0.85407525, 3.75917e-05, 2.8739894, 4.6481997e-05, 0.0141434
3.05700, 1.6402598e-05, 0.85819572, 3.78506e-05, 2.8614986, 4.6481997e-05, 0.0141434
3.05800, 1.5878701e-05, 0.86176139, 3.80997e-05, 2.8492677, 4.6481997e-05, 0.0141434
3.05900, 1.5309686e-05, 0.86479026, 3.83609e-05, 2.8359869, 4.6481997e-05, 0.0141434
3.06000, 1.4811188e-05, 0.86451882, 3.85529e-05, 2.8240240, 4.6481997e-05, 0.0141434
3.06100, 1.4343344e-05, 0.86846203, 3.87933e-05, 2.8135398, 4.6481997e-05, 0.0141434
3.06200, 1.3944131e-05, 0.87005085, 3.89766e-05, 2.8044012, 4.6481997e-05, 0.0141434
3.06300, 1.3535403e-05, 0.87295973, 3.91822e-05, 2.7953041, 4.6481997e-05, 0.0141434
3.06400, 1.3190231e-05, 0.87898368, 3.93994e-05, 2.7881754, 4.6481997e-05, 0.0141434
3.06500, 1.2950599e-05, 0.88436741, 3.95634e-05, 2.7834046, 4.6481997e-05, 0.0141434
3.06600, 1.2688394e-05, 0.89253098, 3.97676e-05, 2.7784898, 4.6481997e-05, 0.0141434
3.06700, 1.2446089e-05, 0.89740121, 3.99237e-05, 2.7735918, 4.6481997e-05, 0.0141434
3.06800, 1.2234216e-05, 0.90712011, 4.01202e-05, 2.7700002, 4.6481997e-05, 0.0141434
3.06900, 1.2028464e-05, 0.91055483, 4.02424e-05, 2.7657521, 4.6481997e-05, 0.0141434
3.07000, 1.1831125e-05, 0.92149627, 4.04418e-05, 2.7625954, 4.6481997e-05, 0.0141434
3.07100, 1.1716213e-05, 0.92902660, 4.05690e-05, 2.7608697, 4.6481997e-05, 0.0141434
3.07200, 1.1512067e-05, 0.93633592, 4.07277e-05, 2.7570827, 4.6481997e-05, 0.0141434
3.07300, 1.1348602e-05, 0.94713348, 4.09051e-05, 2.7545745, 4.6481997e-05, 0.0141434
3.07400, 1.1191820e-05, 0.94861674, 4.09812e-05, 2.7512019, 4.6481997e-05, 0.0141434
