time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 3.2328041e-05, 0.0000000, 0.00000, 2.1991150, 3.2328041e-05, -0.158912
3.00100, 3.2319360e-05, -0.0000000, 9.90214e-09, -2.1705010, 3.2328041e-05, -0.158912
3.00200, 3.2274676e-05, -0.0025837421, 9.90342e-08, -1.6717558, 3.2328041e-05, -0.158912
3.00300, 3.2342690e-05, -0.0019834081, 6.48194e-08, -0.87440416, 3.2328041e-05, -0.158912
3.00400, 3.2287869e-05, -0.0028680039, 1.00758e-07, -1.5129185, 3.2328041e-05, -0.158912
3.00500, 3.2289626e-05, -0.0039214818, 1.32602e-07, -1.3972745, 3.2328041e-05, -0.158912
3.00600, 3.2384198e-05, -0.0049071708, 1.67993e-07, -0.76299426, 3.2328041e-05, -0.158912
3.00700, 3.2320807e-05, -0.0045543881, 1.47421e-07, -1.1527610, 3.2328041e-05, -0.158912
3.00800, 3.2361502e-05, -0.0062339678, 2.04416e-07, -0.94007826, 3.2328041e-05, -0.158912
3.00900, 3.2399794e-05, -0.0047214595, 1.68908e-07, -0.66500966, 3.2328041e-05, -0.158912
3.01000, 3.2377155e-05, -0.0052815755, 1.77648e-07, -0.82391426, 3.2328041e-05, -0.158912
3.01100, 3.2474533e-05, -0.0049795164, 2.17971e-07, -0.36688256, 3.2328041e-05, -0.158912
3.01200, 3.2585699e-05, -0.0041432069, 2.90663e-07, -0.013849461, 3.2328041e-05, -0.158912
3.01300, 3.2620111e-05, -0.0064223483, 3.58726e-07, -0.15327956, 3.2328041e-05, -0.158912
3.01400, 3.2816722e-05, -0.0071011083, 5.40625e-07, 0.023890739, 3.2328041e-05, -0.158912
3.01500, 3.2923393e-05, -0.0089570303, 6.63243e-07, 0.0084877390, 3.2328041e-05, -0.158912
3.01600, 3.3036560e-05, -0.013641429, 8.37084e-07, -0.099035461, 3.2328041e-05, -0.158912
3.01700, 3.3251477e-05, -0.019464303, 1.12248e-06, -0.14509026, 3.2328041e-05, -0.158912
3.01800, 3.3347628e-05, -0.029242933, 1.40053e-06, -0.30072516, 3.2328041e-05, -0.158912
3.01900, 3.3487316e-05, -0.041149110, 1.78234e-06, -0.41400496, 3.2328041e-05, -0.158912
3.02000, 3.3709105e-05, -0.051833816, 2.19877e-06, -0.44845936, 3.2328041e-05, -0.158912
3.02100, 3.3743707e-05, -0.058919813, 2.40624e-06, -0.50217246, 3.2328041e-05, -0.158912
3.02200, 3.3952010e-05, -0.062191639, 2.62323e-06, -0.46530646, 3.2328041e-05, -0.158912
3.02300, 3.4109777e-05, -0.062303741, 2.73013e-06, -0.42192356, 3.2328041e-05, -0.158912
3.02400, 3.4166117e-05, -0.063345201, 2.79450e-06, -0.41567636, 3.2328041e-05, -0.158912
3.02500, 3.4422108e-05, -0.060852837, 2.91629e-06, -0.33128596, 3.2328041e-05, -0.158912
3.02600, 3.4526812e-05, -0.045282576, 2.66890e-06, -0.15623546, 3.2328041e-05, -0.158912
3.02700, 3.4471222e-05, -0.015487216, 2.20464e-06, 0.22486304, 3.2328041e-05, -0.158912
3.02800, 3.4274105e-05, 0.028018646, 2.15800e-06, 0.93052244, 3.2328041e-05, -0.158912
3.02900, 3.3646660e-05, 0.075242385, 2.80964e-06, 1.5896802, 3.2328041e-05, -0.158912
3.03000, 3.2855882e-05, 0.12109929, 3.97949e-06, 1.9679652, 3.2328041e-05, -0.158912
3.03100, 3.1931251e-05, 0.16945782, 5.45245e-06, 2.1975068, 3.2328041e-05, -0.158912
3.03200, 3.0538678e-05, -0.21862942, 7.08547e-06, -3.8799212, 3.2328041e-05, -0.158912
3.03300, 2.8804938e-05, -0.26770410, 8.87412e-06, -3.7047412, 3.2328041e-05, -0.158912
3.03400, 2.6702511e-05, -0.30723032, 1.06061e-05, -3.5376399, 3.2328041e-05, -0.158912
3.03500, 2.4271418e-05, -0.33031341, 1.22370e-05, -3.3710001, 3.2328041e-05, -0.158912
3.03600, 2.2278302e-05, -0.34087035, 1.35600e-05, -3.2536504, 3.2328041e-05, -0.158912
3.03700, 2.0739679e-05, -0.34743887, 1.46429e-05, -3.1754177, 3.2328041e-05, -0.158912
3.03800, 1.9449729e-05, -0.34992662, 1.55583e-05, -3.1151035, 3.2328041e-05, -0.158912
3.03900, 1.8501553e-05, -0.35331976, 1.62808e-05, -3.0763090, 3.2328041e-05, -0.158912
3.04000, 1.7560131e-05, -0.35908082, 1.70442e-05, -3.0426538, 3.2328041e-05, -0.158912
3.04100, 1.6718549e-05, -0.35699302, 1.76581e-05, -3.0094059, 3.2328041e-05, -0.158912
3.04200, 1.6137763e-05, -0.35603046, 1.80986e-05, -2.9882138, 3.2328041e-05, -0.158912
3.04300, 1.5445700e-05, -0.35446951, 1.86306e-05, -2.9640706, 3.2328041e-05, -0.158912
3.04400, 1.4907536e-05, -0.34984541, 1.90226e-05, -2.9441326, 3.2328041e-05, -0.158912
3.04500, 1.4479028e-05, -0.34633979, 1.93436e-05, -2.9290927, 3.2328041e-05, -0.158912
3.04600, 1.3958924e-05, -0.34322917, 1.97501e-05, -2.9123399, 3.2328041e-05, -0.158912
3.04700, 1.3612814e-05, -0.33614931, 1.99880e-05, -2.8987672, 3.2328041e-05, -0.158912
3.04800, 1.3225387e-05, -0.33176893, 2.02865e-05, -2.8861597, 3.2328041e-05, -0.158912
