# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
1.987234147569805209e-01,0.000000000000000000e+00,3.753122112308271419e-01,7.163169117297885080e-01,4.921240625027549775e-01,3.686577989642186304e-01,8.795707739951194037e-01,9.101627441918868078e-01,3.406662883795019692e-01,9.637038077253272661e-01,9.898526189560170607e-01,8.936041704998225477e-01
2.018794043775282709e-01,0.000000000000000000e+00,3.767220869667204930e-01,6.591277676491436033e-01,4.882278245016826723e-01,3.744956649093619805e-01,8.642564375615779948e-01,9.113201877743046797e-01,3.237135926262455499e-01,9.641714399391190238e-01,9.876934086205197971e-01,8.995335448227412822e-01
2.050258352638416603e-01,0.000000000000000000e+00,3.792247811007758429e-01,6.700808814198297991e-01,4.672512577278933321e-01,6.110607644408501127e-01,9.170189617075810151e-01,9.582227303899953919e-01,5.605401271706738076e-01,9.831210804823066196e-01,9.950984427749336447e-01,8.946193157661479489e-01
2.028957590465072514e-01,0.000000000000000000e+00,3.736914840137726124e-01,7.159570468016978051e-01,4.571057345928957183e-01,3.674528520543011711e-01,7.962108324661746339e-01,9.099238455804518066e-01,1.536438471754144608e-01,9.636072875249181990e-01,9.854552416225530465e-01,9.022348530339614481e-01
2.007631267685141552e-01,0.000000000000000000e+00,3.661805738713574954e-01,6.555459346502927609e-01,4.404145732646043143e-01,3.867499742004115171e-01,9.999999999999997780e-01,9.137497864973944672e-01,3.472117709162048094e-01,9.651530503145731021e-01,9.820842094635198194e-01,9.061248129770314019e-01
1.986239537404856925e-01,0.000000000000000000e+00,3.789114766154728642e-01,7.243198805053272515e-01,4.093970307694720923e-01,5.359267571724497525e-01,9.614841170205596921e-01,9.433262981403824909e-01,4.887666840024305071e-01,9.771026000169922288e-01,9.910662053227490276e-01,9.067781008255213493e-01
1.841709428599522802e-01,0.000000000000000000e+00,3.806448554361234748e-01,6.665986544441093731e-01,3.926404229742921359e-01,3.675006872093795063e-01,9.727233075369811077e-01,9.099333296100234891e-01,3.014498805560290595e-01,9.636111192777669920e-01,9.830660492028178155e-01,9.086405523136533713e-01
1.098249577455168158e-01,0.000000000000000000e+00,3.724361935753925934e-01,3.791158322913710244e-01,1.320911537851081619e-01,8.217752245165879099e-01,6.141424355603117835e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999999999999998890e-01,9.878739257288682296e-01,9.261617053747183137e-01
8.464084333507049251e-02,0.000000000000000000e+00,3.744772507945013373e-01,4.734021188470995956e-01,1.414337824267142274e-01,5.464285924471512512e-01,6.078488387752996047e-01,9.454084428755532565e-01,7.322377256385776967e-01,9.779438314746057292e-01,9.827767214335159096e-01,9.245265710416596949e-01
8.646400229095174694e-02,0.000000000000000000e+00,3.780839404020208683e-01,4.446679961521942115e-01,1.399312071497176291e-01,7.575268415623348517e-01,5.782768776926323628e-01,9.872618043596919080e-01,8.473021140539134244e-01,9.948534937534092570e-01,9.841804708610730756e-01,9.258719887911079915e-01
8.828105947793485342e-02,0.000000000000000000e+00,3.790763815542765869e-01,3.561554409586351611e-01,1.539223249190611043e-01,5.851119669889721653e-01,5.022042615591949533e-01,9.530779961044942850e-01,6.635624049784365486e-01,9.810424966793073187e-01,9.824089647302018946e-01,9.263058496669351882e-01
9.010048984319896093e-02,0.000000000000000000e+00,3.879090122240769212e-01,4.266721682997509646e-01,1.591279397757117131e-01,6.305101961997245930e-01,3.955322979901805258e-01,9.620788689485919587e-01,6.452055844452162514e-01,9.846790437716077538e-01,9.791627265043887363e-01,9.278827390871700054e-01
9.660556437758049952e-02,0.000000000000000000e+00,3.745875021946205585e-01,4.184222137184776535e-01,1.403411078964231784e-01,5.613229823320495804e-01,4.122791356366659610e-01,9.483614767664132472e-01,7.679349781673368014e-01,9.791369209666224149e-01,9.820751236395093287e-01,9.266688415491802777e-01
1.030827171545465326e-01,0.000000000000000000e+00,3.676983854731452617e-01,3.233109047736169028e-01,1.542028196546780805e-01,7.198022772798937652e-01,4.190329490894219022e-01,9.797823494975005376e-01,6.324177662333969607e-01,9.918316323959376346e-01,9.809409146973937510e-01,9.314797871704988408e-01
1.095405323747824511e-01,0.000000000000000000e+00,3.888050996164782447e-01,4.074666935084512165e-01,1.634290151837016758e-01,5.287933520383376607e-01,3.316453405036801083e-01,9.419119946824323630e-01,5.866829847679182475e-01,9.765311908640441629e-01,9.803994228213515072e-01,9.310391018203416635e-01
8.863662950728379286e-02,0.000000000000000000e+00,3.811993498090431309e-01,3.954705511503282533e-01,1.635821392321985535e-01,7.608591253054142189e-01,5.335240234009984706e-01,9.879224790770397835e-01,7.514251586460203303e-01,9.951204206130530583e-01,9.790419224892668026e-01,9.343155635058028041e-01
5.549335016310541491e-02,0.000000000000000000e+00,3.791533312289607771e-01,3.943962485096141890e-01,1.775232074289063711e-01,8.118840542760172863e-01,4.013217140655600534e-01,9.980389286727154863e-01,5.580772630443040505e-01,9.992076848149556989e-01,9.760757756027889087e-01,9.366361163972822812e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.961498907129078262e-01,6.460409005160385743e-01,9.664475154849805349e-01,1.713633381419946144e-01,5.147417695728185860e-01,8.710461886438340962e-01,2.362112569620993252e-01,9.478998741732205247e-01,8.909629331688195819e-01,9.036537497635910299e-01
9.993282273083972100e-01,0.000000000000000000e+00,9.952780003110142104e-01,5.291902729433026753e-01,9.823764976345286115e-01,1.623514812452923062e-01,5.364425603043829760e-01,8.692594542397262813e-01,2.398305806818190611e-01,9.471779948716778641e-01,8.911232497847336731e-01,9.050599393849401153e-01
9.986562005962342781e-01,0.000000000000000000e+00,9.903819328414660283e-01,6.220887022616268247e-01,9.970076809162153886e-01,1.196130452169964498e-01,5.795119901625214176e-01,8.607859248767092408e-01,2.149085968350044062e-01,9.437545059389562674e-01,8.896489803353686554e-01,9.095707046321551692e-01
9.979839196713307103e-01,0.000000000000000000e+00,9.819559695379020958e-01,6.065717633402314402e-01,1.000000000000000000e+00,1.060676275112584221e-01,5.977428648350361362e-01,8.581003447448599664e-01,1.881940671808584042e-01,9.426694735439012929e-01,8.870683112064137177e-01,9.123103741607172523e-01
9.633222989322307583e-01,0.000000000000000000e+00,9.985760306321256330e-01,5.326102929512688267e-01,9.999879428235076695e-01,1.594455992927774624e-01,4.898216102085314327e-01,8.686833200069763450e-01,1.365754344627401196e-01,9.469452241943033810e-01,8.865101337673602089e-01,9.158149377004118907e-01
9.279738308042317918e-01,0.000000000000000000e+00,9.964996206437164439e-01,6.282785068726985944e-01,9.867129480923062523e-01,1.813889744526404613e-01,5.245901444996557972e-01,8.730339198655601152e-01,1.626833983302611308e-01,9.487029605316044112e-01,8.868755271644488403e-01,9.188895428215841932e-01
8.919053025857315298e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.743017899240511426e-01,9.706337984251618423e-01,1.965209143911639256e-01,6.909326057716802527e-01,8.760340515808058282e-01,3.452480339211529969e-01,9.499150785622184623e-01,8.865393201857658667e-01,9.199419239331921849e-01
8.691732492127868248e-01,0.000000000000000000e+00,9.921158587350569213e-01,6.083125946224676728e-01,9.655528617047672846e-01,1.932735432083964588e-01,7.414911001116374356e-01,8.753902120390038011e-01,3.552597492472699958e-01,9.496549534772180667e-01,8.865329753963262505e-01,9.220790245281994535e-01
8.555954708301340972e-01,0.000000000000000000e+00,9.890495485054784375e-01,4.861959031331228864e-01,9.584248175037703987e-01,2.395640945927968724e-01,7.918347486471644103e-01,8.845680009998884152e-01,3.918722273285646374e-01,9.533629785029619219e-01,8.853850686881052923e-01,9.238182379775805586e-01
8.419159304948204969e-01,0.000000000000000000e+00,9.888915195380749701e-01,4.630019611972868709e-01,9.501488322794995334e-01,2.534803055685641571e-01,8.236644107724943042e-01,8.873270964016721774e-01,4.139561242873424085e-01,9.544777126553631863e-01,8.844137409561998453e-01,9.276885091168939335e-01
7.378862578380767090e-01,0.000000000000000000e+00,9.992872542877626607e-01,0.000000000000000000e+00,8.304066798763551915e-01,5.426948271479570263e-01,4.705792768675925997e-01,9.446681684800094514e-01,4.512816521697460281e-01,9.776447446252247708e-01,8.722691271149223269e-01,9.592190889806144760e-01
7.248794610283981754e-01,0.000000000000000000e+00,9.933121463967435893e-01,1.450258296707542804e-01,8.279004051028295841e-01,5.529199220908593837e-01,3.936927249619082136e-01,9.466954453363959354e-01,3.318582439077311097e-01,9.784638082743923881e-01,8.692189761620348065e-01,9.663283861984570677e-01
7.117767699185963970e-01,0.000000000000000000e+00,9.952187459186889740e-01,1.486655381912540541e-01,8.220187910095932970e-01,5.632287665584805314e-01,3.431694721082707566e-01,9.487393267792576523e-01,3.120864471025017739e-01,9.792895805352370697e-01,8.611553314203188592e-01,9.639487173508460849e-01
6.758283512205545129e-01,0.000000000000000000e+00,9.873587380077402109e-01,1.399207760577469983e-01,8.262431688745990321e-01,5.914916734208626181e-01,2.436354530180024902e-01,9.543428676066302296e-01,2.740812673440766734e-01,9.815535320936386032e-01,8.522657877324419928e-01,9.688746438378660342e-01
6.391377517578495926e-01,0.000000000000000000e+00,9.999538475712830277e-01,1.143464403171585708e-01,8.230100585936552804e-01,6.203443806234267832e-01,2.775068696254427980e-01,9.600633451065929691e-01,2.668470026757201463e-01,9.838647285941758414e-01,8.416514769944649643e-01,9.786423213547265076e-01
6.016736786279919258e-01,0.000000000000000000e+00,9.974836250105751922e-01,1.026092854166091861e-01,8.177595112156392787e-01,5.472279896388383413e-01,2.201486957607639017e-01,9.455669352352641388e-01,2.671489130768596176e-01,9.780078658121462709e-01,8.400096159771752724e-01,9.814328586067790905e-01
5.873038195676838491e-01,0.000000000000000000e+00,9.920175183407784480e-01,9.317711445825915817e-02,8.215328319810955016e-01,5.935602469043974594e-01,1.945179509351981917e-01,9.547529930061813275e-01,2.878464887119391857e-01,9.817192316157903331e-01,8.297669435994530218e-01,9.871907518002751569e-01
5.886971700036909283e-01,0.000000000000000000e+00,9.881774009090511512e-01,8.204599206402196643e-02,8.115192114017824032e-01,6.600049533164551452e-01,8.511570107621269088e-02,9.679266423747932002e-01,2.766622033803693981e-01,9.870416705765658882e-01,8.200414060713452358e-01,9.869871142670347819e-01
5.900926208989356603e-01,0.000000000000000000e+00,9.919340169144614805e-01,2.038928245466382627e-01,8.137354388833504260e-01,6.589103529011293148e-01,1.427141362680184322e-01,9.677096215939229307e-01,2.824565829185055055e-01,9.869539894923741175e-01,8.092725414983608090e-01,9.973534038780857980e-01
5.825402890358764019e-01,0.000000000000000000e+00,9.985390750900458023e-01,1.019676572672283399e-01,8.062792833126892766e-01,6.611607277456463816e-01,9.740635967771615888e-02,9.681557918119951811e-01,2.614035996216301783e-01,9.871342518999545179e-01,7.950956205158110635e-01,1.000000000000000000e+00
3.176667841613505239e-01,0.000000000000000000e+00,1.263312766840174461e-02,9.398210796747974438e-01,3.843287782001003627e-01,8.624748500898311576e-01,6.330985227132890358e-01,1.305642051702121664e-01,3.592991668365310698e-01,4.678793248608148492e-02,6.368724811690906762e-02,3.515854276957598445e-01
3.113936417083724706e-01,0.000000000000000000e+00,1.873498382122784633e-02,8.219915157183230736e-01,3.659059730760119145e-01,5.218118270479252807e-01,3.289218588148545841e-02,0.000000000000000000e+00,1.952753587393907253e-02,1.773864745363441520e-01,7.815141514167311954e-02,0.000000000000000000e+00
3.051994494571759198e-01,0.000000000000000000e+00,1.627144357212273462e-02,9.651396380273131737e-01,3.901294045738090688e-01,8.087202223141882751e-01,6.176302252556709060e-01,8.355908956971980217e-02,1.849058575037250129e-01,9.032740936023475609e-02,5.982918521758850972e-02,4.575343409857620669e-01
3.089723977706362312e-01,0.000000000000000000e+00,9.989337654351615470e-03,9.892308840918682122e-01,3.901294045738090688e-01,8.666778356843314324e-01,8.070479866586850459e-01,1.419506614948351508e-01,4.188897988126125682e-01,1.937674863761736921e-01,4.707142727534652238e-02,5.557222218020551052e-01
3.127410843665860973e-01,0.000000000000000000e+00,8.665761035516528210e-03,1.000000000000000000e+00,3.708939244165270210e-01,8.579830764569273960e-01,7.990838358625075299e-01,1.255831305384679242e-01,4.039518505864243547e-01,1.707888388313213435e-01,4.571851093551870804e-02,5.905041934873865861e-01
3.165017961548408643e-01,0.000000000000000000e+00,6.168809396116525789e-03,9.236199190752418797e-01,3.526064100874277685e-01,5.585720763790016363e-01,0.000000000000000000e+00,3.833140400557211169e-02,0.000000000000000000e+00,1.932937330473705195e-01,7.004973039808071178e-02,3.027536433369284463e-01
2.789880755765588027e-01,0.000000000000000000e+00,1.653842834736662937e-02,9.342194217284478519e-01,3.569696907834725152e-01,6.311124127627616431e-01,1.225214041240494378e-01,1.912431774386191830e-02,5.790035356992184745e-03,1.721071934826324812e-01,5.406119922467311767e-02,4.503301009263535049e-01
2.195271878785018949e-01,0.000000000000000000e+00,1.303973461588903149e-02,8.930618705732891183e-01,3.607995387893612182e-01,7.903277715819039262e-01,6.778630469580823048e-01,9.263558769491220257e-02,2.010066938826255978e-01,1.743362705567267357e-01,2.506206059970583766e-02,6.327966414893393399e-01
1.580078275532614818e-01,0.000000000000000000e+00,5.145858974776373884e-03,9.693229442513671135e-01,3.382774087751956316e-01,9.139404871800365093e-01,8.485737027993697223e-01,1.871497303567278836e-01,5.925781502188440797e-01,1.167693658369702847e-01,2.951464590709651503e-02,6.944083878282333311e-01
1.219708475712115714e-01,0.000000000000000000e+00,6.461954817175374899e-03,8.087734044574481640e-01,3.258664827421680066e-01,1.000000000000000222e+00,7.946025339532185594e-01,1.395876327936115269e-01,3.167087155683256938e-01,1.963763805587963596e-01,1.673190618256104045e-02,7.100582116590287152e-01
6.546108641682257812e-02,0.000000000000000000e+00,8.202243863163705129e-03,7.025527591506319780e-01,6.496386474837523295e-02,5.104750565347200286e-01,2.748973601024937707e-01,1.158196302651058884e-01,8.873077714333263977e-01,2.185339295812930294e-01,2.821290875892845662e-02,8.684672560290523924e-01
5.834144859308043607e-02,0.000000000000000000e+00,1.262270045595093038e-02,6.269703085256648212e-01,6.370748882340526720e-02,4.106811559389605404e-01,2.666222641654212300e-01,1.100959689164667799e-01,7.405388093502875968e-01,0.000000000000000000e+00,1.884025275287104506e-02,8.836615460843477710e-01
4.027521573450121295e-02,0.000000000000000000e+00,5.610284771471629739e-03,6.069645981982552119e-01,5.031268006593192510e-02,3.668978445603618410e-01,2.527105561786344712e-01,8.219929350924826128e-02,7.259334196687627916e-01,2.160209078704256047e-01,1.668313746576721712e-02,8.943051030316181427e-01
2.202344336474304498e-02,0.000000000000000000e+00,2.160458715487312276e-03,6.673272805267560503e-01,4.253783792640142281e-02,4.142755308571127171e-01,3.056163098655082511e-01,1.106611574634194239e-01,8.876749996990351832e-01,1.618806821425706755e-01,4.394168666977193993e-02,8.836517559226977347e-01
3.582280937474813243e-03,0.000000000000000000e+00,2.135964606345464034e-03,6.328902428764899835e-01,7.451772239856246927e-02,0.000000000000000000e+00,1.147377065876984403e-01,1.101728451905092943e-01,6.719579545087315253e-01,2.128149297385892869e-01,4.518618542234964508e-02,9.078820763940901317e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.529376241955265670e-03,6.307637942532757780e-01,3.515541998784099675e-02,4.394350306514399063e-01,3.153679277003569315e-01,1.311434239457490714e-01,8.680717579733545630e-01,1.843840924040027751e-01,3.534312670670125556e-02,9.029732099430818337e-01
3.790950611675558690e-03,0.000000000000000000e+00,1.127004796420072452e-02,6.045225840723806865e-01,1.670975231155891194e-02,4.571327551408636558e-01,3.249225148825998222e-01,1.300689369520686700e-01,8.385574168633131986e-01,2.456962858502510505e-01,1.368203797160472135e-02,9.160985117541495804e-01
7.573832013703984956e-03,0.000000000000000000e+00,5.718514532697227537e-03,5.846490346955435236e-01,8.827650402948084007e-03,3.404046228167393884e-01,2.794279583766670072e-01,1.128922662530945642e-01,7.332644148351452618e-01,1.110695535427886904e-01,4.407030888323504314e-03,9.282459464208707711e-01
1.677781430629199377e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.420653686913149194e-01,8.885858668080004463e-03,2.471757210782556391e-01,2.303770349084397484e-01,9.548695239320037498e-02,7.885012504919499676e-01,2.336887834588484703e-01,2.314525942699141581e-02,9.261974509293137148e-01
3.637395486026040459e-02,0.000000000000000000e+00,1.814006290910441521e-03,5.924651491837966688e-01,0.000000000000000000e+00,2.669714775931892325e-01,2.409906623337114695e-01,9.350672475165655584e-02,7.086876440262084298e-01,4.680561555300433163e-02,0.000000000000000000e+00,9.417469776100395595e-01
