K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
TruePositive,0.9032307692307693,0.9495384615384616,0.9335384615384615,0.9804615384615385,0.9881538461538462,0.9843076923076923,0.9843076923076923,0.992153846153846,0.992153846153846,0.9883076923076924,0.9883076923076924
FalsePositive,0.4084045584045583,0.2586894586894587,0.0670940170940171,0.04472934472934472,0.05213675213675213,0.03732193732193732,0.03732193732193732,0.041025641025641026,0.044871794871794865,0.04472934472934472,0.04472934472934472
Precision,0.6898737677159581,0.7880711426266537,0.9307132682132682,0.9553152218152219,0.9488381190967399,0.9622279202279203,0.9622279202279203,0.9589540089540091,0.9552503052503054,0.9551282051282053,0.9551282051282053
F-measure,0.7786503987183684,0.8584698610979273,0.9316671680121816,0.9673761328430743,0.9677340591277488,0.9730595065312049,0.9730595065312049,0.9751730429310896,0.9732862504782596,0.9713309997438744,0.9713309997438744
weight0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43622460521080414,-0.9239257543826866,-0.9973907601501486
weight1,0.0,0.0,0.0,0.0,0.0,0.0,-0.10507229425270755,0.0,0.0,0.7737480124158705,0.7904274361856092
weight2,0.0,0.0,0.0,0.0,0.0,3.654056806206763,3.594161324303825,2.7822437784439145,2.8584841512420254,0.0,0.7554026932523599
weight3,-4.511623429985336,-4.772485871378896,-5.98382150019979,-4.898063104002576,-4.892406299103469,-6.566245276703097,-6.562216969246696,-6.382783254409704,-6.362036631798498,-5.038319973213816,-5.231152678890233
weight4,0.0,-6.324024299303511,0.0,-4.0934719857089314,-3.4328188041465557,0.0,0.0,0.0,0.0,-3.8056650853493297,-3.4373094222520963
weight5,0.0,0.0,0.0,0.0,1.0424880680544892,0.0,0.0,1.1116860313505155,1.1489265891922833,1.2444866164701063,1.158760772277931
weight6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5255049023738512,0.5352335250526834,0.12441878728559339,0.027976388089910244
weight7,0.0,0.0,-3.7912201150207734,-3.832424199344392,-3.497043418585224,-3.7262677181306416,-3.7120627714537933,-3.9044526354230067,-3.8491665656265526,-3.6556044200593,-3.6412733840372473
weight8,0.0,0.0,0.0,0.0,0.0,1.7290937600724647,1.7150134543184314,1.5316187066835751,1.541421058993242,1.7157140007775773,1.7041126546513727
weight9,0.0,0.0,5.856212189225281,4.875632067350698,4.955533823793571,4.14603483810361,4.176553170040269,4.377538173890612,4.221879575455432,4.027277330743117,3.9555430126036852
weight10,0.0,0.0,0.0,0.0,0.0,-1.1180139303866363,-1.098507430863815,-0.8043675933057344,-0.8067885651903763,-1.1324225499036977,-1.1681073928879635
bias,2.197683241680415,4.021920105146963,1.781236240815262,3.1280834622405362,2.3458959561558617,-0.27303607058429546,-0.16511010217154642,-0.4630031092189455,-0.23716944600010242,2.4551526849147858,2.0281996692546267
