# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
1.962224908087514486e+00,9.315733554053119425e-01,2.134501296541434723e+00,-8.159161252287002730e-01,-1.062560051375612380e+00,8.719500540422741031e-01,-5.264334615068898549e-01,6.985873559352273610e-01,-1.014877022273229512e+00,6.985873559352273610e-01
1.111900277661707293e+00,9.315733554053119425e-01,1.043849825773374818e+00,-2.119255710893335198e+00,-1.905763902801498100e+00,-3.104390595743971026e-01,-2.031200099459331554e+00,-3.005703824632306453e+00,-2.633121779894592063e+00,-8.052811586172992975e+00
