shotNO,time,type,nel,B,Pech,Pnbi-tan,Pinput,Prad,Prad_over_Pinput,Wp,beta,Rax,rax_vmec,a99,D/(H+D),CIII,CIV,OV,OVI,FeXVI,Ip,Isat@7L,SDLloop_dPhi,SDLloop_dPhi_ext,SDLloop_dTheta
114282,3.436,0,4.362848,-2.5385,1.371176,-10.8901,-9.518924,837.985785,,0.18907,0.242037,3.9,3.945688,0.572711,,108.943,0.66502,10.4174,0.5513,,-2.8288,0.216472,0.000502,0.000576,0.221566
114282,3.446,0,4.451066,-2.5385,1.366364,-10.931086,-9.564722,862.38425,,0.190113,0.243372,3.9,3.945209,0.572152,,112.073,0.64454,8.43986,0.56204,,-2.999,0.216472,0.000496,0.000576,0.234434
114282,3.456,0,4.551224,-2.5385,1.360303,-11.006038,-9.645735,878.165858,,0.190684,0.244103,3.9,3.943058,0.572022,,114.129,0.61524,9.16252,0.564,,-3.1722,0.227504,0.00049,0.000576,0.24355
114282,3.466,0,4.651381,-2.5385,1.354242,-11.090924,-9.736682,909.651285,,0.191599,0.245275,3.9,3.940906,0.571891,,114.734,0.61424,12.7221,0.59622,,-3.8668,0.227504,0.000484,0.000576,0.254023
114282,3.476,0,4.747756,-2.5385,1.230955,-11.135336,-9.904381,924.764839,,0.193247,0.247384,3.9,3.940018,0.571418,,116.375,0.7236,10.393,0.61182,,-4.2426,0.232786,0.000479,0.000576,0.269403
114282,3.486,0,4.835309,-2.5385,0.834136,-11.118478,-10.284342,933.234301,,0.1949,0.2495,3.9,3.942079,0.570145,,115.022,0.67576,11.4867,0.59032,,-4.6735,0.23384,0.000475,0.000576,0.279164
114282,3.496,0,4.922862,-2.5385,0.437318,-11.138746,-10.701428,950.588097,,0.196113,0.251054,3.9,3.944139,0.568873,,116.556,0.64646,7.12639,0.59912,,-5.0124,0.23384,0.00047,0.000576,0.290322
114282,3.506,0,5.010415,-2.5385,0.0405,-11.20489,-11.16439,947.474507,,0.191272,0.244857,3.9,3.9462,0.5676,,124.183,0.75978,9.25041,0.64502,,-5.2825,0.23384,0.000467,0.000576,0.291033
114282,3.516,0,5.082094,-2.5385,0.0,-11.216678,-11.216678,981.061482,,0.187269,0.239731,3.9,3.9442,0.567206,,135.745,0.9873,12.224,0.62258,,-5.2697,0.251211,0.000471,0.000576,0.291578
114282,3.526,0,5.153772,-2.5385,0.0,-11.227886,-11.227886,1005.146206,,0.185831,0.237891,3.9,3.9422,0.566812,,-159.934,1.23144,10.6078,0.62552,,-5.1872,0.27343,0.000482,0.000576,0.282723
114282,3.536,0,5.225451,-2.5385,0.0,-11.256172,-11.256172,1023.278829,,0.186814,0.23915,3.9,3.9402,0.566418,,-159.934,1.291,12.8002,0.6587,,-5.0283,0.27343,0.000491,0.000576,0.289716
114282,3.546,0,5.349308,-2.5385,0.0,-11.310746,-11.310746,1045.469999,,0.18588,0.237954,3.9,3.9394,0.566036,,-159.934,1.40528,13.2348,0.6782,,-4.6302,0.27343,0.000498,0.000576,0.282595
114282,3.556,0,5.507949,-2.5385,0.0,-11.298238,-11.298238,1050.278851,,0.185422,0.237367,3.9,3.9394,0.565664,,-159.934,1.8301,12.8393,0.71534,,-4.328,0.27343,0.000507,0.000576,0.279388
114282,3.566,0,5.666591,-2.5385,0.0,-11.29103,-11.29103,1082.027222,,0.185831,0.237891,3.9,3.9394,0.565291,,-159.934,1.87308,15.6567,0.73196,,-4.2412,0.27343,0.000517,0.000576,0.268868
114282,3.576,0,5.845494,-2.5385,0.0,-11.230296,-11.230296,1070.034599,,0.186611,0.238889,3.9,3.938791,0.564453,,-159.934,1.97172,12.8295,0.80908,,-3.8221,0.27343,0.000528,0.000576,0.260636
114282,3.586,0,6.071675,-2.5385,0.0,-11.144224,-11.144224,1098.443854,,0.186837,0.239178,3.9,3.936761,0.562528,,-159.934,2.1299,13.2543,0.85886,,-3.5149,0.191078,0.000538,0.000576,0.254129
114282,3.596,0,6.297856,-2.5385,0.0,-11.14384,-11.14384,1146.929758,,0.187214,0.239662,3.9,3.93473,0.560604,,-159.934,2.37794,15.4418,0.9214,,-3.3262,0.187715,0.000551,0.000576,0.246565
114282,3.606,0,6.524037,-2.5385,0.0,-11.166254,-11.166254,1226.749812,,0.187335,0.239817,3.9,3.9327,0.55868,,-159.934,2.33008,19.1088,0.9878,,-3.1545,0.182436,0.000565,0.000576,0.236255
114282,3.616,0,6.436503,-2.5385,0.0,-11.139994,-11.139994,1329.856091,,0.186041,0.23816,3.9,3.9327,0.553918,,-159.934,2.67188,20.3832,1.2173,,-3.0445,0.182436,0.000587,0.000576,0.22779
114282,3.626,0,6.348968,-2.5385,0.0,-11.137002,-11.137002,1439.584376,,0.185322,0.237239,3.9,3.9327,0.549156,,-159.934,2.541,22.3705,1.35402,,-2.5594,0.10458,0.000607,0.000576,0.220339
114282,3.636,0,6.261434,-2.5385,0.0,-11.104244,-11.104244,1575.551512,,0.182385,0.233479,3.9,3.9327,0.544395,,-159.934,2.61814,26.516,0.99268,,-2.5458,0.09353,0.000623,0.000576,0.206616
114282,3.646,0,6.384695,-2.5385,0.0,-11.103584,-11.103584,1693.356742,,0.17831,0.228263,3.9,3.933955,0.537266,,-159.934,2.11716,14.2992,0.728,,-3.0378,0.09353,0.00063,0.000576,0.200768
114282,3.656,0,6.648488,-2.5385,0.0,-11.124044,-11.124044,1817.597429,,0.180486,0.231048,3.9,3.936045,0.52856,,-159.934,1.80564,11.7651,0.66648,,-3.1742,0.092527,0.000632,0.000576,0.191134
114282,3.666,0,6.912281,-2.5385,0.0,-11.106706,-11.106706,1927.770265,,0.188932,0.24186,3.9,3.938136,0.519854,,-159.934,1.8213,11.7162,0.67236,,-3.3796,0.090054,0.000636,0.000576,0.191758
