Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,9	2.421360117545773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6686573075957615	0.0	0.0	-0.567912056241504	0.3	0.3	0.5	0.5083333333333333	0.35023809523809524	0.21794494717703367	0.18708286933869708	0.13693063937629152	0.33008837200563934	0.21440327463062592
0,5	2.0106787127847223	0.0	0.0	0.0	0.0	-0.8096657121140474	0.0	0.0	0.0	0.0	0.0	0.0	-0.6537026763104936	0.25	0.225	0.5125	0.475	0.305	0.25	0.17500000000000002	0.1625	0.425	0.27528268299251146
0,6	1.5258622732657967	0.0	0.0	0.0	0.0	0.0	3.5550422919235585	0.0	0.0	0.0	0.0	0.0	-2.444944940378413	0.85	0.05	0.9	0.9466666666666667	0.888888888888889	0.16583123951777	0.10000000000000002	0.10897247358851683	0.11075498483890765	0.12417528390862186
1,3	0.0	0.0	0.0	3.978534307390008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.130841695840125	0.875	0.275	0.8	0.7733333333333333	0.8123809523809523	0.16770509831248423	0.175	0.1274754878398196	0.14263395263556447	0.12666338460958582
1,2	0.0	0.0	-0.018269203017052725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010084586423647578	0.3	0.6	0.35	0.24404761904761907	0.2574242424242424	0.291547594742265	0.3	0.09354143466934853	0.21103687977661711	0.2271519375986499
0,3	2.531659933058927	0.0	0.0	4.1118061293630435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.1900736058220014	0.925	0.0	0.9625	1.0	0.9523809523809523	0.16007810593582122	0.0	0.08003905296791061	0.0	0.10432810619146024
0,11	2.2273698708971623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.9446831062231587	1.580991726016721	0.45	0.2	0.625	0.7166666666666666	0.5328571428571429	0.18708286933869706	0.15000000000000002	0.125	0.22110831935702666	0.17071544796044555
1,4	0.0	0.0	0.0	0.0	2.353917350717075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2050810172309245	0.375	0.25	0.5625	0.54	0.41222222222222216	0.3211308144666282	0.19364916731037085	0.1875	0.397994974842648	0.30745671179798567
1,5	0.0	0.0	0.0	0.0	0.0	-2.95226328275651	0.0	0.0	0.0	0.0	0.0	0.0	1.3647269896651697	0.7	0.325	0.6875	0.7021428571428572	0.6882034632034632	0.18708286933869706	0.225	0.13975424859373686	0.1619623497022948	0.14434685841988684
1,6	0.0	0.0	0.0	0.0	0.0	0.0	3.7086712785670377	0.0	0.0	0.0	0.0	0.0	-2.0238800098188383	0.725	0.125	0.8	0.8816666666666666	0.7657936507936507	0.2358495283014151	0.16770509831248423	0.13919410907075055	0.15283433296656002	0.18249152228727542
0,1	2.244104417553404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0623874885539677	0.25	0.25	0.5	0.475	0.305	0.25	0.19364916731037085	0.1767766952966369	0.425	0.27528268299251146
0,2	3.8373923362928557	0.0	-2.251055050548426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4822327520753335	0.65	0.075	0.7875	0.8666666666666666	0.7285714285714285	0.2783882181415011	0.11456439237389601	0.18582585934148133	0.20816659994661327	0.24471743157199236
1,8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.9862872570048076	0.0	0.0	0.0	1.9204746902860719	0.925	0.25	0.8375	0.8099999999999999	0.8534920634920635	0.11456439237389601	0.19364916731037085	0.09762812094883318	0.13316656236958785	0.08686412763152689
1,9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6826793106863565	0.0	0.0	0.3616569459506285	0.35	0.55	0.4	0.33238095238095233	0.3217893217893218	0.25495097567963926	0.3122498999199199	0.075	0.1745847032076531	0.18441987498029208
1,7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.438132970945196	0.0	0.0	0.0	0.0	0.7209861040791532	0.25	0.25	0.5	0.5	0.31809523809523815	0.15811388300841897	0.19364916731037085	0.125	0.33333333333333337	0.1861996100548562
0,8	0.515007657583783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.6577330413749913	0.0	0.0	0.0	1.6271345304389322	0.925	0.25	0.8375	0.8099999999999999	0.8534920634920635	0.11456439237389601	0.19364916731037085	0.09762812094883318	0.13316656236958785	0.08686412763152689
0,4	-0.13985295881687967	0.0	0.0	0.0	2.4275070656275144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1983124083529797	0.35	0.25	0.55	0.5349999999999999	0.3983333333333333	0.2783882181415011	0.19364916731037085	0.1695582495781317	0.395	0.28814059068447817
1,10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7740272780528127	0.0	-0.3866686043293157	0.55	0.75	0.4	0.3823809523809524	0.44178932178932173	0.29154759474226505	0.19364916731037085	0.075	0.14050524316198693	0.19132034727266087
0,10	2.393145627703949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.24616038813467322	0.0	-0.9703987332871264	0.25	0.25	0.5	0.475	0.305	0.25	0.19364916731037085	0.1767766952966369	0.425	0.27528268299251146
2,3	0.0	0.0	2.1195358163133236	5.148117923867536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.8371182293099872	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
1,11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.1297451675699866	2.0931906859841094	0.2	0.0	0.6	0.7	0.3066666666666667	0.15000000000000002	0.0	0.075	0.45825756949558394	0.21540659228538014
2,8	0.0	0.0	-0.7374411582275437	0.0	0.0	0.0	0.0	0.0	-4.512979262988092	0.0	0.0	0.0	2.535438430466749	0.925	0.225	0.85	0.8300000000000001	0.8646031746031746	0.11456439237389601	0.2076655965729519	0.10897247358851683	0.14468356276140473	0.09717553138638736
2,4	0.0	0.0	-2.6999386747726195	0.0	4.507404767807039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6780001171857613	1.0	0.25	0.875	0.8200000000000001	0.8955555555555555	0.0	0.19364916731037085	0.09682458365518543	0.13012814197295425	0.07765068982069398
2,6	0.0	0.0	0.1486189024846997	0.0	0.0	0.0	3.6614063703602113	0.0	0.0	0.0	0.0	0.0	-2.057030974202779	0.725	0.15	0.7875	0.8566666666666667	0.755079365079365	0.2358495283014151	0.16583123951777	0.1375	0.1518771433319269	0.17994120144879544
2,5	0.0	0.0	-0.45938038043449075	0.0	0.0	-3.15958070350226	0.0	0.0	0.0	0.0	0.0	0.0	1.7591761409645081	0.725	0.45	0.6375	0.6504761904761904	0.6598701298701299	0.20766559657295186	0.26925824035672524	0.10383279828647594	0.1480630802629793	0.09975153255199713
2,7	0.0	0.0	0.20532991513608714	0.0	0.0	0.0	0.0	-1.4118941940121972	0.0	0.0	0.0	0.0	0.67742547960204	0.225	0.275	0.475	0.4333333333333333	0.28761904761904766	0.17500000000000002	0.20766559657295186	0.15612494995995996	0.3590109871423003	0.22118214654468243
2,11	0.0	0.0	0.47240841767337116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.383181857016003	2.1352883473255746	0.2	0.05	0.575	0.65	0.29	0.15000000000000002	0.15000000000000002	0.06123724356957945	0.45	0.19209372712298547
2,9	0.0	0.0	0.09848368711135355	0.0	0.0	0.0	0.0	0.0	0.0	-0.6066546595454045	0.0	0.0	0.3192865098758383	0.275	0.5	0.3875	0.2857142857142857	0.26147186147186147	0.26100766272276377	0.2958039891549808	0.0875	0.19604941762132286	0.19454720771687833
