# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
1.947631523782219487e+00,9.315733554053119425e-01,2.134501296541434723e+00,-1.198219387018422788e+00,-1.062560051375612380e+00,8.315386190060879423e-01,-5.156890979736959979e-01,7.040030418906683130e-01,-1.302821236368539193e+00,7.040030418906683130e-01,-7.163471093453824601e+00,-1.223675636601804451e+00
1.384953462517048983e+00,9.315733554053119425e-01,1.493661112939428603e+00,-2.119255710893335198e+00,-1.542569295579266475e+00,1.159502460119547912e-01,-1.748596536842149884e+00,-2.905251920425616419e+00,-2.364173303913379875e+00,-8.229318637490203869e+00,-8.324430500140513445e+00,-4.991978911723149892e+00
