data,cycle,shot#,B,LID
20211210,23,174902,2.54,3000
20211210,23,174903,2.54,0
20211210,23,174904,2.54,3000
20211210,23,174905,2.54,0
20211210,23,174906,2.54,2500
20211210,23,174907,2.54,0
20211210,23,174908,2.54,2500
20211210,23,174909,2.54,0
20211210,23,174910,2.54,1920
20211210,23,174911,2.54,0
20211210,23,174912,2.54,1920
20211210,23,174913,2.54,1920
20211210,23,174914,2.54,1220
20211210,23,174915,2.54,1220
20211210,23,174916,1.36,1770
20211210,23,174917,1.36,1770
20211210,23,174918,1.36,1610
20211210,23,174919,1.36,0
20211210,23,174920,1.36,1340
20211210,23,174921,1.36,1340
20211210,23,174922,1.36,1030
20211210,23,174923,1.36,653
20211210,23,174924,1.36,480
20211210,23,174925,1.36,214
20220119,23,176750,1.36,482
20220119,23,176751,1.36,214
20220119,23,176752,1.36,54
20220119,23,176753,1.36,482
20220119,23,176754,1.36,653
20220119,23,176755,1.36,653
20220119,23,176757,1.36,1028
20220119,23,176758,1.36,1028
20220119,23,176759,1.36,482
20220119,23,176725,2.54,3000
20220119,23,176727,2.54,2500
20220119,23,176729,2.54,1920
20220119,23,176730,2.54,1920
20220119,23,176731,2.54,1920
20220119,23,176732,2.54,1220
20220119,23,176734,2.54,1220
20220119,23,176736,2.54,1220
20220119,23,176739,2.54,900
20220119,23,176740,2.54,3000
20220119,23,176742,2.54,3000
20220119,23,176743,1.36,1767
20220119,23,176744,1.36,1767
20220119,23,176745,1.36,1606
20220119,23,176746,1.36,1339
20220119,23,176747,1.36,1028
20220119,23,176749,1.36,653
20221014,24,180547,-2.54,3300
20221014,24,180548,-2.54,0
20221014,24,180549,-2.54,3300
20221014,24,180550,-2.54,0
20221014,24,180551,-2.54,3300
20221014,24,180552,-2.54,0
20221014,24,180553,-2.54,3000
20221014,24,180554,-2.54,0
20221014,24,180555,-2.54,3000
20221014,24,180556,-2.54,0
20221014,24,180557,-2.54,2500
20221014,24,180558,-2.54,0
20221014,24,180559,-2.54,2500
20221014,24,180560,-2.54,0
20221014,24,180561,-2.54,1920
20221014,24,180562,-2.54,1920
20221014,24,180563,-2.54,1020
20221014,24,180564,-2.54,1020
