Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4,5,6,7,8,9	-0.9657603833941399	0.6874553420867041	0.16473190315628128	-5.111300262817548	-2.6416149819029897	1.8565608992478375	1.0413020147402756	-4.224784906752136	0.8200276223572456	4.024253105128912	0.0	0.0	0.0	1.80272328577033	0.9798333333333332	0.07784615384615386	0.9505882352941175	0.925476127320955	0.9514696664990783	0.020172175556113604	0.0344299305596627	0.018126812044010756	0.029905182198684852	0.017120336407743745
0,1,2,3,4,5,6,7,8,11	-4.005026315907658	1.9216964640173326	0.9490607241078216	-4.54686391827197	-3.2610516513377084	2.3740835555657034	1.927326773412927	-3.5476395007394297	1.9029507208982637	0.0	0.0	0.36130569191565554	0.0	2.0476872186869843	0.9640000000000001	0.1283076923076923	0.9170980392156862	0.8803573323228496	0.9195945246022937	0.041761226035642196	0.03861017433436655	0.027325877397585338	0.03217748819872665	0.026964736868697332
0,1,2,3,4,5,6,7,9,10	-0.8953676417674028	0.5349566410403829	0.3016043370631442	-5.0910108642500225	-2.787273143754441	1.8110017171621902	0.7301787807080213	-3.4197767583088017	0.0	4.298771138113596	-0.1432974577935298	0.0	0.0	1.923594913436021	0.9798333333333332	0.07815384615384616	0.9505098039215685	0.9258627777076052	0.9516133814596633	0.020172175556113604	0.04328958495620481	0.024007431887888283	0.0368412861688196	0.022267297894143185
0,1,2,3,4,5,6,8,9,11	-0.9416766977801343	1.2804746948991552	0.2226011195053804	-5.323428265334015	-2.809186233857107	2.434639802350861	-1.965202563313941	0.0	0.10850853030584709	3.9257458889321306	0.0	1.1943305537795168	0.0	-0.08326586462028264	0.968	0.09723076923076923	0.9348235294117646	0.9063976393976393	0.9356335346910898	0.039191835884530846	0.01915122008565592	0.017587524850669962	0.01617943977640705	0.018716833691234697
0,1,2,3,4,5,6,8,9,12	-1.3662368700458296	1.3802806991751708	0.32118790407096065	-5.116623315898141	-2.8218068299011003	2.0078063897580214	-1.731377407657926	0.0	0.42165548254408913	3.052963326998248	0.0	0.0	3.099085001890134	-0.9989642403099228	0.9879999999999999	0.10892307692307693	0.9387450980392156	0.8984474337922613	0.9407612940354338	0.018330302779823376	0.023054347932220543	0.005752287544567508	0.018414262748403947	0.00505462141462156
0,1,2,3,4,5,6,7,11,12	-4.2423792065487245	1.9957211033152542	1.2203767704285364	-4.384450279399133	-3.491107558264029	2.5920831824587376	1.919881067158166	-2.464798070905134	0.0	0.0	0.0	0.8556152417130388	4.236047370937134	-1.3455065122075722	0.9800000000000001	0.09323076923076923	0.9426666666666665	0.9114112739112737	0.9439401595180887	0.026832815729997475	0.030732285511836977	0.01635421069976956	0.027596590210010152	0.015974463243612656
0,1,2,3,4,5,6,7,8,10	-2.9081883213950954	1.5826223970347422	1.2892791910344663	-4.825226357063322	-3.781008600816721	1.8561819322959157	1.3806045894628138	-3.0286381458003047	3.0345282507253195	0.0	-2.01135066463386	0.0	0.0	2.4770315732927806	0.9640000000000001	0.06215384615384616	0.9505882352941176	0.9386450071667463	0.9503721224338791	0.0454312667664022	0.035198171012192525	0.028544602114599787	0.03315098544267837	0.029566164857923752
0,1,2,3,4,5,6,7,9,12	-1.016526456000549	0.5671276512022294	0.3829231186716522	-4.994528213976999	-2.8332690891928936	1.541821513859849	1.0041272282134444	-3.588520352819566	0.0	3.774520555213038	0.0	0.0	2.863684578960634	0.0054427453426288035	0.992	0.07784615384615386	0.9565490196078432	0.9271432641432641	0.9578624975257288	0.016000000000000014	0.045794498519740955	0.02113707301023997	0.037951935073306485	0.019054866176252037
0,1,2,3,4,5,6,7,8,12	-4.005780510584213	1.9732116412441152	1.030946562051084	-4.451635918244284	-3.3082961207811623	2.2933691262502505	2.0100707745731183	-3.397594769200154	1.249770560016771	0.0	0.0	0.0	3.818473369631036	-0.36290264997195737	0.9879999999999999	0.1086153846153846	0.9388235294117646	0.8991554741554741	0.9410399995860594	0.018330302779823376	0.041052427152945895	0.022172647509439515	0.0347487978999969	0.020634806916442858
0,1,2,3,4,5,6,8,10,11	-2.9756596394309023	1.6770425254449794	1.334559211393819	-5.2955443578655235	-4.05827350301629	1.840093306488032	-0.6963294276943689	0.0	2.714724984789911	0.0	-2.2607867355464775	0.12902349390751064	0.0	2.3456768050907293	0.968	0.12046153846153848	0.9229803921568627	0.8878580691339313	0.9253968616987486	0.029933259094191523	0.04334559074100146	0.020385519281735376	0.034729666175124255	0.018701158452074432
0,1,2,3,4,5,6,7,10,11	-4.103917810743615	1.4987409119614024	1.6263960748275608	-4.853522269626739	-4.177345107983792	2.4033954947850718	1.989782397888988	-1.9143703183129432	0.0	0.0	-0.7050498374772727	0.5018648981486126	0.0	2.53581217202112	0.952	0.15584615384615386	0.8972549019607843	0.8565458531910146	0.9009758746617791	0.04995998398718718	0.03964964911012723	0.030241371683879813	0.02962462667200228	0.030227184984272144
0,1,2,3,4,5,6,8,9,10	-1.0446944719837696	0.8812755349192946	0.7424153835535242	-5.584013339350659	-3.524506134683528	1.472430338411447	-1.6898931896520744	0.0	1.5431811232251345	3.1231304210103095	-1.8396652153466235	0.0	0.0	1.9023169378626044	0.968	0.06615384615384615	0.9506274509803921	0.9350347542956239	0.9505462591422636	0.039191835884530846	0.03016326383545224	0.02201565274486295	0.02733771500678969	0.02248797792018353
0,1,2,3,4,5,6,8,10,12	-3.101499298089198	1.8716244291271356	1.3270753569591316	-5.2520972933626116	-4.028910889873391	1.8838102761230615	-0.5987126733985821	0.0	2.089421452823785	0.0	-1.8126291599362034	0.0	3.368485629011471	-0.07556978479446655	0.992	0.10876923076923077	0.9407450980392158	0.8996833536833536	0.9430006131493368	0.016000000000000014	0.04108614128775249	0.017546949160369755	0.03458483738722508	0.0158967222723239
0,1,2,3,4,5,6,8,11,12	-3.995814540059274	2.411135690064216	0.8880638437190361	-4.78939099785794	-3.3082711298789307	2.8941633704392125	-0.22113468873822462	0.0	0.6825230357390701	0.0	0.0	0.8318503746250094	3.843632840158596	-1.783926847165438	0.9879999999999999	0.14800000000000002	0.9189411764705883	0.8672488832388721	0.923295380370852	0.018330302779823376	0.039101143311724575	0.0188186676728089	0.028251718976490755	0.016304728192453398
0,1,2,3,4,5,6,9,10,11	-0.9882679420291695	1.1298001073321349	0.4847489130574273	-5.284787429670972	-3.08826460964391	2.185084805110393	-1.902971022973657	0.0	0.0	4.009972305027318	-0.7632620825753492	1.1987168701821491	0.0	0.3128014553022116	0.9560000000000001	0.05846153846153847	0.9486274509803921	0.9422188922188923	0.9479193812225196	0.04882622246293481	0.03606699879899718	0.025238577113261294	0.032817592870206094	0.026565181448332385
0,1,2,3,4,5,6,9,10,12	-1.0130931924060147	0.8796822115753938	0.49818574406590377	-5.519882968252848	-3.2164209474981957	1.8272667257428103	-1.2719588755567552	0.0	0.0	3.379598222082533	-0.8427570915810609	0.0	2.878864282253146	-0.3524659415205994	0.9800000000000001	0.0896923076923077	0.9447058823529411	0.9153881520778071	0.9460312466867089	0.026832815729997475	0.0395540226785996	0.021198245885081707	0.03283601160972309	0.020197534216020153
0,1,2,3,4,5,6,9,11,12	-1.5285387472710548	1.3806806697409755	0.019118721545406392	-5.180178384223939	-2.5093671349522415	2.3617219111782433	-1.6846696273530526	0.0	0.0	3.520977632322763	0.0	1.161654664825291	2.95939583502649	-1.8537790178467237	0.984	0.0856923076923077	0.9485882352941177	0.9185466015466016	0.9497518995987365	0.019595917942265444	0.02956929480502151	0.01327605922547225	0.025389268900381633	0.012244153177032388
0,1,2,3,4,5,6,7,9,11	-0.9511393433117385	0.8690389247141983	0.23254186827916787	-5.046569799953116	-2.687519035856334	2.3103788167863297	0.6338356928236425	-3.516316734625401	0.0	4.303249858998897	0.0	1.2102650861912843	0.0	0.4852839495333813	0.9638333333333333	0.04676923076923077	0.9585098039215685	0.9535549450549452	0.958079910245913	0.033250313281732134	0.0290455671387942	0.01863615895530672	0.026592336240682406	0.01882197137092845
0,1,2,3,4,5,7,8,9,10	-0.8507451060626188	0.569060896765448	0.6554647439614825	-5.251939979325053	-3.2663150981807463	0.9488070448713399	0.0	-3.296249696111027	1.7852562669464873	3.6940407375682094	-1.2777486895916241	0.0	0.0	2.386251684152527	0.9798333333333333	0.05830769230769232	0.9604705882352942	0.9426347171347172	0.9606013119326106	0.026961392150010845	0.025820958415425335	0.019847786791551223	0.023726007127760188	0.01973550020676872
0,1,2,3,4,5,6,10,11,12	-3.909993553698675	2.0103734649047103	1.265644821561344	-4.772494431086573	-3.7288516550350237	2.627775042646978	0.31189928023951485	0.0	0.0	0.0	-0.5835821614226371	0.7817693647669476	4.0476523585857755	-1.393490864428805	0.976	0.13184615384615386	0.9210588235294116	0.8794154251796076	0.9244390391538004	0.0265329983228432	0.054223076377445785	0.030205778935869943	0.04304932571715681	0.026985736090360687
0,1,2,3,4,5,7,8,9,11	-0.9276179362944543	0.8572605418275208	0.2799065292406946	-5.267500421427127	-2.847390277558222	1.8941495341829906	0.0	-3.2342518942985947	0.4170202570810293	4.356576633429184	0.0	1.1309333561425057	0.0	0.7745232196437976	0.9598333333333333	0.05046153846153847	0.9545882352941175	0.9492071189679887	0.9538300187999729	0.040003124877939215	0.024420381438171653	0.019694553372086192	0.02175809341093126	0.020684190946182866
0,1,2,3,4,5,7,8,9,12	-1.1304902153496446	0.7714129660215839	0.303059246006791	-4.979468398369223	-2.735360738451525	1.2214805195427658	0.0	-3.3497337213890352	0.7706371255715547	3.788897191988691	0.0	0.0	2.775238969606219	0.1706809885572322	0.992	0.07	0.9605098039215687	0.9333237056685333	0.9613602227215672	0.016000000000000014	0.03355292560370925	0.015141572075619636	0.028778151792993194	0.013978751421937281
0,1,2,3,4,5,7,8,10,11	-2.8358224399313565	1.4837115939313634	1.572638166917673	-4.8119492687900784	-4.09634662530015	1.106678271089516	0.0	-1.975444145281252	3.2895027330508277	0.0	-2.2785208809174455	-0.21651738630527245	0.0	3.100905704297684	0.9558333333333333	0.066	0.9446666666666668	0.9337367857585249	0.94393342939498	0.051989582289788276	0.02445573225721705	0.029202629007433385	0.023203092580832082	0.030896728150856062
0,1,2,3,4,5,7,9,10,11	-0.9014003146486129	0.865542063338397	0.3398030103301944	-5.080847725419634	-2.8257603245286353	2.0692363402280898	0.0	-2.8959162195357413	0.0	4.367951014113356	-0.1749114367687506	1.2230412647177533	0.0	0.5757084276729619	0.9638333333333333	0.04676923076923077	0.9585098039215685	0.9535549450549452	0.958079910245913	0.033250313281732134	0.0290455671387942	0.01863615895530672	0.026592336240682406	0.01882197137092845
0,1,2,3,4,5,7,8,10,12	-3.2007677812255784	1.8505023529498494	1.5441863728960472	-4.858122556168631	-4.086215626468144	1.1883015577603033	0.0	-1.7895123493936012	2.5031537722343757	0.0	-1.7690657467095288	0.0	3.3311460400599686	0.49278423970315827	0.992	0.08169230769230769	0.9545490196078432	0.9224041514041513	0.9556372691311648	0.016000000000000014	0.026827963861806848	0.012581392068228036	0.023668825772216393	0.011891121049690367
0,1,2,3,4,5,7,9,10,12	-1.102869303071008	0.6103575318937395	0.5451531417229434	-4.988169956785428	-3.0144076696706947	1.0737451675251914	0.0	-2.8687583657671962	0.0	3.9511718162503606	-0.13187321963068108	0.0	2.72932401186529	0.4009599902159763	0.992	0.08184615384615383	0.9545490196078432	0.9227632661080936	0.9557782767356257	0.016000000000000014	0.03241593588666358	0.015436690914003301	0.027205575715830446	0.014172148721121285
