# nel,B,Pinput,Prad,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
8.866318948430038649e-01,8.863432556768556791e-01,9.292969468664578070e-01,6.114523215630647268e-01,1.837794655159483703e-01,4.399901369727222677e-01,8.413422948497342180e-01,8.805775096206645003e-01,8.749629049046229179e-01,5.519851527572724459e-01,9.557998011950511463e-01,9.225092940561498978e-01,7.494593818198744817e-01
8.773181924838684420e-01,8.863432556768556791e-01,9.278771174871730532e-01,6.901004660973839577e-01,2.231602722273797190e-01,4.387349390370475222e-01,8.407346633172898542e-01,8.944949932132837400e-01,8.743192539499291538e-01,5.554951658026985317e-01,9.555722727153087570e-01,9.225344195499165512e-01,7.506556957875080149e-01
8.717551496526898536e-01,8.863432556768556791e-01,9.273249156425263928e-01,6.140681939327601313e-01,1.872747043837726943e-01,4.369740223284067637e-01,8.493963151865500105e-01,9.083533351523165322e-01,8.834943546436787587e-01,5.683311555911300106e-01,9.588156404087905260e-01,9.222773731478013381e-01,7.516402795708290174e-01
8.661504132479911355e-01,8.863432556768556791e-01,9.272964567193339169e-01,5.998099254274416037e-01,1.804588648228742098e-01,4.349295175174173744e-01,8.520002456044515338e-01,9.171152416562804444e-01,8.862526418785366955e-01,5.760735617517352969e-01,9.597906858067092317e-01,9.220656611272421976e-01,7.537819386835538094e-01
8.604850430524073612e-01,8.863432556768556791e-01,9.295398647821988547e-01,6.697371023676538249e-01,2.114932721948508121e-01,4.307129494931809521e-01,8.532364963511143152e-01,9.296268412258519298e-01,8.875621755857974193e-01,5.769169621579179896e-01,9.602536016330770474e-01,9.217409258263800087e-01,7.542752313105614004e-01
8.547372010309608470e-01,8.863432556768556791e-01,9.291496317053715703e-01,5.642873122269992381e-01,1.612959086210663529e-01,4.288039328690362861e-01,8.609901411001864568e-01,9.602493914378904538e-01,8.957754439542450209e-01,5.707443250814456803e-01,9.631569647866025097e-01,9.219872780965547854e-01,7.559453433758112073e-01
8.489447881478360269e-01,8.863432556768556791e-01,9.284342389870459122e-01,6.172607600431876396e-01,1.875478600460128709e-01,4.224076684689670458e-01,8.572915147824177184e-01,9.617864542320412324e-01,8.918575690031037562e-01,5.661849532815594888e-01,9.617720089732794131e-01,9.221575438872617880e-01,7.562200700470695924e-01
8.431059273484484695e-01,8.863432556768556791e-01,9.280167519218549543e-01,5.675470103716011572e-01,1.641482336111530493e-01,4.171071152213465805e-01,8.636860686389226105e-01,9.672830352099018869e-01,8.986311817516439149e-01,5.830716920828341587e-01,9.641664586354763422e-01,9.219340621267917424e-01,7.569793512215654552e-01
8.446109578167015908e-01,8.863432556768556791e-01,9.286659085239695743e-01,5.865569107069725785e-01,1.725393332817932723e-01,4.142250665587032810e-01,8.561049262434978768e-01,9.775251603806442979e-01,8.906006413995739557e-01,5.685304184302791830e-01,9.613276892302698995e-01,9.220061681805562515e-01,7.579999063616411625e-01
8.461128839375895438e-01,8.863432556768556791e-01,9.293537905320340409e-01,5.644234527688775094e-01,1.611301456779919983e-01,4.113347724035550934e-01,8.447631147514856886e-01,9.804289697679369198e-01,8.785865055211682373e-01,5.567673619748232383e-01,9.570807320061746060e-01,9.221937198435223859e-01,7.588567258525122927e-01
8.631876309398986979e-01,8.863432556768556791e-01,9.303028087357997356e-01,4.763934869559357521e-01,1.177779878647055023e-01,4.018272102119936351e-01,8.820839656434434906e-01,8.331507403983843263e-01,9.181196765696804096e-01,5.955387390954637317e-01,9.710555769783918434e-01,9.248279324937720425e-01,7.641877082486299155e-01
8.581649548140373174e-01,8.863432556768556791e-01,9.289962487861069818e-01,4.662140881613807686e-01,1.143726629331486278e-01,4.024254892680168005e-01,8.676767202612609697e-01,8.109125578656962707e-01,9.028583927988315105e-01,5.765961359102848016e-01,9.656607637337646377e-01,9.243918530064241246e-01,7.649263596379793917e-01
8.480039827550056586e-01,8.863432556768556791e-01,9.281035708890043034e-01,4.399247981894877091e-01,1.027627607051887493e-01,4.020061165113234525e-01,8.805368984116379583e-01,7.784169377054873662e-01,9.164809016747678116e-01,5.709536350596020604e-01,9.704762754831320892e-01,9.236570476337815361e-01,7.672100159642786243e-01
8.376992112996215489e-01,8.863432556768556791e-01,9.290947428828491006e-01,4.060189219705982455e-01,8.535379402990173059e-02,4.033086297722905389e-01,8.989800961594254236e-01,7.975949742383416918e-01,9.360173825914430701e-01,5.865795410646019725e-01,9.773823567529140721e-01,9.222824038905532706e-01,7.674064872973631601e-01
8.288181004815953212e-01,8.863432556768556791e-01,9.291679255973569473e-01,4.805764296217641673e-01,1.210763426535783616e-01,4.038517224911998271e-01,9.042162648670473146e-01,8.224302375951585420e-01,9.415639429781970104e-01,6.156742541805551028e-01,9.793430474710659306e-01,9.212252587161648965e-01,7.694756795808928018e-01
8.235277169280732501e-01,8.863432556768556791e-01,9.291685908073529232e-01,3.209124770355166190e-01,4.439975539541285432e-02,4.053483377506275076e-01,9.061165917385249902e-01,8.199197728815001973e-01,9.435769181773878689e-01,5.891595400808319338e-01,9.800546275339728775e-01,9.196609481512816320e-01,7.716091514627042569e-01
8.181986147944633192e-01,8.863432556768556791e-01,9.280925530445863769e-01,4.071122817176333619e-01,8.701746953631173120e-02,4.047291859888400012e-01,9.080298593509604776e-01,7.987548363340379876e-01,9.456036012238960842e-01,5.472908185606114584e-01,9.807710532754854160e-01,9.189430214829017451e-01,7.755018202653785053e-01
8.128302231626880481e-01,8.863432556768556791e-01,9.284359063566111070e-01,4.101527042583723581e-01,8.808704491909025158e-02,4.032761881904946000e-01,9.099587977472953781e-01,7.848470538374271444e-01,9.476468839932281618e-01,5.403590129251845120e-01,9.814933469640129138e-01,9.169775739297127970e-01,7.742676118900667648e-01
7.981015549450765079e-01,8.863432556768556791e-01,9.270204230746208474e-01,4.014534541696562764e-01,8.551728356221988125e-02,4.043197812654450995e-01,9.152472087239201803e-01,7.574478384200991066e-01,9.532487834868645926e-01,5.270347550532247238e-01,9.834735998730812501e-01,9.148183442134416588e-01,7.769973080958783029e-01
7.830688028585184313e-01,8.863432556768556791e-01,9.292886354255518455e-01,3.911680537831379589e-01,7.800193452122372584e-02,4.035210715837913575e-01,9.206459801319126779e-01,7.667717886493735646e-01,9.589675854011577849e-01,5.244984900344065171e-01,9.854951774004947485e-01,9.122413494117265209e-01,7.823549173775370402e-01
