time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6481997e-05, -0.0000000, 0.00000, -2.1991150, 4.6481997e-05, 0.0141434
3.00100, 4.6418266e-05, 0.0045281379, 2.19641e-07, 1.2532799, 4.6481997e-05, 0.0141434
3.00200, 4.6382831e-05, 0.0069312002, 3.36976e-07, 1.2587912, 4.6481997e-05, 0.0141434
3.00300, 4.6432765e-05, 0.010449722, 4.87875e-07, 1.0629277, 4.6481997e-05, 0.0141434
3.00400, 4.6549753e-05, 0.015148672, 7.07875e-07, 0.86833446, 4.6481997e-05, 0.0141434
3.00500, 4.6639509e-05, 0.019695673, 9.30547e-07, 0.79639166, 4.6481997e-05, 0.0141434
3.00600, 4.6719557e-05, 0.026306840, 1.24866e-06, 0.77837246, 4.6481997e-05, 0.0141434
3.00700, 4.6811046e-05, 0.032814555, 1.56562e-06, 0.76130716, 4.6481997e-05, 0.0141434
3.00800, 4.6877938e-05, 0.040159192, 1.91577e-06, 0.76856756, 4.6481997e-05, 0.0141434
3.00900, 4.7010441e-05, 0.047475845, 2.28112e-06, 0.74664256, 4.6481997e-05, 0.0141434
3.01000, 4.7070198e-05, 0.055490997, 2.66113e-06, 0.76157946, 4.6481997e-05, 0.0141434
3.01100, 4.7208327e-05, 0.062627427, 3.02178e-06, 0.74531406, 4.6481997e-05, 0.0141434
3.01200, 4.7344197e-05, 0.070915751, 3.43596e-06, 0.73859666, 4.6481997e-05, 0.0141434
3.01300, 4.7455366e-05, 0.078635059, 3.81840e-06, 0.73838256, 4.6481997e-05, 0.0141434
3.01400, 4.7584573e-05, 0.086843915, 4.22926e-06, 0.73654886, 4.6481997e-05, 0.0141434
3.01500, 4.7689283e-05, 0.095217623, 4.64109e-06, 0.74137856, 4.6481997e-05, 0.0141434
3.01600, 4.7817088e-05, 0.10434196, 5.09500e-06, 0.74402686, 4.6481997e-05, 0.0141434
3.01700, 4.7921197e-05, 0.11444435, 5.58692e-06, 0.75374026, 4.6481997e-05, 0.0141434
3.01800, 4.8017971e-05, 0.12422531, 6.06289e-06, 0.76310726, 4.6481997e-05, 0.0141434
3.01900, 4.8101838e-05, 0.13475296, 6.56980e-06, 0.77544736, 4.6481997e-05, 0.0141434
3.02000, 4.8177355e-05, 0.14643072, 7.12779e-06, 0.79033916, 4.6481997e-05, 0.0141434
3.02100, 4.8293460e-05, 0.15809698, 7.69883e-06, 0.79890796, 4.6481997e-05, 0.0141434
3.02200, 4.8385217e-05, 0.16841914, 8.20157e-06, 0.80748576, 4.6481997e-05, 0.0141434
3.02300, 4.8502929e-05, 0.17775388, 8.66784e-06, 0.81112576, 4.6481997e-05, 0.0141434
3.02400, 4.8659230e-05, 0.18774956, 9.17791e-06, 0.81206246, 4.6481997e-05, 0.0141434
3.02500, 4.8798471e-05, 0.19664218, 9.63290e-06, 0.81328316, 4.6481997e-05, 0.0141434
3.02600, 4.8963724e-05, 0.20552304, 1.00973e-05, 0.81239436, 4.6481997e-05, 0.0141434
3.02700, 4.9129429e-05, 0.21410751, 1.05497e-05, 0.81149886, 4.6481997e-05, 0.0141434
3.02800, 4.9349873e-05, 0.22232461, 1.10064e-05, 0.80584216, 4.6481997e-05, 0.0141434
3.02900, 4.9532859e-05, 0.23022354, 1.14369e-05, 0.80353876, 4.6481997e-05, 0.0141434
3.03000, 4.9702224e-05, 0.23672506, 1.17996e-05, 0.80055166, 4.6481997e-05, 0.0141434
3.03100, 4.9933343e-05, 0.24414225, 1.22299e-05, 0.79478836, 4.6481997e-05, 0.0141434
3.03200, 5.0092731e-05, 0.25196412, 1.26522e-05, 0.79555536, 4.6481997e-05, 0.0141434
3.03300, 5.0294354e-05, 0.25800329, 1.30111e-05, 0.79079676, 4.6481997e-05, 0.0141434
3.03400, 5.0500837e-05, 0.26544827, 1.34382e-05, 0.78839226, 4.6481997e-05, 0.0141434
3.03500, 5.0638749e-05, 0.27202711, 1.37980e-05, 0.78954006, 4.6481997e-05, 0.0141434
3.03600, 5.0875019e-05, 0.27903184, 1.42206e-05, 0.78523466, 4.6481997e-05, 0.0141434
3.03700, 5.1052105e-05, 0.28473124, 1.45593e-05, 0.78303576, 4.6481997e-05, 0.0141434
3.03800, 5.1236427e-05, 0.28964135, 1.48663e-05, 0.77944156, 4.6481997e-05, 0.0141434
3.03900, 5.1433928e-05, 0.29471207, 1.51879e-05, 0.77559616, 4.6481997e-05, 0.0141434
3.04000, 5.1629540e-05, 0.29937345, 1.54913e-05, 0.77151846, 4.6481997e-05, 0.0141434
3.04100, 5.1807932e-05, 0.30182251, 1.56869e-05, 0.76523086, 4.6481997e-05, 0.0141434
3.04200, 5.1987591e-05, 0.30561101, 1.59454e-05, 0.76117536, 4.6481997e-05, 0.0141434
3.04300, 5.2197671e-05, 0.30901274, 1.62022e-05, 0.75508356, 4.6481997e-05, 0.0141434
3.04400, 5.2356900e-05, 0.31279397, 1.64526e-05, 0.75253936, 4.6481997e-05, 0.0141434
3.04500, 5.2529082e-05, 0.31477949, 1.66286e-05, 0.74664236, 4.6481997e-05, 0.0141434
3.04600, 5.2710427e-05, 0.31727171, 1.68333e-05, 0.74123686, 4.6481997e-05, 0.0141434
3.04700, 5.2848367e-05, 0.31965318, 1.70118e-05, 0.73801686, 4.6481997e-05, 0.0141434
3.04800, 5.3026051e-05, 0.32135159, 1.71805e-05, 0.73182796, 4.6481997e-05, 0.0141434
3.04900, 5.3170198e-05, 0.32329607, 1.73438e-05, 0.72782676, 4.6481997e-05, 0.0141434
3.05000, 5.3302019e-05, 0.32429346, 1.74584e-05, 0.72299666, 4.6481997e-05, 0.0141434
3.05100, 5.3475436e-05, 0.32496229, 1.75810e-05, 0.71570556, 4.6481997e-05, 0.0141434
3.05200, 5.3593175e-05, 0.32598901, 1.76907e-05, 0.71175666, 4.6481997e-05, 0.0141434
3.05300, 5.3777618e-05, 0.32575011, 1.77803e-05, 0.70263786, 4.6481997e-05, 0.0141434
3.05400, 5.3958983e-05, 0.32503507, 1.78482e-05, 0.69295286, 4.6481997e-05, 0.0141434
3.05500, 5.4086965e-05, 0.32443932, 1.78929e-05, 0.68600486, 4.6481997e-05, 0.0141434
3.05600, 5.4252049e-05, 0.32337278, 1.79383e-05, 0.67657686, 4.6481997e-05, 0.0141434
3.05700, 5.4381810e-05, 0.32236701, 1.79674e-05, 0.66890356, 4.6481997e-05, 0.0141434
3.05800, 5.4553846e-05, 0.32171410, 1.80375e-05, 0.65995596, 4.6481997e-05, 0.0141434
3.05900, 5.4660990e-05, 0.32048750, 1.80454e-05, 0.65296596, 4.6481997e-05, 0.0141434
3.06000, 5.4796500e-05, 0.31884435, 1.80522e-05, 0.64396236, 4.6481997e-05, 0.0141434
3.06100, 5.4970841e-05, 0.31733227, 1.80890e-05, 0.63347336, 4.6481997e-05, 0.0141434
3.06200, 5.5066697e-05, 0.31642443, 1.81065e-05, 0.62757966, 4.6481997e-05, 0.0141434
3.06300, 5.5172194e-05, 0.31458902, 1.80896e-05, 0.61955756, 4.6481997e-05, 0.0141434
3.06400, 5.5331606e-05, 0.31281877, 1.81093e-05, 0.60928146, 4.6481997e-05, 0.0141434
3.06500, 5.5425635e-05, 0.31110787, 1.80925e-05, 0.60196586, 4.6481997e-05, 0.0141434
3.06600, 5.5558490e-05, 0.30997011, 1.81254e-05, 0.59404916, 4.6481997e-05, 0.0141434
3.06700, 5.5631990e-05, 0.30834097, 1.81006e-05, 0.58775636, 4.6481997e-05, 0.0141434
3.06800, 5.5753748e-05, 0.30611479, 1.80809e-05, 0.57821246, 4.6481997e-05, 0.0141434
3.06900, 5.5844306e-05, 0.30442572, 1.80655e-05, 0.57103086, 4.6481997e-05, 0.0141434
3.07000, 5.5957510e-05, 0.30238223, 1.80500e-05, 0.56216596, 4.6481997e-05, 0.0141434
