time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6225850e-05, 0.0029296887, 2.89860e-07, 3.0130556, 4.6481997e-05, 0.0141434
3.00100, 4.6243049e-05, 0.0029700999, 2.75751e-07, 3.0485108, 4.6481997e-05, 0.0141434
3.00200, 4.6230832e-05, 0.0025837421, 2.78440e-07, 2.9724367, 4.6481997e-05, 0.0141434
3.00300, 4.6241263e-05, 0.0023920804, 2.64657e-07, 2.9546907, 4.6481997e-05, 0.0141434
3.00400, 4.6236446e-05, 0.0029296887, 2.80956e-07, 3.0334017, 4.6481997e-05, 0.0141434
3.00500, 4.6207961e-05, 0.0024168694, 2.96147e-07, 2.9150765, 4.6481997e-05, 0.0141434
3.00600, 4.6282195e-05, 0.0035881216, 2.60327e-07, 3.2214801, 4.6481997e-05, 0.0141434
3.00700, 4.6232253e-05, 0.0026520467, 2.78553e-07, 2.9849084, 4.6481997e-05, 0.0141434
3.00800, 4.6244369e-05, 0.0033652480, 2.84220e-07, 3.1064499, 4.6481997e-05, 0.0141434
3.00900, 4.6232589e-05, 0.0033296358, 2.93768e-07, 3.0824597, 4.6481997e-05, 0.0141434
3.01000, 4.6236016e-05, 0.0039062523, 3.05640e-07, 3.1609075, 4.6481997e-05, 0.0141434
3.01100, 4.6260898e-05, 0.0032204373, 2.66694e-07, 3.1192224, 4.6481997e-05, 0.0141434
3.01200, 4.6215391e-05, 0.0031832056, 3.04638e-07, 3.0308635, 4.6481997e-05, 0.0141434
3.01300, 4.6247998e-05, 0.0025837421, 2.63009e-07, 3.0002296, 4.6481997e-05, 0.0141434
3.01400, 4.6255975e-05, 0.0028680039, 2.62274e-07, 3.0580146, 4.6481997e-05, 0.0141434
3.01500, 4.6253054e-05, 0.0022902426, 2.52175e-07, 2.9588931, 4.6481997e-05, 0.0141434
3.01600, 4.6242960e-05, 0.0024657000, 2.65230e-07, 2.9743464, 4.6481997e-05, 0.0141434
3.01700, 4.6214759e-05, 0.0028049632, 2.97174e-07, 2.9787290, 4.6481997e-05, 0.0141434
3.01800, 4.6272027e-05, 0.0024657000, 2.39273e-07, 3.0262854, 4.6481997e-05, 0.0141434
3.01900, 4.6267993e-05, 0.0024897563, 2.43493e-07, 3.0234301, 4.6481997e-05, 0.0141434
3.02000, 4.6246296e-05, 0.0024897563, 2.62434e-07, 2.9814589, 4.6481997e-05, 0.0141434
3.02100, 4.6289450e-05, 0.0023417152, 2.21059e-07, 3.0397689, 4.6481997e-05, 0.0141434
3.02200, 4.6292745e-05, 0.0024168694, 2.19824e-07, 3.0599239, 4.6481997e-05, 0.0141434
3.02300, 4.6303333e-05, 0.0024657000, 2.12219e-07, 3.0962141, 4.6481997e-05, 0.0141434
3.02400, 4.6327976e-05, 0.0020132356, 1.80223e-07, 3.0724003, 4.6481997e-05, 0.0141434
3.02500, 4.6285001e-05, 0.0027186358, 2.33830e-07, 3.0949962, 4.6481997e-05, 0.0141434
3.02600, 4.6340669e-05, 0.0027186358, 1.89862e-07, 3.2572539, 4.6481997e-05, 0.0141434
3.02700, 4.6300597e-05, 0.0025371844, 2.16409e-07, 3.1029193, 4.6481997e-05, 0.0141434
3.02800, 4.6306289e-05, 0.0027186358, 2.16753e-07, 3.1516092, 4.6481997e-05, 0.0141434
3.02900, 4.6287974e-05, 0.0022107877, 2.19760e-07, 3.0151289, 4.6481997e-05, 0.0141434
3.03000, 4.6350977e-05, 0.0025837421, 1.76879e-07, 3.2627761, 4.6481997e-05, 0.0141434
3.03100, 4.6329398e-05, 0.0021561920, 1.82166e-07, 3.1040995, 4.6481997e-05, 0.0141434
3.03200, 4.6285288e-05, 0.0024897563, 2.28141e-07, 3.0573223, 4.6481997e-05, 0.0141434
3.03300, 4.6342581e-05, 0.0020716023, 1.69028e-07, 3.1273153, 4.6481997e-05, 0.0141434
3.03400, 4.6307413e-05, 0.0024897563, 2.09443e-07, 3.1114428, 4.6481997e-05, 0.0141434
3.03500, 4.6343869e-05, 0.0023920804, 1.76366e-07, 3.1972568, 4.6481997e-05, 0.0141434
3.03600, 4.6318902e-05, 0.0021561920, 1.91269e-07, 3.0760048, 4.6481997e-05, 0.0141434
3.03700, 4.6352857e-05, 0.0022902426, 1.67315e-07, 3.2153366, 4.6481997e-05, 0.0141434
3.03800, 4.6375320e-05, 0.0020716023, 1.43386e-07, 3.2581623, 4.6481997e-05, 0.0141434
3.03900, 4.6344532e-05, 0.0022640675, 1.73123e-07, 3.1796701, 4.6481997e-05, 0.0141434
