time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 4.6481997e-05, -0.0000000, 0.00000, -2.1991150, 4.6481997e-05, 0.0141434
3.00100, 4.6404279e-05, 0.0099110678, 4.66823e-07, 1.1288364, 4.6481997e-05, 0.0141434
3.00200, 4.6352829e-05, 0.0092580821, 4.48923e-07, 1.2531037, 4.6481997e-05, 0.0141434
3.00300, 4.6215806e-05, 0.012877205, 6.53619e-07, 1.3825016, 4.6481997e-05, 0.0141434
3.00400, 4.6258453e-05, 0.014517773, 7.09217e-07, 1.2845354, 4.6481997e-05, 0.0141434
3.00500, 4.6312647e-05, 0.017934194, 8.49176e-07, 1.1663561, 4.6481997e-05, 0.0141434
3.00600, 4.6393630e-05, 0.021157684, 9.86594e-07, 1.0568845, 4.6481997e-05, 0.0141434
3.00700, 4.6402523e-05, 0.024456142, 1.13859e-06, 1.0387023, 4.6481997e-05, 0.0141434
3.00800, 4.6464725e-05, 0.026933853, 1.25179e-06, 0.98388506, 4.6481997e-05, 0.0141434
3.00900, 4.6499267e-05, 0.027755719, 1.29044e-06, 0.95711726, 4.6481997e-05, 0.0141434
3.01000, 4.6547693e-05, 0.028118465, 1.30957e-06, 0.92049886, 4.6481997e-05, 0.0141434
3.01100, 4.6592541e-05, 0.026791828, 1.25173e-06, 0.88159776, 4.6481997e-05, 0.0141434
3.01200, 4.6611625e-05, 0.024294736, 1.13824e-06, 0.85464476, 4.6481997e-05, 0.0141434
3.01300, 4.6669592e-05, 0.019507131, 9.27544e-07, 0.76272866, 4.6481997e-05, 0.0141434
3.01400, 4.6735242e-05, 0.013398951, 6.73814e-07, 0.57802746, 4.6481997e-05, 0.0141434
3.01500, 4.6792072e-05, 0.0062815924, 4.26395e-07, 0.14552856, 4.6481997e-05, 0.0141434
3.01600, 4.6836139e-05, -0.0022902426, 3.70270e-07, -0.91156774, 4.6481997e-05, 0.0141434
3.01700, 4.6900305e-05, -0.012241240, 7.08128e-07, -1.5591478, 4.6481997e-05, 0.0141434
