Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4,5	-4.328157729265667	2.1424246616535862	1.362189814453093	-4.509981645932704	-3.853324316643806	2.725833385522511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8775400972658827	0.9689230769230768	0.22905982905982905	0.8684687953555879	0.8096954655612152	0.8799188930070005	0.037752228665745936	0.09559412907865154	0.04191044800013701	0.06191018814434391	0.03300873064718635
0,1,2,3,4,6	-4.145654229097028	1.1334493655704956	1.8556097008723493	-4.656688410703021	-4.51226525833331	0.0	-0.7057868775845734	0.0	0.0	0.0	0.0	0.0	0.0	3.9526149973187943	0.9572307692307692	0.22521367521367522	0.8646589259796806	0.8134005284440164	0.8759985722960174	0.04392462613460802	0.1134362066928175	0.04763917423755697	0.07559260014982115	0.037045843988631415
0,1,2,3,5,9	-1.7878824438365637	1.6365058908188472	2.2685306273941075	-6.137314709493045	0.0	4.168462827828099	0.0	0.0	0.0	2.7860485734832365	0.0	0.0	0.0	-2.2440997260909463	0.9844615384615384	0.16866096866096866	0.9066763425253992	0.8525941309884253	0.9128230551570562	0.025655431850427936	0.06971097220627777	0.03652849726418665	0.051026569265813074	0.031991627120946255
0,1,2,3,5,10	-4.257353678474056	2.1024186952431227	4.932607082474614	-5.5835898662668395	0.0	2.6589402077756605	0.0	0.0	0.0	0.0	-0.40247864291037655	0.0	0.0	-1.1664332703169615	0.960923076923077	0.22905982905982905	0.8646589259796809	0.8078587154265031	0.8753228964758115	0.04914993363506568	0.08655718906784385	0.03409968105797019	0.05489130810417108	0.0275895261157538
0,1,2,3,5,11	-4.39695606978851	2.375667064166458	4.539600829212149	-5.527449109799264	0.0	3.080170928747923	0.0	0.0	0.0	0.0	0.0	0.6078297896883936	0.0	-1.8708533041291222	0.9727692307692308	0.22877492877492872	0.8704281567489115	0.8098003308951587	0.8814951337153696	0.04575235629460931	0.08822759712935634	0.03926725755335979	0.0587674230580261	0.032496089774609715
0,1,2,3,5,12	-4.058207000273763	2.1750962742912914	4.4393426010473345	-5.407606670334264	0.0	2.543349362873884	0.0	0.0	0.0	0.0	0.0	0.0	3.8091574513996855	-4.016402968705468	0.9923076923076923	0.16894586894586894	0.9104136429608127	0.8540765850811735	0.9168819652595234	0.015384615384615373	0.07055870618440405	0.032277866104340705	0.05212529267776915	0.027234465728620455
0,1,2,3,6,7	-3.9423617669237965	0.7087086230213009	5.717453821242292	-5.906552646872051	0.0	0.0	0.9798634039917088	-1.9250947163754504	0.0	0.0	0.0	0.0	0.0	0.654578212985103	0.9455384615384614	0.20256410256410257	0.870500725689405	0.8258252751686797	0.8785198237245186	0.04955756917688652	0.09069902479138334	0.03283632294066049	0.06362071049906554	0.02665011747897583
0,1,2,3,6,8	-3.2768234167987815	1.2605374059337269	5.30995679613458	-6.145564036248574	0.0	0.0	-1.5406022463930789	0.0	1.7352923786213572	0.0	0.0	0.0	0.0	-0.1608676908304228	0.961076923076923	0.1987179487179487	0.8798984034833092	0.8319489078084412	0.8885605288937464	0.048902995394759625	0.10625147862314496	0.047329750060215496	0.07321539961868176	0.03872008927388116
0,1,2,3,6,9	-0.8114028283573955	0.15415184713754626	3.994188722348084	-6.54179044011556	0.0	0.0	-2.5251599147896195	0.0	0.0	3.9399851877616023	0.0	0.0	0.0	-0.1389446105584101	0.9687692307692307	0.11609686609686609	0.925689404934688	0.8905525951821837	0.927309248831534	0.041805693109089354	0.03887218785011934	0.027588512260547923	0.03333824534613115	0.027879960681124034
0,1,2,3,6,10	-3.6238357651182596	0.6983405411460101	6.094005373543057	-6.210554783383339	0.0	0.0	-0.27605891223076234	0.0	0.0	0.0	-0.7773367466682318	0.0	0.0	0.3235811527234655	0.9532307692307691	0.19871794871794873	0.8761973875181424	0.8278812095557825	0.8836768999557512	0.0484466399565225	0.07739973139160981	0.027396000510849592	0.05370437129783738	0.02313173017953692
