# nel,B,Pinput,Prad,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
5.790658896180937987e-01,8.863432556768556791e-01,8.708985767181409710e-01,3.960528891383531258e-01,1.716993192864829654e-01,2.584559146930183182e-01,8.822019029115132360e-01,9.360378367007954337e-01,9.129669154902269046e-01,5.724168724662904717e-01,9.686543968282809169e-01
5.759144896897447907e-01,8.863432556768556791e-01,8.719765835634356588e-01,4.519752726549110533e-01,1.982049886806211969e-01,2.587642050815718298e-01,8.952725858592850416e-01,9.599178311954392750e-01,9.263150200567320525e-01,5.862051746517946693e-01,9.734618145039040105e-01
5.987177324225181341e-01,8.863432556768556791e-01,8.708725274384914172e-01,3.493960976479217884e-01,1.486079865591274363e-01,2.305134503987980032e-01,9.079749487841427547e-01,8.254636127589407568e-01,9.392869871100375523e-01,6.985846119583976055e-01,9.781337634977819162e-01
5.944372000889308616e-01,8.863432556768556791e-01,8.700842437794307216e-01,3.825711277409261091e-01,1.659290790358461942e-01,2.237986322201360734e-01,8.896194298162060088e-01,7.962341855825825210e-01,9.205418773452678227e-01,6.576934774185659860e-01,9.713825748503106539e-01
5.901317913033550244e-01,8.863432556768556791e-01,8.710241023667772975e-01,3.774751880990893094e-01,1.623521424141420866e-01,2.144122802502236302e-01,9.061114458553286566e-01,7.887827237981261952e-01,9.373839318486413275e-01,7.601752617801094125e-01,9.774483641996463135e-01
5.858012152341802725e-01,8.863432556768556791e-01,8.717413455610021344e-01,2.987796723480516392e-01,1.225528321521944797e-01,2.184109140580842157e-01,8.982646568777847840e-01,8.331271029887437063e-01,9.293705969523641253e-01,7.282884894169407985e-01,9.745623029143819505e-01
5.780669762525167954e-01,8.863432556768556791e-01,8.721514638286502752e-01,3.716123402604385451e-01,1.581865725172465487e-01,2.208629859683701735e-01,9.015668843982940217e-01,8.420351692514359554e-01,9.327429133356992530e-01,7.025078055854476755e-01,9.757768673724489528e-01
5.702511406756860524e-01,8.863432556768556791e-01,8.711740389135196327e-01,3.478886412074500556e-01,1.475233596195553165e-01,2.178926510110346104e-01,9.140719891831049493e-01,8.386100978767603298e-01,9.455134354996703738e-01,7.175633833363990188e-01,9.803762645132285680e-01
5.623519684335049895e-01,8.863432556768556791e-01,8.700131907977355361e-01,3.533995701990222948e-01,1.515532509752747226e-01,2.168802520845851678e-01,8.953460102566773715e-01,7.824809157024701367e-01,9.263900028665853492e-01,6.883379630223863677e-01,9.734888201123528262e-01
5.670077377067517244e-01,8.863432556768556791e-01,8.713441881042645054e-01,3.477628674648508555e-01,1.472713219636702098e-01,2.153218654887242289e-01,9.014367874922570856e-01,7.771956973754197140e-01,9.326100551589306953e-01,6.844915706438410297e-01,9.757290175264902166e-01
5.769547477560834636e-01,8.863432556768556791e-01,8.723754929196796404e-01,3.432826200470370792e-01,1.438961249839929568e-01,2.157819185218150526e-01,8.874469630940973186e-01,7.818078104431501751e-01,9.183233006197950576e-01,6.783714400117877297e-01,9.705835381847209842e-01
5.867683210401120064e-01,8.863432556768556791e-01,8.727127749946532731e-01,3.385173830321653310e-01,1.411573428767565197e-01,2.146930359663559162e-01,8.856960095187563775e-01,8.053578146906963386e-01,9.165351835406694292e-01,6.831151896559319869e-01,9.699395347152063307e-01
5.840022782667781964e-01,8.863432556768556791e-01,8.677742159828960578e-01,4.515440943746827918e-01,2.026927192380816312e-01,3.010071405912836395e-01,8.819774859908688924e-01,9.274274680468236332e-01,9.127377353827127449e-01,5.555107125795322176e-01,9.685718559331092381e-01
5.853138834667053203e-01,8.863432556768556791e-01,8.682528969149438947e-01,4.594232805232519867e-01,2.060609833642050859e-01,2.955837295045407043e-01,9.266134800315509734e-01,9.421262010279176646e-01,9.583211160113808136e-01,6.365213237769555832e-01,9.849890445052459365e-01
5.844259507124693886e-01,8.863432556768556791e-01,8.671945639085800739e-01,4.855025587154639388e-01,2.201686650093463427e-01,2.929606433129572363e-01,8.806486215334712320e-01,9.084711312145177242e-01,9.113806661459381564e-01,4.973354154082710865e-01,9.680830975027711061e-01
5.835369524517686202e-01,8.863432556768556791e-01,8.657579802611519160e-01,4.447708464426067820e-01,2.015912461913865750e-01,2.886452074089472797e-01,8.842896752257612958e-01,9.652432930187979654e-01,9.150990001925329853e-01,5.635486707794336025e-01,9.694222827579066504e-01
5.826452276472253722e-01,8.863432556768556791e-01,8.681929723396635268e-01,4.929459161062677008e-01,2.227403750587806930e-01,2.806257404644415532e-01,9.124369125356406318e-01,9.545134295672454972e-01,9.438436548040621821e-01,6.119699764797119634e-01,9.797748807594165443e-01
5.766204189320642826e-01,8.863432556768556791e-01,8.685245092135349676e-01,4.578761617329187850e-01,2.049901408214452880e-01,2.762933836268042231e-01,8.806576472507102737e-01,9.576444750014514451e-01,9.113898834315211639e-01,5.478950248957125124e-01,9.680864171757188608e-01
5.683176249639221300e-01,8.863432556768556791e-01,8.682387053396773968e-01,4.603817773946636271e-01,2.065524499473566644e-01,2.701499473524912043e-01,9.674261269147059750e-01,9.580112842188923672e-01,9.999999999999998890e-01,6.881044418027303378e-01,9.999999999999998890e-01
5.599207237744749932e-01,8.863432556768556791e-01,8.672657636590894725e-01,5.032104016200269481e-01,2.288644967187745127e-01,2.642173337797482091e-01,9.155831691727169819e-01,9.543887895932159360e-01,9.470566898652419408e-01,6.262556095687420443e-01,9.809320788820827808e-01
5.550634308072837086e-01,8.863432556768556791e-01,8.654578417853242556e-01,4.592100959186741216e-01,2.090822143147658685e-01,2.594706668589723542e-01,9.165979082969245573e-01,9.377085731501272337e-01,9.480929665457925593e-01,6.171835577515857318e-01,9.813053015225028375e-01
5.556312713723428054e-01,8.863432556768556791e-01,8.677473660775181230e-01,4.218951969550168157e-01,1.880298709674957935e-01,2.575451046049729298e-01,8.883286192026058625e-01,9.822651930401646858e-01,9.192236696345661429e-01,5.161731970254908042e-01,9.709078126833681210e-01
5.667586987540136345e-01,8.863432556768556791e-01,8.683590495186352953e-01,3.660653722787244879e-01,1.596802491150768333e-01,2.356650725543608660e-01,9.038993714927155976e-01,8.484791084176459552e-01,9.351249068214848581e-01,6.941074397834453569e-01,9.766347597817967019e-01
5.695948177535017365e-01,8.863432556768556791e-01,8.675430170804503405e-01,3.178640619239225251e-01,1.367077173688112657e-01,2.284950129185955303e-01,9.500859001470259857e-01,8.768267067489124988e-01,9.822917317307154894e-01,7.596350333393558918e-01,9.936222374151865155e-01
5.765736008544080082e-01,8.863432556768556791e-01,8.688761346148126119e-01,3.452424495359663892e-01,1.487824820344840759e-01,2.249610818508180898e-01,8.942459205746329243e-01,8.027194148042366972e-01,9.252665640862907104e-01,6.772236744427732047e-01,9.730842054029789079e-01
5.834872562672903662e-01,8.863432556768556791e-01,8.662018013832770702e-01,3.039809940415686418e-01,1.313269538230896760e-01,2.202243904524375795e-01,9.119660473949140478e-01,8.564571386062422853e-01,9.433627956813785964e-01,6.868291730431733688e-01,9.796016958226072546e-01
5.903369883361810899e-01,8.863432556768556791e-01,8.680394264227639933e-01,3.360900711907924832e-01,1.451833701671846333e-01,2.182599023235516356e-01,8.980805447678991138e-01,8.289103453950000810e-01,9.291825771140332924e-01,6.542868081879043007e-01,9.744945861917824192e-01
5.805392859256413018e-01,8.863432556768556791e-01,8.703066973839075349e-01,3.166795847296562938e-01,1.330294396038160798e-01,2.130180339965274117e-01,9.226364679762087961e-01,8.235135145901493203e-01,9.542596929786992810e-01,7.168141070857518837e-01,9.835262932375872236e-01
5.632905730941162314e-01,8.863432556768556791e-01,8.686851537033111192e-01,3.535866505659461256e-01,1.531313048546273370e-01,2.124687182788042028e-01,9.084367431771473989e-01,7.582533717720523203e-01,9.397585829608957608e-01,6.522026966287248761e-01,9.783036121993612388e-01
5.456289291478855219e-01,8.863432556768556791e-01,8.669544692086894599e-01,2.759280304690780450e-01,1.165844055203738572e-01,2.089293668931860859e-01,9.663718780490668792e-01,8.577500030325211355e-01,9.989233749947189489e-01,7.868461721438388956e-01,9.996122456147523705e-01
5.351308071138094480e-01,8.863432556768556791e-01,8.673448545772850515e-01,3.353217313521579812e-01,1.455790022387061233e-01,2.113448677852349800e-01,9.144184383721489784e-01,8.559967150666614177e-01,9.458672379766195348e-01,6.952534562205238133e-01,9.805036890679952322e-01
5.358907998971340625e-01,8.863432556768556791e-01,8.680346925880280118e-01,3.190464604791666270e-01,1.367427829959275698e-01,2.109563826959537369e-01,9.542492511512317144e-01,8.477584746352784251e-01,9.865434487047451961e-01,7.346132198995189988e-01,9.951535244403112435e-01
6.317831863862537478e-01,8.863432556768556791e-01,7.968998786568961545e-01,4.556827763806489129e-01,2.840284420235059115e-01,2.659427427579310610e-01,9.167097166608259018e-01,6.866604689594325572e-01,6.430228186903463872e-02,4.447788807684889267e-01,3.007151411181226974e-01
6.161454073417114152e-01,8.863432556768556791e-01,7.988832368296031605e-01,4.667371454130574415e-01,2.872879648668724695e-01,2.670708522887561553e-01,9.303969005647373391e-01,7.207928277280289953e-01,4.563540636488450097e-02,4.467594624800226288e-01,2.823599953076981750e-01
5.913588436716479269e-01,8.863432556768556791e-01,7.982140547855234303e-01,4.396870038852835338e-01,2.746313353478742059e-01,2.680610448383601296e-01,9.604382541773835991e-01,8.755014709065014333e-01,1.170791280012993818e-01,5.135366960932328251e-01,2.842911759326726129e-01
5.657141955562956515e-01,8.863432556768556791e-01,7.967042227617300298e-01,4.836030955598888403e-01,2.980828801841000075e-01,2.622380342888683824e-01,9.837619669639198206e-01,9.230585275077937135e-01,2.089350040259074781e-01,6.474804835420642224e-01,2.344175792201362851e-01
5.506920030969815194e-01,8.863432556768556791e-01,7.969559474834733148e-01,3.845392112757785585e-01,2.487112342142788757e-01,2.590292368450286542e-01,1.000000000000000000e+00,9.080230868728480509e-01,1.627106188261147057e-01,5.531145732579122454e-01,3.033858200358132695e-01
5.577130681354713904e-01,8.863432556768556791e-01,7.960923884386572613e-01,4.787014279614916212e-01,2.963379238355294820e-01,2.565072363912301867e-01,9.930016263331238324e-01,9.002515358068409190e-01,2.130593206548514473e-01,6.919798492253561584e-01,2.359041868800164643e-01
5.646682176459196789e-01,8.863432556768556791e-01,7.984923990015937445e-01,4.444440116376786598e-01,2.766777014870512863e-01,2.554543533614188622e-01,9.829414606477158145e-01,7.760857233381368570e-01,8.983806061709009860e-02,4.973412391898182072e-01,3.086020685100409056e-01
5.715098551312127739e-01,8.863432556768556791e-01,7.983316686168844267e-01,4.097866241536238796e-01,2.596840373644573319e-01,2.522396701574413092e-01,9.341754315753643123e-01,9.233361251167963024e-01,1.813512199339746278e-01,5.997309183773568142e-01,2.448172460431995434e-01
5.733846896883001421e-01,8.863432556768556791e-01,7.963633550791300308e-01,4.189591295642427493e-01,2.664307433800395253e-01,2.452507260416899593e-01,9.805831657628737430e-01,7.774139111436371152e-01,9.494345372171264508e-02,4.848672748378255459e-01,3.081969988165369490e-01
5.752547916049997045e-01,8.863432556768556791e-01,7.974967375790025237e-01,3.916478047738214396e-01,2.516294133633138475e-01,2.441977294600247150e-01,8.987774656443880961e-01,9.169651759127463997e-01,1.803686425739907673e-01,5.908156116584066808e-01,2.795903823526915133e-01
5.665011010224383359e-01,8.863432556768556791e-01,7.965017541976638915e-01,3.401095429893428168e-01,2.272021920793450556e-01,2.140494207241800950e-01,8.799617614460528703e-01,7.983081692774390836e-01,1.779758956162670325e-01,8.717344581288539729e-01,3.615419473415280027e-01
5.626570176159348957e-01,8.863432556768556791e-01,7.980252441702340160e-01,3.321752184218058623e-01,2.215658029716719435e-01,2.102752692696562287e-01,8.966148955063170112e-01,7.661954464808928833e-01,1.422757082640604409e-01,7.727053471829614661e-01,2.735412566657587918e-01
5.519860909738116828e-01,8.863432556768556791e-01,7.981868042910336136e-01,3.015605026910194719e-01,2.062153937906044954e-01,2.057710311162083139e-01,8.961387149632717986e-01,7.684624442123894061e-01,1.536872016360130155e-01,7.304896656535908583e-01,2.894459455019554595e-01
5.411592133802787252e-01,8.863432556768556791e-01,7.968284423942535444e-01,3.018298759828223488e-01,2.078674558421041429e-01,2.057615186789766293e-01,8.750531999261583760e-01,7.901395883690209843e-01,1.763054433425501610e-01,7.814370590472190514e-01,2.444305845044641989e-01
5.329436919281744789e-01,8.863432556768556791e-01,7.962817564481823318e-01,3.088626793748563970e-01,2.119644074195172756e-01,2.024840161693627349e-01,9.179787986319419835e-01,8.170991775053271233e-01,1.676441394487895309e-01,8.053126469961036094e-01,3.815839915279501948e-01
5.300453532452471528e-01,8.863432556768556791e-01,7.960408434809005396e-01,2.819602303571958068e-01,1.989027646088217249e-01,1.977570014885521310e-01,9.573349197574396729e-01,8.128019929424096235e-01,1.987762171601631378e-01,8.103308116864340604e-01,2.880919659462858329e-01
5.271356310504351494e-01,8.863432556768556791e-01,7.972888060502596463e-01,3.193745366102762051e-01,2.160466242658130032e-01,1.915738631298287142e-01,9.076345897913268290e-01,7.632421518632495072e-01,1.396111055456221717e-01,7.482978467589850302e-01,3.225822084722927974e-01
5.241677749847455381e-01,8.863432556768556791e-01,7.981342902239422221e-01,2.743799465934765314e-01,1.928037672724060014e-01,1.912490319410989903e-01,8.888051007368948930e-01,7.609368522677377733e-01,1.340484255864053953e-01,6.980929854412685209e-01,1.332534070541619986e-01
5.166367769057846893e-01,8.863432556768556791e-01,7.967930517441470517e-01,2.589371061355320025e-01,1.866516795807969809e-01,1.877858553830143995e-01,8.805439006289883519e-01,7.570612893692894030e-01,1.069363608145429412e-01,6.930969593534278550e-01,3.204050299015881453e-01
5.090284357684675687e-01,8.863432556768556791e-01,7.961332164373029485e-01,2.949065825385062678e-01,2.052142054250747361e-01,1.857756996930044480e-01,8.894833009352520747e-01,7.717999236403679797e-01,1.345977178683570585e-01,7.484234635371525002e-01,2.735001668205956360e-01
5.913260612151201023e-01,8.863432556768556791e-01,6.732658426609643421e-01,2.274887519749147491e-01,3.092548701668466626e-01,2.636964958518567270e-01,7.323934703666830082e-01,6.668431488180915911e-01,1.553325049379019607e-01,8.796488343279639244e-01,3.343968849961752587e-01
5.892381113231601741e-01,8.863432556768556791e-01,6.742390449148925047e-01,1.982953744714756050e-01,2.936992333764589236e-01,2.536579746005493963e-01,8.658616175884870092e-01,7.671349889476992701e-01,0.000000000000000000e+00,3.580984290016817617e-01,2.913912245199007378e-01
5.861347287839373532e-01,8.863432556768556791e-01,6.722377659564584551e-01,2.513530778550190359e-01,3.222300410691336103e-01,2.639591123475646395e-01,8.893331286113342893e-01,7.640428828904156644e-01,3.399267503328962103e-02,4.075982209891715335e-01,3.088872295886245789e-01
5.830182914695996033e-01,8.863432556768556791e-01,6.720045396593015141e-01,1.969671910587155739e-01,2.955417370435401980e-01,2.577977821311634443e-01,7.710202048709025036e-01,6.840787134946679782e-01,1.149043174434466463e-01,8.240042359764134794e-01,2.712690765430969542e-01
5.798737069789412502e-01,8.863432556768556791e-01,6.729484882321624672e-01,1.632129719591123296e-01,2.777585059879609242e-01,2.523356487486141386e-01,7.994783490492846090e-01,8.141989409603330730e-01,3.996255309817753343e-02,3.876611733303338969e-01,3.352268223716375894e-01
5.750470492960857438e-01,8.863432556768556791e-01,6.728665681371325258e-01,2.590232072521699846e-01,3.253275805521297914e-01,2.574802963978495285e-01,7.437990038605662990e-01,7.679084727083309581e-01,1.484375895189946615e-01,7.994895509036773484e-01,2.531254373092537424e-01
5.701887390900441943e-01,8.863432556768556791e-01,6.730020781027161725e-01,1.960146322325679313e-01,2.939540168614900861e-01,2.532008649638582964e-01,7.448298372508169729e-01,8.030532317514192941e-01,5.351991166228542429e-02,4.583430313458378702e-01,3.307160819044818734e-01
5.652983584735236100e-01,8.863432556768556791e-01,6.708448320702562473e-01,2.510845236070833320e-01,3.236553795053040417e-01,2.576854956420447929e-01,8.266966725249494941e-01,8.256721586929085532e-01,6.804938656413006548e-02,4.174657845760555430e-01,1.792935590298806448e-01
5.636003411370218430e-01,8.863432556768556791e-01,6.715964624928871807e-01,1.796842686772673336e-01,2.874325405414276391e-01,2.483095275257356516e-01,7.864860415803712756e-01,7.063928315514758083e-01,1.064594790924061618e-01,8.090094079611569455e-01,3.112792804935541335e-01
5.634846187821147545e-01,8.863432556768556791e-01,6.738541773852776418e-01,1.969278557869036939e-01,2.934523345334790201e-01,2.476300710701541119e-01,7.571607883828992414e-01,7.315367035797920581e-01,1.619745061399558983e-01,6.264195275133337404e-01,2.408217860834224178e-01
5.463643001337519234e-01,8.863432556768556791e-01,6.728594875670981246e-01,1.688138887535494681e-01,2.806336573295998282e-01,2.589559890731644165e-01,7.194059367274484584e-01,6.579618284073449619e-01,4.712990279793860537e-02,6.382147231670770582e-01,3.246974416783505735e-01
5.440406880173476178e-01,8.863432556768556791e-01,6.736020317834886528e-01,1.834831583829167334e-01,2.870727485471776252e-01,2.580956597568803135e-01,7.164540921529628514e-01,6.650000057244611629e-01,2.015373149149091159e-02,6.313486535072684314e-01,2.546425358164723374e-01
5.462284334611791081e-01,8.863432556768556791e-01,6.729151160928206199e-01,1.376825511120899070e-01,2.651455349699687325e-01,2.575191822578508649e-01,7.171553931037650820e-01,6.545975908497314588e-01,1.702403024855592140e-02,6.195179800515562274e-01,2.879703481553942401e-01
5.484114743018737581e-01,8.863432556768556791e-01,6.724849895714450909e-01,1.620291836079262304e-01,2.776895456694757347e-01,2.554066432633060879e-01,7.112639445742564570e-01,6.556665003166701755e-01,4.142815648590703059e-02,6.122391920883747396e-01,2.069763827107355958e-01
5.505274851197525798e-01,8.863432556768556791e-01,6.721363856114124236e-01,1.584652879305559203e-01,2.763146295309040767e-01,2.532727221735788792e-01,7.079814313379196866e-01,6.572707948257134891e-01,5.576497895583798492e-02,6.170008121813580493e-01,3.681340135540746017e-01
5.467247486184152461e-01,8.863432556768556791e-01,6.723583637117569456e-01,1.601457412877944353e-01,2.768985086608101165e-01,2.509685232818682499e-01,7.000727277686508154e-01,6.595924169649409752e-01,2.874431985194836336e-02,6.050257944187491521e-01,1.852371718699902248e-01
5.429041417926394608e-01,8.863432556768556791e-01,6.721373995853424654e-01,1.470154973906485085e-01,2.706390233441792748e-01,2.342301043761781942e-01,7.247291606087190585e-01,6.731817115565004173e-01,5.082214592850631263e-02,6.208506214669741174e-01,3.399133551439604828e-01
5.390619704768453424e-01,8.863432556768556791e-01,6.721272596910226049e-01,1.668012727616985380e-01,2.804561088756691301e-01,2.218240784240316232e-01,7.284793995698505276e-01,6.762168735393084829e-01,2.828781767217258825e-02,6.388948546408195206e-01,2.440187058904511597e-01
5.308337005962000532e-01,8.863432556768556791e-01,6.721718726494626539e-01,1.545641585773187276e-01,2.743405896848588044e-01,2.207357900058009026e-01,7.271305643735983537e-01,6.796127017607136445e-01,4.924342719168350868e-02,6.313390468741661987e-01,3.161264350231232090e-01
5.203279632151265321e-01,8.863432556768556791e-01,6.720298991738249406e-01,1.370293650768368565e-01,2.658119531788203926e-01,2.214269115798637166e-01,7.217515650612593703e-01,6.708417282819049143e-01,5.107739389978660505e-02,6.280250210714134473e-01,2.794753272320026349e-01
4.631782779697988239e-01,9.553562640879033063e-01,6.913309721399272245e-01,7.482048506013827538e-01,5.470825033584798547e-01,1.462409481993175442e-01,3.386084280480781139e-01,3.930461032753175266e-01,5.364112206617666079e-01,6.554138890593358413e-01,4.964124324058891147e-01
4.501166848149537048e-01,9.553562640879033063e-01,6.913309721399272245e-01,7.421376373703798546e-01,5.440760383548238766e-01,1.469151483935488001e-01,3.389861072398795416e-01,4.059604106022932646e-01,5.444340126021316451e-01,6.621646884654294185e-01,5.105806396829362104e-01
4.519747405496472581e-01,9.553562640879033063e-01,6.913309721399272245e-01,7.216902432633626185e-01,5.339434732842930353e-01,1.484567945509397413e-01,3.881577823601705113e-01,4.334067915462314069e-01,5.753475448786322666e-01,7.041827658250829902e-01,5.015376902111552404e-01
4.611625371038998722e-01,9.553562640879033063e-01,6.913309721399272245e-01,7.303360267703868924e-01,5.382274817221652796e-01,1.497882725556164418e-01,3.879929498988718417e-01,4.212321265289920014e-01,5.015139283636329548e-01,6.416067014354719378e-01,5.096108443304898650e-01
