Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4,5,6,8	-3.8486894368317563	2.1046439621405444	1.0456804402555455	-5.04148372275528	-3.6680418346174735	2.4648749622889685	-0.42761211290376056	0.0	1.146802661778322	0.0	0.0	1.860740157675897	0.9804615384615385	0.17962962962962964	0.8989840348330913	0.8470071322818822	0.9065584742016499	0.031589452213108396	0.09505694910347486	0.04380309579122053	0.06850501079542831	0.03627644984781165
0,1,2,3,4,5,6,9	-1.037093235681145	1.2952014197770072	0.3564119501196089	-5.281608414634503	-3.015970779424451	2.0863037089133503	-2.225282683116921	0.0	0.0	4.18155677096186	0.0	1.0019221644302574	0.9843076923076923	0.07834757834757836	0.9523947750362846	0.9246926585547277	0.9529932904272528	0.03139215595688357	0.03862999933215382	0.02452400749071513	0.03565267086822656	0.024757744043578844
0,1,2,3,4,5,7,8	-4.1355300154037415	2.1530721493791174	1.582637712016274	-4.565782311278589	-4.032990401226862	1.7438406146490906	0.0	-1.911029101252947	1.6165658477070806	0.0	0.0	2.4302913222300715	0.9689230769230768	0.14985754985754987	0.9084542815674892	0.8700032503589477	0.9135347423142195	0.0483419770547516	0.10121140262601738	0.04468268616393058	0.07125066343536501	0.03662775033910178
0,1,2,3,4,5,8,10	-3.0025617090246026	1.475946012257577	1.3786632189705899	-5.5786036963762635	-4.3067051941772565	2.030693071845137	0.0	0.0	2.09439918206303	0.0	-2.1425208571554117	2.3082488411561513	0.9806153846153846	0.1381766381766382	0.9200653120464442	0.8763036429232202	0.9240922054994585	0.025919310386034063	0.06814419373180398	0.03031699400162632	0.054556735779096255	0.026819384640445067
0,1,2,3,4,5,6,7	-4.566683502607808	2.0510080621766447	1.8580572879013129	-4.337005973657152	-4.227725926603151	2.6226053554598825	1.4842895818711024	-2.3276463964889236	0.0	0.0	0.0	2.3293671725095404	0.9843076923076923	0.17606837606837605	0.9027939042089985	0.8479989284908639	0.9093389565983581	0.03139215595688357	0.07045221718679157	0.027727342452036015	0.053060337036821954	0.02318631366156217
0,1,2,3,4,5,7,10	-4.351155999759776	1.8195912584778846	2.5035198221235175	-4.172879673953632	-4.868455737982753	1.7931719343149026	0.0	-1.0065227673738912	0.0	0.0	-0.7743605078840432	2.838276258347501	0.9727692307692308	0.15726495726495726	0.9066037735849056	0.8601861729760785	0.9112538238049073	0.04267976253656426	0.061903397194074374	0.02660134263207987	0.04907833339357948	0.024052535527367684
0,1,2,3,4,5,8,9	-1.8365230228736267	1.7037895246775991	-0.09185119840241976	-5.700430147147744	-2.722050346877265	4.118747977261012	0.0	0.0	0.3957758681520394	2.5517146586299067	0.0	0.007315645308647459	0.9883076923076922	0.14957264957264954	0.9181059506531206	0.8665947687318656	0.922647516602761	0.017864711836301273	0.052230855557053785	0.022623621799743615	0.04080029759444076	0.019799900126531277
0,1,2,3,4,5,9,10	-1.5271029300483785	1.1300383285313982	0.32872893407551096	-5.819205670320405	-3.251401116408805	3.1679728983461724	0.0	0.0	0.0	2.945354154403671	-1.048472925017825	0.9721237778801397	0.9767692307692307	0.10056980056980055	0.9372278664731495	0.9055547284256962	0.9387614489518807	0.030849510655637746	0.046462336482954274	0.018817617426255952	0.03923879798383169	0.017659116799982333
0,1,2,3,4,5,6,10	-3.8974152114779166	1.63665259358319	2.003270286046762	-4.703193000161173	-4.571633785941438	2.0861665157233245	0.09169776993620843	0.0	0.0	0.0	-1.0035292053744194	2.5238920881248834	0.9727692307692308	0.17222222222222222	0.899020319303338	0.8484477659437337	0.9047228835105224	0.03906026295369546	0.0601789052506786	0.021038141370100266	0.04343216256763095	0.01780709893123032
0,1,2,3,4,5,7,9	-1.0966684702747596	0.9937972442450465	0.6919395439324166	-5.0027438996972595	-3.253126960193545	1.82530999849976	0.0	-3.377994999750972	0.0	4.539210402722642	0.0	1.50216284681168	0.9883076923076924	0.05213675213675213	0.9677068214804063	0.9485132275132276	0.9678351878729238	0.017864711836301273	0.02949234027260976	0.02075014920250973	0.0285195732643543	0.0205431998471893
0,1,2,3,4,6,7,9	-0.5073531440027168	0.04742786510468622	0.9140650911410315	-5.196966661783829	-3.597858924591962	0.0	-0.26550373889774354	-3.5793368839881503	0.0	4.676233387029964	0.0	2.7971864141532725	0.9804615384615385	0.04472934472934472	0.9677068214804063	0.9553152218152219	0.9673761328430743	0.031589452213108396	0.027645605631243766	0.022461816243746525	0.026299635245957038	0.022874988654493736
0,1,2,3,4,6,7,8	-3.9628188026313915	1.164989341238096	1.6829690167416147	-4.7885685740851525	-4.25562860407049	0.0	1.2133981364724336	-3.4606396936994033	1.8527311411771863	0.0	0.0	3.9063090839331345	0.9649230769230769	0.1423076923076923	0.9103047895500727	0.873928066186687	0.9146146446146446	0.04455061611750958	0.09214322251126732	0.04403350319887912	0.06871784838391866	0.03828928388720187
0,1,2,3,4,6,8,9	-0.6094712509948584	0.40942990519393	0.82483196039949	-5.48760519979217	-3.6420578392154126	0.0	-2.90639013223369	0.0	0.5947330126079786	3.881118083352714	0.0	2.427369012328427	0.9764615384615384	0.11210826210826211	0.9313497822931787	0.8972921657967541	0.9336387616838744	0.04031855402685676	0.06863096482431566	0.03566591780445748	0.05603725530815429	0.033727269970925663
0,1,2,3,4,6,7,10	-4.145925729517024	1.0554713233303687	2.5984421555637205	-4.568821355497856	-5.170850309640668	0.0	0.6182788570038814	-1.731716077568338	0.0	0.0	-0.9539025755355535	4.2482513208513755	0.9572307692307692	0.13105413105413105	0.9123004354136428	0.8795042302689688	0.9150609574928751	0.03657399082317553	0.06282358139943005	0.026247018066704687	0.05048300838547154	0.02347461830489344
0,1,2,3,4,6,9,10	-0.8559759412356882	0.28238253266727414	1.001274841028258	-5.367388830375664	-3.779869791595734	0.0	-2.5094038005629873	0.0	0.0	4.221013129893672	-0.9335993895326105	2.800481653403961	0.9766153846153847	0.07834757834757834	0.948621190130624	0.9240682778268987	0.9489111523162579	0.03965412594096624	0.03458928822968931	0.023991800977458743	0.030869899368257802	0.024752757756676794
0,1,2,3,4,6,8,10	-3.016538071755151	1.2087665152647582	1.9603688505487231	-5.1671543349479565	-4.753552823037354	0.0	-1.346065576566029	0.0	2.4340818944763987	0.0	-2.3156993559953714	3.618042363727384	0.9767692307692307	0.12336182336182337	0.9257256894049346	0.8892898180384275	0.9289203355819009	0.0353206780209269	0.07416496724558862	0.03231724368727637	0.06139404734001215	0.028731232156807177
0,1,2,3,4,7,8,9	-0.6603968942691409	0.0594281993624294	0.6102828033589868	-5.323559683483006	-3.3207570795415817	0.0	0.0	-4.095595694160571	1.0866581241375737	4.3119144258537085	0.0	2.845480404849045	0.9804615384615385	0.04843304843304843	0.9657837445573293	0.9516216931216931	0.9654208821086894	0.031589452213108396	0.023588298399102176	0.01857895978002936	0.022857712521070883	0.01935522900840516
0,1,2,3,4,7,8,10	-3.114547821565582	1.2061166116333268	2.0126467185447403	-4.715495254278039	-4.588224334428228	0.0	0.0	-2.292711626206498	2.794182784562203	0.0	-2.2423967052770193	3.6963620978895078	0.9690769230769231	0.06723646723646723	0.9505079825834543	0.9357886685472894	0.9504814544603668	0.04806529090049401	0.054719399752852046	0.030947568999520093	0.04983575668643308	0.030961995349535462
0,1,2,3,4,7,9,10	-0.6832179116897314	0.005437940992414747	1.0408222118422692	-5.133712849100639	-3.7083141237159603	0.0	0.0	-3.557389805108195	0.0	4.556945800392083	-0.380848909345493	2.9190542943879265	0.9804615384615385	0.04472934472934472	0.9676705370101596	0.954921041921042	0.9673154930735397	0.031589452213108396	0.027645605631243766	0.025578595690498373	0.027379678093675155	0.026132100039326173
0,1,2,3,5,7,8,9	-0.8244602276286246	0.961551036409108	2.2551397850599946	-6.245912521155614	0.0	2.1388076460785865	0.0	-3.338479879651495	1.0543156189943783	4.42665712849661	0.0	-0.9506973865951014	0.9883076923076924	0.05213675213675213	0.9677068214804063	0.9482498982498984	0.967768323262219	0.017864711836301273	0.024401838296710946	0.019029812362857317	0.024308361241859984	0.01917112305721574
