# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
9.351766048207672544e-01,0.000000000000000000e+00,9.979432625275077573e-01,4.439881460705876748e-01,9.924361022152337064e-01,4.703943399755513566e-01,6.176204540210291638e-01,8.777533280344733679e-01,2.728961951363755301e-01,9.482554421514527432e-01
9.113092854412132571e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.351767887692669312e-01,9.832827516154802883e-01,4.795522729742168755e-01,7.539105954485588734e-01,8.806764892421173885e-01,3.926341720600741159e-01,9.494927575055445157e-01
8.489224768367422680e-01,0.000000000000000000e+00,9.961063287816855905e-01,1.403498736346719955e-01,8.957542446029869154e-01,6.063235188348905513e-01,4.498374627191702446e-01,9.211411648625468240e-01,4.281194006281427988e-01,9.666206409464488392e-01
8.322795424986060286e-01,0.000000000000000000e+00,9.993402617062179250e-01,9.848523249739504770e-02,8.987556920461896581e-01,6.659763011994077608e-01,5.069194224108752866e-01,9.401820007543796320e-01,4.573515151079858843e-01,9.746802438660888690e-01
8.179359207274605748e-01,0.000000000000000000e+00,9.995790376113316000e-01,1.843899106172115498e-01,9.000071681742576324e-01,6.829121946714136193e-01,5.808396852823167755e-01,9.455878436254044894e-01,5.117803581006157287e-01,9.769684284412794018e-01
8.093915773146986847e-01,0.000000000000000000e+00,9.995812080161867730e-01,0.000000000000000000e+00,9.034558947081681168e-01,6.890586225759405270e-01,5.733674789724058085e-01,9.475497491797159055e-01,4.621780401476336397e-01,9.777988636082759477e-01
8.007847006581034766e-01,0.000000000000000000e+00,9.960703804598585176e-01,1.024859971231095734e-01,9.020291518656482488e-01,6.952469060856906191e-01,5.103716632740652459e-01,9.495250148100978782e-01,3.838522611360273284e-01,9.786349538268003245e-01
7.921143686846219278e-01,0.000000000000000000e+00,9.971906518026723010e-01,1.050580848526387889e-01,8.986809352620148683e-01,7.014858752668853281e-01,4.689762118412496017e-01,9.515164590245088760e-01,3.708846075598453140e-01,9.794778921145911310e-01
7.683265283530607004e-01,0.000000000000000000e+00,9.925723030012731929e-01,9.887838797456161011e-02,9.010857397737390695e-01,7.185907414271242022e-01,3.874245416607833281e-01,9.569762370365164639e-01,3.459582940809693419e-01,9.817889063503179026e-01
7.440475710776570661e-01,0.000000000000000000e+00,9.999728819593742823e-01,8.080566737654315546e-02,8.992452324993018831e-01,7.360525579863154144e-01,4.151765667569468077e-01,9.625499516278180900e-01,3.412135842793366791e-01,9.841481476487823343e-01
7.192567896730908128e-01,0.000000000000000000e+00,9.985214394758952228e-01,7.251132404403404230e-02,8.962562621876564162e-01,6.918021173645938493e-01,3.681810277450645597e-01,9.484254574362334100e-01,3.414115971120392778e-01,9.781695333026672046e-01
7.097479454653685682e-01,0.000000000000000000e+00,9.953096886134553678e-01,6.584585315587077048e-02,8.984042941798036086e-01,7.198426534385380382e-01,3.471808705365169168e-01,9.573758403779781823e-01,3.549864377472389254e-01,9.819580504086899975e-01
4.673231369708896743e-02,0.000000000000000000e+00,4.019428127768136516e-01,3.209446896166960883e-01,5.554059884335327268e-02,8.966932144263806137e-02,1.839871963589616577e-01,1.518414358437298883e-01,7.129130000783127086e-01,7.538337387353855057e-02
4.279247730350554946e-02,0.000000000000000000e+00,4.014824594559340820e-01,3.390543201641851301e-01,4.854151010143148426e-02,5.666574498963497519e-02,1.472020537344760349e-01,1.129917817074816977e-01,6.956434511605813498e-01,2.158486214349552013e-01
4.170278410632866084e-02,0.000000000000000000e+00,4.073373092819247976e-01,2.927716925535697179e-01,3.616768314882667923e-02,4.322265469329425458e-02,1.576618021050246732e-01,1.207876478348636207e-01,7.118512450524928648e-01,1.702244636623304608e-01
4.201636095768779278e-02,0.000000000000000000e+00,4.076622899228770081e-01,2.710986212377519688e-01,3.261178584946833325e-02,9.764061276413724122e-02,1.736442633094188448e-01,1.315248849652758123e-01,6.725770274881435196e-01,1.126936435702988737e-01
4.232985421853840968e-02,0.000000000000000000e+00,4.055862285818776503e-01,3.356759563571924954e-01,2.665369659990668438e-02,2.243188725779657333e-02,1.397477723615274670e-01,1.184857609643475973e-01,7.201498522857342488e-01,1.084634429284201396e-01
3.825914255584428325e-02,0.000000000000000000e+00,4.032517854705297555e-01,2.614922312796499337e-01,1.965408982621896783e-02,8.239696842327559612e-02,2.143737921259529777e-01,1.664107427711365439e-01,7.253967909958390914e-01,2.809462188933720128e-01
2.559468352122573620e-02,0.000000000000000000e+00,3.998307854659866045e-01,2.945794549541340679e-01,1.454455415856115152e-02,6.940872365359060381e-02,1.543005910841537265e-01,1.085574749718057896e-01,6.901675091261529893e-01,5.204161068864898709e-02
1.279235613783824554e-02,0.000000000000000000e+00,4.049263749440508153e-01,2.979093789853464180e-01,1.338595442675316605e-02,2.806055443297592045e-02,1.391810017996224502e-01,1.310886780869231494e-01,6.968949140570646072e-01,2.178292460869307723e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.046045759461236457e-01,2.490033047702384650e-01,7.274758398799097137e-03,0.000000000000000000e+00,1.194312119070501943e-01,1.214697094928475218e-01,7.145143976143063513e-01,1.167757883983866485e-01
2.264657217818877299e-03,0.000000000000000000e+00,4.038380319271666075e-01,2.918989584435554008e-01,0.000000000000000000e+00,2.715862994201678760e-03,1.187663414840955944e-01,1.176007568514669810e-01,7.027781053060963012e-01,9.739351813722862961e-02
2.529689817346865155e-01,0.000000000000000000e+00,4.206883473269293905e-01,6.742615720805000823e-01,3.270213487199378211e-01,9.421261218384218150e-01,8.948014818646983226e-01,2.427575278439206841e-01,5.787177853199747535e-01,1.644335489450317045e-01
2.513050394601532567e-01,0.000000000000000000e+00,4.218893437971555915e-01,6.629179113323776518e-01,3.291622003050818090e-01,9.952301705011181721e-01,1.000000000000000000e+00,2.833121167038303856e-01,7.599109745792194115e-01,1.309819802729100813e-01
2.710018919244938651e-01,0.000000000000000000e+00,4.218485887236613774e-01,6.887190158191018874e-01,3.141801104913508613e-01,9.913591171119939816e-01,8.939350090621480671e-01,2.320254428769764621e-01,6.229074880570468764e-01,1.766954820488451094e-01
3.294477756630049825e-01,0.000000000000000000e+00,4.238271928983983194e-01,6.447840382964078465e-01,3.130475618249795033e-01,9.068219309762506342e-01,8.804719797379971791e-01,2.429704488288153552e-01,5.897372099452469207e-01,2.242749274066972998e-01
3.165531933824203836e-01,0.000000000000000000e+00,4.221684673555197165e-01,6.548641227728453362e-01,3.047192718565143732e-01,9.647168390158906703e-01,8.203087315867361173e-01,1.793308538155660159e-01,5.711948275134954844e-01,1.814989126099540995e-01
2.681074262026692523e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.517489445491700728e-01,1.000000000000000000e+00,8.267642327240064537e-01,1.543432838528772111e-01,3.817275701674993638e-01,1.248034702548921349e-01
2.728437474522174000e-01,0.000000000000000000e+00,4.145281986716173872e-01,6.388734968835353412e-01,2.009288772575859028e-01,9.637798190622846040e-01,5.366601304360443248e-01,1.137217152653675623e-01,3.554849610598487253e-01,0.000000000000000000e+00
4.786716830264585720e-01,0.000000000000000000e+00,3.498086826558022278e-02,6.890105041526374263e-01,6.266781029586809826e-01,1.042269504526755208e-01,4.200571200122262816e-01,1.285256461851833620e-01,3.826311093327454671e-01,2.085278637850044303e-01
4.743844588153298680e-01,0.000000000000000000e+00,3.056385690071972139e-02,7.400792110474220253e-01,6.255444868749078235e-01,5.226185339329121327e-01,2.082399857036116853e-01,6.763836107348319970e-03,7.259463246291675276e-02,8.771266487470574802e-02
4.713051556230998251e-01,0.000000000000000000e+00,3.111948883649795494e-02,7.233258214363496030e-01,6.297817652914101672e-01,2.119400708784647258e-01,2.163266155873733165e-01,1.881014929333908459e-01,8.222548419899246008e-01,1.788206032671914025e-01
4.688203155746899498e-01,0.000000000000000000e+00,3.483169768445926184e-02,6.757191076557946818e-01,6.175123574279635097e-01,5.588268646972232023e-01,2.998759441938541048e-01,3.860990436605160614e-02,9.129386303140818448e-02,1.187389931989011327e-01
4.663302141374572329e-01,0.000000000000000000e+00,3.624163292433058015e-02,7.106686845020510068e-01,6.265135371589976021e-01,1.074710140268828606e-01,1.295212309760067626e-01,1.557272614374465292e-01,1.000000000000000000e+00,2.168284195615578502e-01
4.630157726064039192e-01,0.000000000000000000e+00,3.923133904543729678e-02,6.749217812165754227e-01,6.044106683108800837e-01,5.355717232273602413e-01,4.244876543010575043e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.661569730569042447e-01
4.580894187631658898e-01,0.000000000000000000e+00,3.308335086731462038e-02,7.404856688921196417e-01,6.270917675394165336e-01,6.108568809525900534e-01,4.153935199918253884e-01,3.407906280777173169e-02,9.490893206481687550e-02,1.867716520332701746e-01
4.531423415831343782e-01,0.000000000000000000e+00,3.236687278128613787e-02,6.791558605588616793e-01,6.135257182883551152e-01,2.313667358119042838e-01,1.802124224036179001e-01,1.151963311861895489e-01,8.933092606519226209e-01,1.424480395473760597e-01
4.481505831727059519e-01,0.000000000000000000e+00,3.526671072853848621e-02,6.382899385003143466e-01,6.014991643006659672e-01,3.226465801709373915e-01,5.629065483483522980e-01,4.006411250829722270e-02,5.668242997559880259e-02,2.178062937961869894e-01
4.404886777113559138e-01,0.000000000000000000e+00,3.501504977259217721e-02,7.476038245686539296e-01,6.128266765322127885e-01,1.440544017428063706e-01,4.267625326767926497e-01,1.488148235258934804e-01,8.463057786828123152e-01,1.210702852086275039e-01
