K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
TruePositive,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FalsePositive,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision,0.8099999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F-measure,0.8534920634920635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
weight0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526351879988956,0.37558888832596915
weight1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight2,0.0,0.0,1.7825041749646497,0.0,0.0,0.0,0.0,0.0,-0.4489261266192231,-0.5170872312346116,0.0,-0.6767075458665782
weight3,0.0,4.401863984894779,5.319214357316918,4.634970593805727,0.0,3.9202231439901896,0.0,0.0,2.292207065617824,2.068744175586639,2.255428353175664,2.042645595762589
weight4,0.0,2.6143776019375724,0.0,2.4352365322321408,0.0,1.3201740849875419,0.3918703639955533,0.46981024237490027,1.4939766701459851,1.3291341181964724,0.9204883077638117,1.2020002017110225
weight5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0725899267080454,-0.9836490957614075,0.0,-0.7673539342398172,-0.5965240786834185,-0.6278155959052312
weight6,0.0,0.0,0.0,0.0,3.231147314231042,0.0,2.7023243124804024,2.716073208522672,1.8597901742921372,1.7956642541656347,1.7802955820775854,1.778708163450705
weight7,0.0,0.0,0.0,0.6709681210691276,-1.0015581163535097,0.0,0.0,-0.7748414406314765,-0.3624215159665478,-0.06760512044884479,-0.29991600023829845,-0.20737294336855466
weight8,-3.98628725700481,0.0,0.0,0.0,-3.3174505103864034,-1.6578939688177,-2.3545244201118027,-2.2832254625065977,-1.4579927313947862,-1.5321035605874034,-1.5253709141530714,-1.5043447985223792
weight9,0.0,0.0,0.6573895434335242,0.0,-0.0997246942036155,-0.1214302493072366,-0.6690018106429789,-0.369290126571323,-0.06902956034545187,0.12626073024440268,-0.10606126492082099,-0.022525245032866036
weight10,0.0,0.0,0.0,0.0,0.0,0.6738318662620413,0.05856748654416723,0.39325133051029637,0.3495717762023718,0.0,0.30953151073077634,0.3462650656436327
weight11,0.0,0.0,0.0,0.0,0.0,-0.685690688734672,-1.732043353136719,-1.6001664324140386,-0.4892039043368609,-0.73237443282913,-0.7944590725513119,-0.7119887208580691
bias,1.9204746902860719,-3.5434921632872296,-4.209505329754934,-4.100607115215196,0.6947839752040055,-1.7641134181444111,1.9784212810092057,1.8335132707708177,-1.4739750608359912,-0.7553303487473764,-0.8657609168716025,-0.8784013079595698
