Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,5,6,7,9,10,11	3.117939490576794	0.0	-0.08876700732141375	0.0	0.0	-1.0975571472183798	1.936999186254446	-0.5936618543392337	0.0	-0.18083626417906237	0.3721925977656858	-1.68923967942976	-1.0523333002055035	0.9666666666666666	0.0	0.9857142857142858	1.0	0.9800000000000001	0.1	0.0	0.04285714285714287	0.0	0.059999999999999984
0,1,3,4,5,6,7,9,10	0.8724267252606269	0.0	0.0	0.9708780229240563	2.9790540466678133	-0.05580413030906743	0.3618737881950431	-0.5187646172740565	0.0	-0.19781507225859862	0.12810328049097452	0.0	-2.5416889061505303	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,6,7,9,10,11	0.7826166708775676	0.0	-0.4331238407873215	0.0	2.9888508772949307	0.0	0.6098598364195303	-0.39668751554321735	0.0	-0.15404664585794736	0.1468885728834527	-0.8825529149582071	-1.2278277121410064	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,6,7,8,9,11	0.6014188482542051	0.0	-0.5525233142727103	0.0	2.234519757676501	0.0	0.9014638765117098	-0.3098784147395314	-1.0751035615858207	-0.19139042042722676	0.0	-0.6000875378797735	-0.48520356448101837	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,7,10,11	0.6509232122713812	0.0	0.0	0.8167515247051698	2.901017353255736	-0.1018490181362989	0.5216368041915793	-0.3525814890900102	0.0	0.0	0.023900916307925846	-0.8044240746523507	-1.8288603094983718	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,6,7,8,9,10,11	1.7058811129559264	0.0	-0.13276227392307552	0.0	0.0	0.0	1.8189021912889527	-0.4785602084869529	-2.825971713460472	-0.19389958843373717	-0.02576403817464027	-0.7581273030180833	0.4191691046531618	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,7,8,10	0.6584356483702648	0.0	0.0	0.9739583944881872	2.196794292342547	-0.02222324231713113	0.8011991619056401	-0.5864267243400352	-1.0608387355518745	0.0	-0.052602124142066206	0.0	-1.7046701359234109	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,8,9,11	0.5556908704210912	0.0	0.0	0.8705397060196829	2.1767227309096815	-0.11313542451814936	0.7931636498216015	0.0	-1.0176769720652268	-0.40413382721397906	0.0	-0.607589338321576	-1.1547726590599647	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,9,10,11	0.6751295131776165	0.0	0.0	0.8900273743564838	2.8885037894008443	-0.11276317272168646	0.5179289562884162	0.0	0.0	-0.22567361338314482	-0.05316037360949013	-0.8803237721667824	-1.8318398964545246	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,7,8,9,10	0.649974774165872	0.0	0.0	0.9178527125750691	2.21027222210179	0.0	0.7757659051055954	-0.4501092548993979	-1.1003282497908597	-0.30944620183403443	0.09243700527486998	0.0	-1.6089062793734663	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,7,8,9,11	0.5561535386160733	0.0	0.0	1.2092189096966266	2.438084773668404	-0.2188675194934667	0.0	-0.20963830873904818	-0.9885152267361044	-0.13040899083594742	0.0	-0.5071761676092861	-1.2085321606357295	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,7,8,11	0.528796721978353	0.0	0.0	0.8186309231300047	2.1853200190657285	-0.06887940710327696	0.8279387378673025	-0.44196848602388883	-0.9993036748249395	0.0	0.0	-0.5546946980118941	-1.2056782601507274	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,5,7,8,9,10,11	2.1119943484998878	0.0	-0.6855601562228474	0.0	0.0	-0.18169823684557893	0.0	-0.4341380212953333	-2.9846897160573156	-0.2041827098359444	0.39841568648354986	-1.1510616458727911	1.4401222960737239	0.9666666666666666	0.0	0.9857142857142858	1.0	0.9800000000000001	0.1	0.0	0.04285714285714287	0.0	0.05999999999999999
0,1,3,4,5,7,9,10,11	0.6036236323648202	0.0	0.0	1.2412948060306648	3.0199256875230303	-0.11062562513786145	0.0	-0.320648951222498	0.0	-0.2195750193302385	0.27244877909996307	-0.5923367231744343	-2.082330880511794	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,8,9,10,11	0.5610969459019134	0.0	0.0	0.9430205523720803	2.1467371155847124	0.0	0.8016326688442774	0.0	-1.029940897011045	-0.4232071799658982	0.015399530567499231	-0.5728309712981452	-1.2693827537180862	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,8,10,11	0.569635278650943	0.0	0.0	1.0090149126000616	2.156405635025162	-0.18681170142291997	0.8326624944033192	0.0	-0.9823884870440922	0.0	-0.30563130568438235	-0.6785553555398186	-1.2858271107414723	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,8,9,10	0.7201396515697001	0.0	0.0	1.0578238394195436	2.1967675294116775	-0.06610170185470979	0.7737565638946989	0.0	-1.1166573702078952	-0.5260420947043647	-0.08466790816775241	0.0	-1.722072215443406	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,7,8,9	0.6566193395402378	0.0	0.0	0.9158780761272469	2.208958960649573	-0.04271195219290695	0.8042183108294401	-0.4122772473626416	-1.0989025179057172	-0.27148139504229657	0.0	0.0	-1.5981344737062475	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,7,8,9,10	0.5766183392756693	0.0	0.0	1.2237792821387043	2.4761753185865363	-0.026933145077782154	0.0	-0.4237972968623563	-0.9910817648857517	-0.35972781738995324	0.23272694639612204	0.0	-1.599960998739975	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,7,8,9,11	0.5693683724901306	0.0	0.0	0.8632899081818406	2.149882838020736	0.0	0.8412804626645618	-0.29778163890104553	-1.033983554065263	-0.1665772603762691	0.0	-0.5250055569366779	-1.2639279901451117	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,7,9,11	0.6747028717953002	0.0	0.0	0.8164720643737834	2.9060303439528044	-0.09746311140853142	0.5366476244517853	-0.2844717937436653	0.0	-0.05883193257351469	0.0	-0.8042021540906747	-1.8422069814584732	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,6,7,8,9,10,11	1.497554811162847	0.0	0.0	1.1797798623373634	0.0	0.0	1.7250289289515077	-0.3642320615679055	-2.6229321744981937	-0.17074075092623145	0.019204731778855785	-0.6655798379177597	-0.6076455142234942	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
