# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
1.000000000000000000e+00,0.000000000000000000e+00,2.572133678241546040e-01,8.151316165698039296e-01,1.000000000000000000e+00,1.990471425509085790e-01,6.357341861434581132e-01,8.187816819841309268e-01,3.067788049533570760e-01,9.233270321858317864e-01,9.847861792924383906e-01,8.798352993400626598e-01
9.701343358791190141e-01,0.000000000000000000e+00,2.611255856875325243e-01,8.141591464178066229e-01,9.862052285081635006e-01,1.707536700157669396e-01,1.379136164412995136e-01,8.123801872445076677e-01,1.094843417673452279e-02,9.206185775135469207e-01,9.866002867056753445e-01,8.804145056101383426e-01
9.399608233022416215e-01,0.000000000000000000e+00,2.613039634063509808e-01,8.120973125078805310e-01,9.853961764027099335e-01,2.024324114943752140e-01,6.070046564007348655e-01,8.195476106380596981e-01,2.733448381084457868e-01,9.236510944753045793e-01,9.762078441996298039e-01,8.872690401487214329e-01
9.094672209901233373e-01,0.000000000000000000e+00,2.603955380794273911e-01,7.516483577428287877e-01,9.782961037094439760e-01,1.996303668175558876e-01,6.193779904394508540e-01,8.189136384652707656e-01,2.893596693281179633e-01,9.233828626070722523e-01,9.751177085792166466e-01,8.894190890122838367e-01
9.113418538905913024e-01,0.000000000000000000e+00,2.672108523973366623e-01,7.889237154967716492e-01,9.613834751876968454e-01,2.339621098212285311e-01,8.414838105812851854e-01,8.266813125097747239e-01,3.276384227692354933e-01,9.266693439546865863e-01,9.719285885761514976e-01,8.939188662949467679e-01
9.132152650407272532e-01,0.000000000000000000e+00,2.598905123049075616e-01,8.416038925850383157e-01,9.288230256166194465e-01,2.372283539139951880e-01,9.509230697042867497e-01,8.274203113849464275e-01,2.748290399298705111e-01,9.269820123294465475e-01,9.716990337441853143e-01,8.953388297058173517e-01
9.150874560319914863e-01,0.000000000000000000e+00,2.544077642088353741e-01,8.406768518087767150e-01,9.134753541863771531e-01,1.714556167523226538e-01,5.328934642639090447e-01,8.125390050897183247e-01,6.262763164574858266e-02,9.206857729034361171e-01,9.723542522254255971e-01,8.934098958902849663e-01
8.874107230889647369e-01,0.000000000000000000e+00,2.659292232821017787e-01,7.755962108690673817e-01,8.646076247554805860e-01,2.206776480199575674e-01,9.999999999999998890e-01,8.236756576813001329e-01,1.981635665813710201e-01,9.253976597317707942e-01,9.636122537709725933e-01,9.025603134990837217e-01
8.465780834221678930e-01,0.000000000000000000e+00,2.606227192366128431e-01,7.811131400417502535e-01,8.141724372257730380e-01,2.416664483893257442e-01,9.713051689378984221e-01,8.284244454092339893e-01,2.539880746035596548e-01,9.274068586505483935e-01,9.636782949922650943e-01,9.034718203932114999e-01
8.051570488263299907e-01,0.000000000000000000e+00,2.608264186259359185e-01,7.767635069681789739e-01,7.717279983968623469e-01,2.877533768964204430e-01,8.918569389037821482e-01,8.388517702997055903e-01,3.213566505112350757e-01,9.318186308955870301e-01,9.597360047364409397e-01,9.028825481912570172e-01
