K,1.0,2.0,3.0,4.0,5.0,6.0
TruePositive,0.2,0.8666666666666668,1.0,1.0,1.0,1.0
FalsePositive,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
Precision,0.07619047619047618,1.0,1.0,1.0,1.0,1.0
F-measure,0.11000000000000001,0.9200000000000002,1.0,1.0,1.0,1.0
weight0,0.0,0.0,0.0,0.0,-1.7297021455821189,-0.7829801145777591
weight1,0.0,0.0,0.0,0.0,0.0,0.0
weight2,0.0,0.0,-1.1167946277189693,0.0,0.5157322893446497,0.0
weight3,0.0,-3.9717228913873073,-4.56354254406086,-4.252086486698355,-3.6613644897204116,-3.56445911659032
weight4,0.0,0.0,0.0,-1.764354134291311,0.0,-1.1599137365405232
weight5,0.0,0.0,0.0,0.0,0.0,2.1243961630340165
weight6,0.0,0.0,0.0,-0.508503234390913,-0.624943092670149,0.0
weight7,0.0,1.749823562196514,2.329218352419786,0.0,3.04144200785358,1.2496737039293897
weight8,0.0,0.0,0.0,0.0,0.0,0.0
weight9,0.9660596801718265,0.0,0.0,3.337631650881382,0.0,0.9120111165652727
bias,-1.501316868349035,-0.24996111477574648,0.32167026863740344,-0.1556543512111963,-0.43123627342002147,-0.634268635233094
