Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,11	-1.244447070991883	0.0	-1.146730818367022	4.611770591941275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2946959459747407	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,5	0.41689693771480413	0.0	-1.12709945828101	3.4437309198122144	0.0	-1.8547115226501254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.045209855458451	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4	-2.2066817351196004	0.0	-0.6192225060753656	3.612843677337179	1.73952019520394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9568013708011136	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,10	-0.1944891598063167	0.0	-0.7877200584109165	2.7962871754823366	0.0	0.0	0.0	0.0	0.0	0.0	2.7323813807514896	0.0	0.0	0.0	-3.46116378348975	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,9	-1.1182444199213224	0.0	-1.3431128597017314	3.8561552469921865	0.0	0.0	0.0	0.0	0.0	0.9288096952544096	0.0	0.0	0.0	0.0	-2.1545354909549252	1.0	0.025	0.9833333333333334	0.9666666666666666	0.9800000000000001	0.0	0.07500000000000001	0.04999999999999999	0.1	0.05999999999999999
0,1,2,3,6	-0.4142046916452308	0.0	-2.078596685870257	2.759501621774413	0.0	0.0	1.531684188611046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4271198501743085	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,12	-1.3021248288106855	0.0	-1.091431998416177	4.612278654576949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12000857243626013	0.0	-2.3220244999056696	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,7	-0.7529735626975144	0.0	-2.0848485071359812	0.0	2.2263276399016823	0.0	0.0	2.6412750853371216	0.0	0.0	0.0	0.0	0.0	0.0	-0.6430417263556946	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,8	-1.2526999455826595	0.0	-1.1196901267234702	4.537697153606495	0.0	0.0	0.0	0.0	-0.0706982150716748	0.0	0.0	0.0	0.0	0.0	-2.1864150337960035	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,6	-0.4206200158804645	0.0	-1.9366621629492193	0.0	1.631355174579666	0.0	2.224260497595484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.34775519756871265	1.0	0.15	0.9047619047619048	0.86	0.9083333333333332	0.0	0.22912878474779197	0.14599723539767515	0.21540659228538017	0.1416666666666667
0,1,2,4,9	-0.9550594756802573	0.0	-2.034370759883128	0.0	1.4785101943094072	0.0	0.0	0.0	0.0	2.101159000225985	0.0	0.0	0.0	0.0	-0.3972610602069372	0.85	0.2	0.8142857142857143	0.7849999999999999	0.794047619047619	0.18929694486000914	0.2179449471770337	0.1575031943670593	0.23786667600896844	0.17915539436142633
0,1,2,4,8	-1.0644501694074024	0.0	-1.5826856338556499	0.0	2.032027921927991	0.0	0.0	0.0	1.0264280206946208	0.0	0.0	0.0	0.0	0.0	-0.38221126499565605	0.39999999999999997	0.075	0.6952380952380952	0.7	0.46333333333333326	0.28087165910587863	0.16007810593582122	0.08505033856900837	0.4	0.25141819964177436
0,1,2,4,10	-0.2056829510232475	0.0	-1.5761215137011673	0.0	1.3086798591321749	0.0	0.0	0.0	0.0	0.0	3.9219605501270536	0.0	0.0	0.0	-2.3360282313773766	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,13	-1.1283551766790874	0.0	-1.4897513580276014	4.324831668012714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2328772409237392	-2.9813746791589155	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,11	-0.8337833678881961	0.0	-1.5154883488186814	0.0	2.174597545443709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.23217822175777716	0.39999999999999997	0.0	0.7452380952380953	0.8	0.5133333333333333	0.28087165910587863	0.0	0.12555997022319249	0.4	0.29896116433038217
0,1,2,4,5	0.589732430077001	0.0	-2.032504819226782	0.0	2.014775810946773	-1.832791176013787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8006726740759837	0.6	0.05	0.7952380952380952	0.8333333333333333	0.6733333333333332	0.32659863237109044	0.15000000000000002	0.1817027050317992	0.3415650255319866	0.3158058475287203
0,1,2,5,6	1.3006473615037475	0.0	-3.0590524498117273	0.0	0.0	-1.2611811962677186	2.405539520230349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5608608600312115	0.9333333333333333	0.0	0.9666666666666666	1.0	0.95	0.2	0.0	0.1	0.0	0.15
0,1,2,4,13	-1.8327737210927375	0.0	-1.0767817438149092	0.0	2.801205965223926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9628293228974703	-1.1995067543529276	0.9666666666666666	0.025	0.9690476190476189	0.9666666666666666	0.96	0.1	0.07500000000000001	0.06213327786047566	0.1	0.07999999999999999
0,1,2,4,12	-0.3430842170137158	0.0	-1.4495780679784847	0.0	2.768569387674243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.472834470672274	0.0	0.04794896594856116	0.5166666666666666	0.0	0.7904761904761904	0.9	0.6266666666666667	0.3023059524536176	0.0	0.1329074832090749	0.30000000000000004	0.2823709144606316
0,1,2,5,7	1.642474149065308	0.0	-3.4619143228821776	0.0	0.0	-1.801858658265265	0.0	2.7050794663585087	0.0	0.0	0.0	0.0	0.0	0.0	0.6414823712551007	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,5,11	1.5923104514307878	0.0	-2.321293823236704	0.0	0.0	-1.8666134718870662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1498861462275962	0.45	0.10833333333333332	0.7047619047619048	0.4666666666666667	0.44666666666666666	0.42196629670573876	0.175	0.1887421065010135	0.42687494916218993	0.40557229798013683
0,1,2,5,12	1.5751196382904529	0.0	-2.2940810643879614	0.0	0.0	-1.8973065569500758	0.0	0.0	0.0	0.0	0.0	0.0	0.06081845111090138	0.0	1.1546692585017853	0.45	0.10833333333333332	0.7047619047619048	0.4666666666666667	0.44666666666666666	0.42196629670573876	0.175	0.1887421065010135	0.42687494916218993	0.40557229798013683
0,1,2,6,7	0.8166245603338739	0.0	-3.2030121901837143	0.0	0.0	0.0	1.504949511522487	1.585537707855496	0.0	0.0	0.0	0.0	0.0	0.0	-0.09702714000998065	1.0	0.125	0.919047619047619	0.875	0.919047619047619	0.0	0.20155644370746376	0.13307798678554403	0.20155644370746376	0.13307798678554403
0,1,2,5,13	1.1598093757834367	0.0	-3.137255273978533	0.0	0.0	-2.8089434918192495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8254332268539706	0.3211016509412445	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,6,10	0.2528092294690598	0.0	-2.588827824670205	0.0	0.0	0.0	1.5173770131541453	0.0	0.0	0.0	3.0428254060778097	0.0	0.0	0.0	-1.7053820365897665	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,6,9	0.5256407259087653	0.0	-3.047210066736831	0.0	0.0	0.0	2.5974666018181276	0.0	0.0	-0.23777151226612653	0.0	0.0	0.0	0.0	0.3983511351885469	1.0	0.225	0.8595238095238095	0.7766666666666666	0.8597619047619048	0.0	0.2076655965729519	0.132330411729431	0.19933221850301402	0.12995049641796055
0,1,2,5,9	1.3688237276944324	0.0	-2.489264033181782	0.0	0.0	-2.3466425124132178	0.0	0.0	0.0	2.5123236205890795	0.0	0.0	0.0	0.0	0.4668082364685605	1.0	0.125	0.9214285714285715	0.8766666666666666	0.9216666666666666	0.0	0.20155644370746376	0.12601065354665944	0.19209372712298547	0.12338962679253068
0,1,2,5,10	1.2786564656078239	0.0	-1.4076033127010485	0.0	0.0	-0.9898438967416159	0.0	0.0	0.0	0.0	4.03852661557317	0.0	0.0	0.0	-2.16460548335093	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
