Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
6	0.0	0.0	0.0	0.0	0.0	0.0	3.7086712785670395	0.0	0.0	0.0	0.0	0.0	-2.0238800098188383	0.725	0.125	0.8	0.8816666666666666	0.7657936507936507	0.2358495283014151	0.16770509831248423	0.13919410907075055	0.15283433296656002	0.18249152228727542
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5	0.5	0.6666666666666667	0.0	0.0	0.0	0.0	1.1102230246251565e-16
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.129745167569984	2.0931906859841094	0.2	0.0	0.6	0.7	0.3066666666666667	0.15000000000000002	0.0	0.075	0.45825756949558394	0.21540659228538014
3	0.0	0.0	0.0	3.9785343073900075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.130841695840125	0.875	0.275	0.8	0.7733333333333333	0.8123809523809523	0.16770509831248423	0.175	0.1274754878398196	0.14263395263556447	0.12666338460958582
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.98628725700481	0.0	0.0	0.0	1.9204746902860719	0.925	0.25	0.8375	0.8099999999999999	0.8534920634920635	0.11456439237389601	0.19364916731037085	0.09762812094883318	0.13316656236958785	0.08686412763152689
5	0.0	0.0	0.0	0.0	0.0	-2.9522632827565096	0.0	0.0	0.0	0.0	0.0	0.0	1.3647269896651697	0.7	0.325	0.6875	0.7021428571428572	0.6882034632034632	0.18708286933869706	0.225	0.13975424859373686	0.1619623497022948	0.14434685841988684
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6826793106863533	0.0	0.0	0.3616569459506285	0.35	0.55	0.4	0.33238095238095233	nan	0.25495097567963926	0.3122498999199199	0.075	0.1745847032076531	nan
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.438132970945197	0.0	0.0	0.0	0.0	0.7209861040791532	0.25	0.25	0.5	0.5	nan	0.15811388300841897	0.19364916731037085	0.125	0.33333333333333337	nan
2	0.0	0.0	-0.01826920301705335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010084586423647578	0.3	0.6	0.35	0.24404761904761907	nan	0.291547594742265	0.3	0.09354143466934853	0.21103687977661711	nan
0	2.2441044175534044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0623874885539677	0.25	0.25	0.5	0.475	nan	0.25	0.19364916731037085	0.1767766952966369	0.425	nan
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7740272780528039	0.0	-0.3866686043293157	0.55	0.75	0.4	0.3823809523809524	nan	0.29154759474226505	0.19364916731037085	0.075	0.14050524316198693	nan
4	0.0	0.0	0.0	0.0	2.3539173507170745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2050810172309245	0.375	0.25	0.5625	0.54	nan	0.3211308144666282	0.19364916731037085	0.1875	0.397994974842648	nan
