Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,5	-4.237327345799547	2.2160504055349897	4.699940832165119	-5.559421269310873	0.0	2.8852652944140327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3649224416346293	0.9727692307692308	0.22891737891737893	0.8703918722786648	0.8100775781576999	0.8815939478815012	0.04575235629460931	0.09192626781269583	0.041211811217917366	0.06042346131163605	0.03377832896430894
0,1,2,3,4	-3.715756922666271	0.6298954574686539	1.6905882709740432	-4.841423952324194	-4.407746184453343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.846422709904364	0.960923076923077	0.22521367521367522	0.8665457184325109	0.8118875634169751	0.8774490759150939	0.04270831300812524	0.09859453812143285	0.04324426943838074	0.06744353644413173	0.03488537327782806
0,1,2,3,6	-3.8530098908714185	0.8927297583622982	5.755700312774797	-6.001478466629647	0.0	0.0	-0.6529791584365576	0.0	0.0	0.0	0.0	0.0	0.0	0.3512003044917641	0.9455384615384614	0.2363247863247863	0.8532656023222062	0.8025130567391004	0.8649522312255977	0.04955756917688652	0.10697322825994449	0.04572021790233762	0.0700007899019246	0.036370896451033474
0,1,2,3,7	-3.952390291375427	0.9139891293624354	5.827553653782452	-5.943614549786057	0.0	0.0	0.0	-1.004880482381172	0.0	0.0	0.0	0.0	0.0	0.47723650050158745	0.9455384615384614	0.21025641025641023	0.8666545718432511	0.8204580144712972	0.8754893294648154	0.04955756917688652	0.09500516792240744	0.035443539006011986	0.06450449518207695	0.028957200962215386
0,1,2,4,7	-3.804850028631794	0.7986918574686783	-2.5179415985925786	0.0	-9.178194809780532	0.0	0.0	-2.0813061710068994	0.0	0.0	0.0	0.0	0.0	7.433013687647403	0.8990769230769231	0.1388888888888889	0.8799346879535559	0.8655546909085139	0.8803648143076556	0.05804792959423718	0.06603067345755163	0.044635930657741484	0.05581009783405907	0.04303802299278292
0,1,2,3,8	-2.804678710861044	0.3342505624512791	5.289366947875356	-6.483246220266601	0.0	0.0	0.0	0.0	0.9189213644172607	0.0	0.0	0.0	0.0	-0.057031811331949345	0.9687692307692307	0.21780626780626783	0.8741654571843253	0.8185886422243159	0.8847819269859416	0.041805693109089354	0.10096781285618091	0.04816817749154523	0.07121854692527427	0.03995920348410747
0,1,2,4,8	-2.707755499159318	-0.06298201516930022	-3.8449089841215978	0.0	-8.643905491870402	0.0	0.0	0.0	0.1860567332485386	0.0	0.0	0.0	0.0	6.9883045328916555	0.844923076923077	0.22905982905982908	0.8074020319303339	0.7861639194139194	0.8129982813370237	0.04895983137999349	0.0938049060273608	0.05947373339488769	0.07148731575755217	0.0530545103524863
0,1,2,4,9	-2.476406665162899	-0.13605789386047157	-4.048613651247106	0.0	-8.754390127516965	0.0	0.0	0.0	0.0	0.34647668363498924	0.0	0.0	0.0	6.993785829360438	0.8373846153846154	0.22150997150997148	0.8074746008708272	0.7902943438035207	0.8115476371893763	0.047543440117695006	0.09066646631236108	0.05477517857632562	0.06771038521138549	0.04845840419589391
0,1,2,4,10	-3.0595254687480544	-0.0029306005215277596	-3.326710367775333	0.0	-8.895680894637401	0.0	0.0	0.0	0.0	0.0	-1.2986779970095614	0.0	0.0	7.42857493277814	0.8763076923076923	0.17264957264957265	0.8512699564586358	0.836999844092586	0.8544328916621691	0.03269511300181091	0.09466195147867572	0.05227015652961676	0.0737678578574064	0.04493241653656383
0,1,2,4,12	-2.7180226796917504	0.21810800735875815	-3.9985475980682055	0.0	-8.446947979899337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.442527333982851	4.404116605443152	0.9303076923076924	0.20655270655270655	0.8608127721335268	0.8195703942115232	0.8695917516713527	0.04137889580150103	0.10014559088581343	0.058398882646645695	0.07449730030216621	0.050146007462565756
0,1,2,4,11	-2.775135337891505	-0.07105254047750392	-3.6070346033162686	0.0	-8.597097883258693	0.0	0.0	0.0	0.0	0.0	0.0	-0.36096250471051744	0.0	7.230861997113061	0.8527692307692307	0.22535612535612537	0.8130986937590713	0.7898338158257513	0.8185472715419518	0.061423161215683204	0.09178654193001355	0.06256613808453315	0.06986921295449285	0.05672548940147296
0,1,2,3,9	-1.5271674864114315	-0.43731715343542393	4.4365097464017085	-6.6888701280235665	0.0	0.0	0.0	0.0	0.0	1.8990349745294925	0.0	0.0	0.0	0.04932585607082422	0.9766153846153847	0.2141025641025641	0.8798621190130624	0.8201448306595365	0.8897841500676652	0.03538996615061977	0.08323782483142227	0.03860519287938549	0.058279878722243085	0.03259887467967575
