K,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
TruePositive,0.2,0.8666666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FalsePositive,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision,0.07619047619047618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F-measure,0.11000000000000001,0.9200000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
weight0,0.0,0.0,0.0,0.0,-1.435498464822365,0.0,-1.2922050556114848,0.0,0.0,-0.7150179759750064
weight1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight2,0.0,0.0,-1.1167946277189693,0.0,0.0,-1.3131047374625182,0.8715766086763888,0.5276296007367077,0.5276296007367077,0.8199393154391119
weight3,0.0,-3.9717228913873073,-4.56354254406086,-3.6925939009366764,-3.8445791248402608,-4.647561870923383,-3.6637262709005443,-2.9421764133480823,-2.9421764133480823,-2.831951935902702
weight4,0.0,0.0,0.0,0.0,0.0,0.0,-1.3903768481989804,-1.1944129675673616,-1.1944129675673616,-0.8405088633006784
weight5,0.0,0.0,0.0,2.065639162530961,0.0,0.0,0.0,2.0950315068770777,2.0950315068770777,2.012554718945888
weight6,0.0,0.0,0.0,0.0,-0.5558517134342971,-0.8220705170615104,-0.6451620701603551,-1.145242696085563,-1.145242696085563,-1.1375845522648251
weight7,1.829458035375738,1.749823562196514,2.329218352419786,0.0,3.041599355540508,1.8940360911447485,2.2235543107233617,1.260057984579646,1.260057984579646,1.2961577158737745
weight8,0.0,0.0,0.0,2.4344623966541485,0.0,0.0,0.0,1.8678337807227177,1.8678337807227177,1.755607263783412
weight9,0.0,0.0,0.0,1.3681637535873379,0.0,1.0693810216686164,1.7105813528896512,0.9157508658773805,0.9157508658773805,0.9836051769339133
bias,-2.0293615265182083,-0.24996111477574648,0.32167026863740344,-2.3350591795874562,-0.19027039390782524,0.31712198914070144,-0.8006419799765648,-1.9571885570418939,-1.9571885570418939,-2.0067826138805516
