# nel,B,Pinput,Prad/Pinput,beta,D/(H+D),CIII,CIV,OV,OVI,FeXVI,RMP_LID,SDLloop_dPhi,SDLloop_dTheta
1.238333650509744865e+00,9.315339612868488439e-01,1.368130390492219517e+00,-5.054268898575435820e-01,-2.211885525747403936e+00,-1.707586654295016881e-01,6.492318649847799161e-01,-7.805477241741746175e-01,5.736933749444270703e-01,-7.380232149395176133e-01,-4.500206749155628572e+00,7.074836286359806437e+00,-7.423812899135826093e+00,-2.304506938556744267e+00
1.726499370972235659e-01,9.315339612868488439e-01,6.465795447436105681e-01,-2.215380401357562867e+00,-2.710831565512593855e+00,-2.495003604117286555e-01,-1.374765079446103266e+00,-2.680739068609902187e+00,-5.306661517803935579e-01,-1.445186983713302897e+00,-9.234571591024927528e+00,7.074836286359806437e+00,-7.799072949790392784e+00,-6.287544449499703703e+00
