# nel,B,Pinput,Prad/Pinput,beta,D/(H+D),CIII,CIV,OV,OVI,FeXVI,RMP_LID,SDLloop_dPhi,SDLloop_dTheta
1.821645379111283269e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.081609914809352313e-01,3.102196769939817855e-01,3.926305924772628408e-01,9.653271898845166010e-01,9.601756768045155432e-01,7.006426079295368092e-01,8.964903224252362968e-01,8.704317162206365310e-01,0.000000000000000000e+00,1.415840699716852669e-01,9.062684883578233652e-01
1.841197560747808992e-01,0.000000000000000000e+00,5.770980225923333373e-01,7.946654454344375118e-01,3.178567722853218314e-01,3.392166824548112913e-01,9.495041039944389638e-01,9.666109403189766525e-01,6.876042092345373558e-01,9.040384854595255870e-01,8.392372157154159851e-01,0.000000000000000000e+00,1.338524852327971360e-01,9.138065714460623656e-01
2.577198573612422550e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.043371820655356164e-01,3.231005482280355778e-01,2.790256838017626251e-01,8.848462542873379855e-01,9.389590940129306507e-01,6.262551515862416762e-01,7.918957408536579923e-01,8.585936161177538661e-01,0.000000000000000000e+00,1.265135983120515561e-01,9.185810925884683176e-01
3.259646706973462482e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.010987727255416413e-01,3.282282707808468203e-01,2.520509070962186904e-01,7.974293440446807990e-01,8.938395137203251073e-01,6.046141202629294886e-01,6.897988895470210657e-01,8.689373365767079083e-01,0.000000000000000000e+00,1.221228892707095781e-01,9.239989199431458688e-01
3.895809379062690203e-01,0.000000000000000000e+00,5.770980225923333373e-01,7.990259808160846688e-01,3.320456748576656736e-01,2.676362287160358733e-01,6.854289551956332938e-01,8.275740568261874541e-01,5.713637583595042591e-01,5.764364700930302288e-01,8.578520163452953984e-01,0.000000000000000000e+00,1.200304173791053586e-01,9.318056476774031482e-01
3.749917105334633627e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.002045115975651157e-01,3.348663393607944627e-01,2.832024472421763583e-01,6.423177070016378165e-01,8.244084702598747372e-01,6.199893176543789242e-01,6.125840513621225725e-01,8.114247571079435950e-01,0.000000000000000000e+00,1.188437464226907991e-01,9.370084479063531813e-01
1.105471321543093632e-01,0.000000000000000000e+00,5.770980225923333373e-01,1.944258330039931870e-01,1.339061516531172558e-01,1.114648936231135146e-01,5.194156397053062424e-02,4.214636476803401699e-02,6.237087272708430330e-02,1.209598853175259947e-01,5.038910251335753099e-01,0.000000000000000000e+00,3.556330777367193718e-01,1.684942183742748067e-01
5.187480136274158493e-02,0.000000000000000000e+00,5.770980225923333373e-01,1.669291216028232494e-01,1.377121839728188135e-01,5.563566824211729767e-02,8.009799458997979293e-02,6.174400892300235810e-02,1.505970040157444956e-01,1.804724715208936292e-01,3.289982387408389997e-01,0.000000000000000000e+00,3.541258739468595707e-01,1.873590951718706599e-01
9.380425702162742407e-03,0.000000000000000000e+00,5.770980225923333373e-01,1.845176805560275746e-01,1.475864977432035374e-01,2.683182496246550031e-02,1.042347733177446667e-01,1.233050746044972446e-01,1.697378729133749431e-01,2.491831976566121210e-01,5.266630248519290625e-01,0.000000000000000000e+00,3.531869954891071473e-01,1.627077557994622836e-01
6.264024650131788663e-03,0.000000000000000000e+00,5.770980225923333373e-01,1.722351050838366593e-01,1.474492591956071408e-01,3.268560913717477590e-02,1.021341007608935758e-01,9.253004705559408904e-02,1.430283643939183058e-01,2.366122627937512490e-01,2.034739863475594213e-01,0.000000000000000000e+00,3.512399024816446058e-01,1.740247684475977330e-01
3.137239228196059271e-03,0.000000000000000000e+00,5.770980225923333373e-01,1.732841728051748298e-01,1.489275798570748321e-01,3.853669632991563176e-02,1.073133191760459182e-01,1.010787394625525248e-01,1.295470345366165899e-01,2.671423062308555529e-01,5.586612838273885551e-01,0.000000000000000000e+00,3.492058918753109253e-01,1.921330646040109169e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.770980225923333373e-01,1.845841374871837193e-01,1.524481970025481914e-01,2.006408997171460484e-02,9.746971254023595321e-02,7.331918374111801029e-02,9.556626611803364924e-02,2.372363686777365643e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.465599254679538888e-01,2.054524654198868205e-01
6.539664314403959011e-02,0.000000000000000000e+00,5.770980225923333373e-01,1.790502432133158628e-01,1.495096493461911535e-01,0.000000000000000000e+00,6.148631665661663526e-02,3.387636042581965157e-02,7.396860294467993979e-02,1.502687828497428768e-01,4.677769989004054718e-01,0.000000000000000000e+00,3.430031223914618010e-01,2.256434742966988427e-01
1.839185761707708144e-01,0.000000000000000000e+00,5.770980225923333373e-01,1.818492642429392347e-01,1.503460781883045883e-01,4.022650865594679104e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.109254495402660190e-01,0.000000000000000000e+00,3.375359224251397450e-01,2.442747304798613683e-01
2.861424637033879170e-01,0.000000000000000000e+00,5.770980225923333373e-01,9.298904402414623904e-01,9.685640085477427164e-01,4.022190727962797752e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.602548813388804616e-01,7.544230331575323412e-01,9.265719500470595005e-01,0.000000000000000000e+00,5.988103269728739519e-02,9.999999999999998890e-01
3.210538050666469356e-01,0.000000000000000000e+00,5.770980225923333373e-01,9.614158476527803199e-01,8.253799945293582851e-01,3.666088838865553257e-01,9.857013795496321062e-01,9.335459205157701223e-01,5.145437397716874361e-01,7.742398274769024535e-01,9.191801842835096714e-01,0.000000000000000000e+00,4.380950952761608619e-02,9.890620596971595457e-01
3.547127448870376343e-01,0.000000000000000000e+00,5.770980225923333373e-01,9.630951760068184875e-01,6.944804965089117488e-01,3.165036046040299311e-01,9.390386343843353245e-01,8.577794274088166304e-01,5.110398113912338891e-01,7.062894252494771319e-01,9.423607644032492292e-01,0.000000000000000000e+00,2.960753452903830407e-02,9.777181834407291383e-01
3.872112628632373710e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.981639038523862029e-01,5.802841965632588028e-01,2.477679819080251811e-01,8.880425229004881293e-01,8.060647915382007644e-01,5.381211738209087381e-01,5.831652471355062151e-01,9.291302674433141728e-01,0.000000000000000000e+00,2.470002505368285028e-02,9.655576777727779003e-01
3.486662167973568760e-01,0.000000000000000000e+00,5.770980225923333373e-01,9.045466052697395121e-01,4.712589620312366279e-01,1.786583119194178337e-01,8.932215952487153610e-01,8.421094222159101195e-01,5.693466105052948922e-01,5.812891875265089325e-01,9.293740416746345545e-01,0.000000000000000000e+00,1.746056611630208977e-02,9.555260464586670111e-01
2.685817791049991410e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.903406957731199167e-01,3.718419740798548645e-01,1.289500510970436054e-01,9.169909100210569264e-01,8.624036971958092268e-01,6.326157247195373090e-01,6.406864806850314231e-01,9.376017754454035735e-01,0.000000000000000000e+00,1.091331111399895804e-02,9.476107544696473761e-01
1.810259075065988321e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.933615722187827624e-01,2.808056415681026152e-01,8.032600192177730136e-02,9.455053362982026588e-01,8.823323246219857419e-01,7.015865381237142984e-01,7.342424819398150060e-01,9.627628954313118825e-01,0.000000000000000000e+00,5.283914459514704731e-03,9.378872096001368286e-01
1.163403027687532620e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.866525622709779952e-01,2.010137687583606336e-01,7.254959189615517445e-02,9.599792589337847737e-01,8.962316724229584253e-01,7.857711910903983910e-01,7.926357753054136257e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.928868474516121978e-03,9.297938574910659115e-01
1.130213008217356985e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.864901444591377633e-01,1.296746982798060444e-01,1.168114809923603836e-01,9.511025724354911226e-01,8.781442136177317614e-01,7.904967777110620819e-01,7.636793364856180322e-01,9.670707886444466217e-01,0.000000000000000000e+00,1.279746507140799849e-03,9.226976552454763114e-01
1.096975424701825130e-01,0.000000000000000000e+00,5.770980225923333373e-01,8.881545531322762033e-01,7.435709688614267066e-02,1.609196416942344499e-01,9.385156353396935103e-01,8.686400513919175781e-01,7.724947207170154151e-01,7.580570148788718932e-01,9.620551089640017040e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.163175442614033273e-01
